Betrieb;Schlag;ID_Eric;Saison;datum_aussaat;datum_ernte;lon;lat;nutzung;Ton_prozent;Schluff_prozent;Sand_prozent
Haas;Lohe;1;unbekannt;unbekannt;unbekannt;49.6919;8.37746;;;;
Haas;Kämmerwiese;2;Frühling;27.04.23;;49.65025;8.42026;ja;;;
Haas;Drusengewann;3;Frühling;Anfang März;;49.6289;8.42116;;;;
Haas;Sauwörth;4;Frühling;20.04.23;;49.62149;8.40583;nein;;;
Haas;Rosengarten;5;Herbst;Mitte Juli;Mitte Sep;49.62433;8.39567;;;;
Voll;Altrheinwiesen;6;Frühling;18.04.23;;49.58867;8.38703;nein;;;
Voll;Mittelgewann;7;Frühling;01.03.23;17.05.23;49.60259;8.3598;ja;;;
Voll;Stichelpfad;8;Frühling;18.04.23;;49.59097;8.33063;ja;;;
Voll;Langgarten;9;unbekannt;unbekannt;unbekannt;49.59097;8.33063;;;;
Voll;Leisbühl Süd;10;unbekannt;unbekannt;unbekannt;49.59097;8.33063;;;;
