satz_id,variante_H2O,wiederholung,zeit_messung,tage_seit_aussaat,B0020_nFK_prozent,B2040_nFK_prozent,B4060_nFK_prozent,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,par_Wh_m2,niederschlag_mm,windgeschwindigkeit_m_s,FAO56_mm,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,FAO56_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,bewaesserung_mm
2,Wfull,a,2020-07-30,3,109.81,117.16,112.24,22.54,22.54,12.1,31.3,48.06,25.2,83.7,7475.7,856,0,0.89,5,15.19,15.19,87.77,87.77,26398.03,0,18.5,61.04,61.04,9
2,Wfull,a,2020-07-31,4,117.33,112.11,106.55,25.26,25,13.4,35.3,46.55,25.6,77.8,7472.48,848.68,0,0.78,5.3,15.14,15.14,113.04,112.77,33870.5,0,23.8,76.18,76.18,0.5
2,Wfull,a,2020-08-01,5,106.06,109.59,105.78,24.81,24.81,15.9,33.2,59.9,39.7,83.5,3696.62,440.02,0.1,0.78,3.2,15.09,15.09,137.85,137.59,37567.12,0.1,27,91.27,91.27,9
2,Wfull,a,2020-08-02,6,147.83,118.14,105.64,23.05,23.05,17.5,28.4,61.7,38.4,88.1,5390.23,624.62,6.1,1.77,4.3,15.05,15.05,160.9,160.64,42957.35,6.2,31.3,106.32,106.32,0
2,Wfull,a,2020-08-03,7,122.27,128.95,109.2,19.57,19.57,16.6,24.7,62.77,38.6,79,3261.4,409.9,0,1.44,3,15,15,180.47,180.21,46218.75,6.2,34.3,121.32,121.32,0
2,Wfull,a,2020-08-04,8,111.32,120.97,110.97,19.96,19.96,14.9,26.7,55.62,36.2,77,5479.02,615.02,0,1.49,4.1,14.95,14.95,200.43,200.17,51697.78,6.2,38.4,136.27,136.27,0
2,Wfull,a,2020-08-05,9,104.85,118.13,111.01,20.43,20.43,10.4,28.4,52.58,28.4,84,7145.05,808.4,0,0.88,4.5,14.9,14.9,220.86,220.6,58842.82,6.2,42.9,151.17,151.17,4.8
2,Wfull,a,2020-08-06,10,101.88,114.01,110.23,22.59,22.59,12.2,31.1,53.49,33.3,84.5,7203,812.45,0,0.91,4.8,14.84,14.84,243.45,243.18,66045.82,6.2,47.7,166.01,166.01,0
2,Wfull,a,2020-08-07,11,99.72,114.34,109.8,25.39,25,14.4,34.5,52.22,30.1,86.8,7013.95,791.25,0,0.89,5,14.79,14.79,268.84,268.18,73059.77,6.2,52.7,180.8,180.8,9.3
2,Wfull,a,2020-08-08,12,110.94,111.91,108.52,27.41,25,17.1,36.4,51.94,28.9,84.7,6830.08,769.28,0,0.68,5,14.74,14.74,296.25,293.18,79889.85,6.2,57.7,195.54,195.54,0
