satz_id,variante_H2O,wiederholung,zeit_messung,tage_seit_aussaat,B0020_nFK_prozent,B2040_nFK_prozent,B4060_nFK_prozent,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,par_Wh_m2,niederschlag_mm,windgeschwindigkeit_m_s,FAO56_mm,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,FAO56_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,bewaesserung_id,bewaesserung_mm
1,Wfull,c,2020-05-28,9,83.9,64.12,62.45,17.47,17.47,12.7,21.6,52.85,30.6,80.3,7971.8,1218.8,0,3.3,5.75,15.81,15.81,171.5,171.5,62771.6,3.21,43.23,156.49,156.49,,0
1,Wfull,c,2020-05-29,10,75.7,64.07,63.46,16.08,16.08,8.2,21.2,50.39,33.8,77.9,7509.1,1185.4,0,1.28,4.51,15.85,15.85,187.58,187.58,70280.7,3.21,47.74,172.34,172.34,9,13.5
1,Wfull,c,2020-05-30,11,73.04,63.22,63.51,16.28,16.28,8.9,21,49.65,32.3,76.9,7663,1226.6,0,1.96,4.91,15.88,15.88,203.86,203.86,77943.7,3.21,52.65,188.22,188.22,,0
1,Wfull,c,2020-05-31,12,69.17,63.04,63.38,16.28,16.28,9.9,21,50.33,36.5,78.6,7379.3,1174,0,1.19,4.4,15.91,15.91,220.14,220.14,85323,3.21,57.05,204.13,204.13,,0
1,Wfull,c,2020-06-01,13,65.57,62.93,63.4,19.47,19.47,10.5,25.3,50.68,33.9,80.1,8145,1283.2,0,1.2,5.14,15.94,15.94,239.61,239.61,93468,3.21,62.19,220.07,220.07,,0
1,Wfull,c,2020-06-02,14,60.49,62.09,63.02,20.13,20.13,11.9,26.6,52.84,31.6,79,7991.1,1267.8,0,0.88,5.08,15.97,15.97,259.74,259.74,101459.1,3.21,67.27,236.04,236.04,11,9
1,Wfull,c,2020-06-03,15,55.38,61.46,62.76,19.27,19.27,12.7,26.7,64.13,36.3,88.5,6175.7,1003.6,1.07,1.28,4.57,15.99,15.99,279.01,279.01,107634.8,4.28,71.84,252.03,252.03,,0
1,Wfull,c,2020-06-04,16,50.19,60.52,62.18,15.43,15.43,12.2,18.5,88.41,75.3,99.8,2558.6,460.6,21.55,1.7,1.87,16.02,16.02,294.44,294.44,110193.4,25.83,73.71,268.05,268.05,,0
1,Wfull,c,2020-06-05,17,59.26,60.86,62.06,12.56,12.56,11,15.3,82.49,67.6,92.6,2995.8,520.1,2.45,3.23,2.24,16.04,16.04,307,307,113189.2,28.28,75.95,284.09,284.09,,0
1,Wfull,c,2020-06-06,18,81.32,61.53,62.28,13.2,13.2,10.3,16.5,88.67,72.2,100,3946.7,605.6,3.19,2.91,2.36,16.06,16.06,320.2,320.2,117135.9,31.47,78.31,300.15,300.15,,0
1,Wfull,c,2020-06-07,19,90.41,61.68,62.08,15.05,15.05,12.3,17.8,75.22,50.4,97.8,3925.8,638.3,0,1.89,2.87,16.09,16.09,335.25,335.25,121061.7,31.47,81.18,316.24,316.24,,0
1,Wfull,c,2020-06-08,20,82.4,62.28,62.47,15.5,15.5,10.5,19.9,70.08,39.9,99.6,5851.8,886.3,0,0.76,3.5,16.11,16.11,350.75,350.75,126913.5,31.47,84.68,332.35,332.35,,0
1,Wfull,c,2020-06-09,21,70.74,61.8,62.4,15.2,15.2,12.3,18.5,73.65,57,86.3,2691.4,461.6,0,2.12,2.51,16.12,16.12,365.95,365.95,129604.9,31.47,87.19,348.47,348.47,,0
1,Wfull,c,2020-06-10,22,61.98,61.01,62.14,14.64,14.64,13.4,16.6,88.81,81.8,98.7,1401.4,255.3,1.91,2.18,1.29,16.14,16.14,380.59,380.59,131006.3,33.38,88.48,364.61,364.61,,0
1,Wfull,c,2020-06-11,23,57.36,60.58,61.87,14.89,14.89,12.4,17.6,85.96,70.9,99.7,2655.7,465.6,0,1,1.88,16.16,16.16,395.48,395.48,133662,33.38,90.36,380.77,380.77,,0
1,Wfull,c,2020-06-12,24,49.61,60.72,62.14,19.57,19.57,9.8,27.5,70.1,38.4,100,8102.3,1258.6,0,1.22,5.23,16.17,16.17,415.05,415.05,141764.3,33.38,95.59,396.94,396.94,,0
1,Wfull,c,2020-06-13,25,39.01,58.89,61.31,20.43,20.43,14.2,25.7,63.11,42.5,88.7,5283.9,868.5,0,1.58,4.19,16.18,16.18,435.48,435.48,147048.2,33.38,99.78,413.12,413.12,,0
1,Wfull,c,2020-06-14,26,34.17,57.43,60.53,17.18,17.18,15.5,19.2,84.93,71.4,98.9,872.3,159,0.59,1.72,1.32,16.19,16.19,452.66,452.66,147920.5,33.97,101.1,429.31,429.31,,0
1,Wfull,c,2020-06-15,27,32.73,57.1,60.21,17.77,17.77,15.3,21.8,82.89,59.9,99.6,2657.5,472.1,0.67,1.08,2.24,16.2,16.2,470.43,470.43,150578,34.64,103.34,445.51,445.51,,0
1,Wfull,c,2020-06-16,28,31.77,56.54,59.73,17.17,17.17,14.8,20,88.85,66.5,100,3503.4,621.3,6.03,0.33,2.36,16.21,16.21,487.6,487.6,154081.4,40.67,105.7,461.72,461.72,,0
1,Wfull,c,2020-06-17,29,31.34,55.98,59.17,16.93,16.93,13.7,21.3,91.63,69.5,100,3576.3,597,14.1,1.83,2.58,16.22,16.22,504.53,504.53,157657.7,54.77,108.28,477.94,477.94,12,4.5
1,Wfull,c,2020-06-18,30,31.76,56.25,59.1,17.65,17.65,11.6,23.3,74.75,44.7,100,7278.6,1169.2,0,1.51,4.6,16.22,16.22,522.18,522.18,164936.3,54.77,112.88,494.16,494.16,13,18
1,Wfull,c,2020-06-19,31,36.42,56.98,59.14,17.7,17.7,12.6,23.1,73.89,47.8,96.3,4746.8,790.8,1.43,1.16,3.42,16.23,16.23,539.88,539.88,169683.1,56.2,116.3,510.39,510.39,,0
1,Wfull,c,2020-06-20,32,53.76,57.36,58.69,17.58,17.58,13,22.1,76.02,54.6,100,4612.6,792.7,0,1.03,3.15,16.23,16.23,557.46,557.46,174295.7,56.2,119.45,526.62,526.62,,0
