tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,87.7
1,nFK_1020,87
1,nFK_2030,62.1
1,nFK_3040,35.8
1,nFK_4050,25.3
1,nFK_5060,33.9
2,nFK_0010,89.77
2,nFK_1020,88.06
2,nFK_2030,85.35
2,nFK_3040,80.99
2,nFK_4050,76.26
2,nFK_5060,70.56
3,nFK_0010,93.76
3,nFK_1020,93.55
3,nFK_2030,91.85
3,nFK_3040,89.18
3,nFK_4050,84.24
3,nFK_5060,78.4
4,nFK_0010,98.47
4,nFK_1020,98.04
4,nFK_2030,96.03
4,nFK_3040,92.78
4,nFK_4050,87.73
4,nFK_5060,81.59
5,nFK_0010,98.6
5,nFK_1020,98.6
5,nFK_2030,96.89
5,nFK_3040,94.12
5,nFK_4050,89.23
5,nFK_5060,83.45
6,nFK_0010,99.23
6,nFK_1020,99.82
6,nFK_2030,98.57
6,nFK_3040,96.5
6,nFK_4050,91.91
6,nFK_5060,86.78
7,nFK_0010,100.02
7,nFK_1020,100.9
7,nFK_2030,99.87
7,nFK_3040,98.12
7,nFK_4050,93.69
7,nFK_5060,88.9
8,nFK_0010,100.94
8,nFK_1020,101.64
8,nFK_2030,100.46
8,nFK_3040,98.44
8,nFK_4050,93.99
8,nFK_5060,89.05
9,nFK_0010,99.91
9,nFK_1020,100.99
9,nFK_2030,100.18
9,nFK_3040,98.75
9,nFK_4050,94.53
9,nFK_5060,90.03
10,nFK_0010,100.38
10,nFK_1020,101.36
10,nFK_2030,100.43
10,nFK_3040,98.85
10,nFK_4050,94.61
10,nFK_5060,90.06
11,nFK_0010,103.41
11,nFK_1020,103.85
11,nFK_2030,102.42
11,nFK_3040,99.91
11,nFK_4050,95.5
11,nFK_5060,90.49
12,nFK_0010,102.55
12,nFK_1020,103.48
12,nFK_2030,102.44
12,nFK_3040,100.54
12,nFK_4050,96.36
12,nFK_5060,91.76
13,nFK_0010,100.88
13,nFK_1020,102.18
13,nFK_2030,101.51
13,nFK_3040,100.27
13,nFK_4050,96.31
13,nFK_5060,92.14
14,nFK_0010,100.01
14,nFK_1020,101.37
14,nFK_2030,100.76
14,nFK_3040,99.7
14,nFK_4050,95.83
14,nFK_5060,91.79
15,nFK_0010,95
15,nFK_1020,90
15,nFK_2030,85
15,nFK_3040,80
15,nFK_4050,75
15,nFK_5060,70
16,nFK_0010,91.18
16,nFK_1020,90.28
16,nFK_2030,88.15
16,nFK_3040,84.8
16,nFK_4050,80.23
16,nFK_5060,74.71
17,nFK_0010,88.92
17,nFK_1020,88.76
17,nFK_2030,87.24
17,nFK_3040,85.13
17,nFK_4050,81.09
17,nFK_5060,76.47
18,nFK_0010,87.7
18,nFK_1020,87.56
18,nFK_2030,86.02
18,nFK_3040,84.03
18,nFK_4050,80.33
18,nFK_5060,76.19
19,nFK_0010,85.01
19,nFK_1020,85.23
19,nFK_2030,83.98
19,nFK_3040,82.7
19,nFK_4050,79.47
19,nFK_5060,76.11
20,nFK_0010,83.63
20,nFK_1020,83.89
20,nFK_2030,82.66
20,nFK_3040,81.44
20,nFK_4050,78.49
20,nFK_5060,75.46
