tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,88.8
1,nFK_1020,59.4
1,nFK_2030,49.9
1,nFK_3040,43.4
1,nFK_4050,55.8
1,nFK_5060,68.4
2,nFK_0010,77.29
2,nFK_1020,63.31
2,nFK_2030,49.32
2,nFK_3040,56.01
2,nFK_4050,62.69
2,nFK_5060,69.38
3,nFK_0010,68.53
3,nFK_1020,58.31
3,nFK_2030,48.09
3,nFK_3040,55.38
3,nFK_4050,62.68
3,nFK_5060,69.97
4,nFK_0010,61.57
4,nFK_1020,54.07
4,nFK_2030,46.56
4,nFK_3040,54.48
4,nFK_4050,62.4
4,nFK_5060,70.32
5,nFK_0010,54.23
5,nFK_1020,49.39
5,nFK_2030,44.55
5,nFK_3040,53.16
5,nFK_4050,61.77
5,nFK_5060,70.37
6,nFK_0010,41.09
6,nFK_1020,41.67
6,nFK_2030,42.26
6,nFK_3040,51.69
6,nFK_4050,61.11
6,nFK_5060,70.54
7,nFK_0010,31.38
7,nFK_1020,35.8
7,nFK_2030,40.22
7,nFK_3040,50.41
7,nFK_4050,60.6
7,nFK_5060,70.78
8,nFK_0010,64.75
8,nFK_1020,51.95
8,nFK_2030,39.16
8,nFK_3040,49.7
8,nFK_4050,60.24
8,nFK_5060,70.78
9,nFK_0010,92.75
9,nFK_1020,69.34
9,nFK_2030,45.92
9,nFK_3040,54.22
9,nFK_4050,62.53
9,nFK_5060,70.83
10,nFK_0010,84.41
10,nFK_1020,65.88
10,nFK_2030,47.36
10,nFK_3040,55.13
10,nFK_4050,62.91
10,nFK_5060,70.69
11,nFK_0010,85.99
11,nFK_1020,66.9
11,nFK_2030,47.8
11,nFK_3040,55.32
11,nFK_4050,62.85
11,nFK_5060,70.37
12,nFK_0010,79.3
12,nFK_1020,63.29
12,nFK_2030,47.28
12,nFK_3040,54.9
12,nFK_4050,62.51
12,nFK_5060,70.13
13,nFK_0010,72.46
13,nFK_1020,59.53
13,nFK_2030,46.61
13,nFK_3040,54.47
13,nFK_4050,62.33
13,nFK_5060,70.19
14,nFK_0010,65.82
14,nFK_1020,55.66
14,nFK_2030,45.5
14,nFK_3040,53.74
14,nFK_4050,61.98
14,nFK_5060,70.22
15,nFK_0010,60.54
15,nFK_1020,52.35
15,nFK_2030,44.16
15,nFK_3040,52.88
15,nFK_4050,61.6
15,nFK_5060,70.32
16,nFK_0010,53.89
16,nFK_1020,48.27
16,nFK_2030,42.64
16,nFK_3040,51.92
16,nFK_4050,61.2
16,nFK_5060,70.48
