tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,87.7
1,nFK_1020,87
1,nFK_2030,62.1
1,nFK_3040,35.8
1,nFK_4050,25.3
1,nFK_5060,33.9
2,nFK_0010,77.26
2,nFK_1020,69.74
2,nFK_2030,62.21
2,nFK_3040,56.63
2,nFK_4050,51.05
2,nFK_5060,45.47
3,nFK_0010,89.68
3,nFK_1020,76.41
3,nFK_2030,63.14
3,nFK_3040,58.33
3,nFK_4050,53.52
3,nFK_5060,48.71
4,nFK_0010,95.87
4,nFK_1020,80.45
4,nFK_2030,65.04
4,nFK_3040,60.29
4,nFK_4050,55.55
4,nFK_5060,50.81
5,nFK_0010,87.47
5,nFK_1020,76.11
5,nFK_2030,64.74
5,nFK_3040,60.36
5,nFK_4050,55.97
5,nFK_5060,51.59
6,nFK_0010,82.02
6,nFK_1020,73.19
6,nFK_2030,64.35
6,nFK_3040,60.32
6,nFK_4050,56.29
6,nFK_5060,52.26
7,nFK_0010,77.52
7,nFK_1020,70.65
7,nFK_2030,63.77
7,nFK_3040,60.09
7,nFK_4050,56.42
7,nFK_5060,52.74
8,nFK_0010,96.92
8,nFK_1020,85.9
8,nFK_2030,74.89
8,nFK_3040,68.66
8,nFK_4050,62.42
8,nFK_5060,56.19
9,nFK_0010,91.99
9,nFK_1020,87.37
9,nFK_2030,82.74
9,nFK_3040,75.19
9,nFK_4050,67.63
9,nFK_5060,60.07
10,nFK_0010,103.74
10,nFK_1020,105.46
10,nFK_2030,107.18
10,nFK_3040,92.79
10,nFK_4050,78.41
10,nFK_5060,64.03
11,nFK_0010,102.85
11,nFK_1020,106.34
11,nFK_2030,109.82
11,nFK_3040,95.89
11,nFK_4050,81.96
11,nFK_5060,68.03
12,nFK_0010,98.74
12,nFK_1020,101.1
12,nFK_2030,103.47
12,nFK_3040,92.13
12,nFK_4050,80.79
12,nFK_5060,69.45
13,nFK_0010,92.18
13,nFK_1020,95.92
13,nFK_2030,99.65
13,nFK_3040,89.89
13,nFK_4050,80.13
13,nFK_5060,70.38
14,nFK_0010,83.55
14,nFK_1020,89.6
14,nFK_2030,95.64
14,nFK_3040,87.49
14,nFK_4050,79.35
14,nFK_5060,71.2
