tage_seit_aussaat,depth,predicted_nFK
1,nFK_0010,100
1,nFK_1020,100
1,nFK_2030,100
1,nFK_3040,100
1,nFK_4050,100
1,nFK_5060,100
2,nFK_0010,97.02
2,nFK_1020,99.8
2,nFK_2030,100.48
2,nFK_3040,101.52
2,nFK_4050,97.96
2,nFK_5060,95.46
3,nFK_0010,96.98
3,nFK_1020,99.55
3,nFK_2030,100.04
3,nFK_3040,100.84
3,nFK_4050,97.11
3,nFK_5060,94.34
4,nFK_0010,104.97
4,nFK_1020,105.77
4,nFK_2030,104.46
4,nFK_3040,102.25
4,nFK_4050,97.71
4,nFK_5060,93.07
5,nFK_0010,102.43
5,nFK_1020,104.29
5,nFK_2030,103.96
5,nFK_3040,103.25
5,nFK_4050,99.16
5,nFK_5060,95.59
6,nFK_0010,100.12
6,nFK_1020,102.31
6,nFK_2030,102.38
6,nFK_3040,102.38
6,nFK_4050,98.44
6,nFK_5060,95.17
7,nFK_0010,100.47
7,nFK_1020,102.6
7,nFK_2030,102.59
7,nFK_3040,102.46
7,nFK_4050,98.51
7,nFK_5060,95.22
8,nFK_0010,98.57
8,nFK_1020,100.97
8,nFK_2030,101.25
8,nFK_3040,101.66
8,nFK_4050,97.86
8,nFK_5060,94.92
9,nFK_0010,105.13
9,nFK_1020,105.92
9,nFK_2030,104.6
9,nFK_3040,102.37
9,nFK_4050,97.83
9,nFK_5060,93.17
10,nFK_0010,105.48
10,nFK_1020,106.3
10,nFK_2030,104.98
10,nFK_3040,102.73
10,nFK_4050,98.21
10,nFK_5060,93.56
11,nFK_0010,101.67
11,nFK_1020,103.7
11,nFK_2030,103.54
11,nFK_3040,103.13
11,nFK_4050,99.12
11,nFK_5060,95.69
12,nFK_0010,102.44
12,nFK_1020,104.45
12,nFK_2030,104.26
12,nFK_3040,103.75
12,nFK_4050,99.79
12,nFK_5060,96.41
13,nFK_0010,105.49
13,nFK_1020,106.92
13,nFK_2030,106.12
13,nFK_3040,104.59
13,nFK_4050,100.43
13,nFK_5060,96.47
14,nFK_0010,101.59
14,nFK_1020,103.67
14,nFK_2030,103.57
14,nFK_3040,103.28
14,nFK_4050,99.35
14,nFK_5060,95.98
15,nFK_0010,101.33
15,nFK_1020,103.49
15,nFK_2030,103.47
15,nFK_3040,103.29
15,nFK_4050,99.4
15,nFK_5060,96.15
16,nFK_0010,99.7
16,nFK_1020,102.22
16,nFK_2030,102.57
16,nFK_3040,103.01
16,nFK_4050,99.32
16,nFK_5060,96.47
17,nFK_0010,98.87
17,nFK_1020,101.58
17,nFK_2030,102.11
17,nFK_3040,102.87
17,nFK_4050,99.31
17,nFK_5060,96.71
18,nFK_0010,98.46
18,nFK_1020,101.33
18,nFK_2030,102.01
18,nFK_3040,103.02
18,nFK_4050,99.56
18,nFK_5060,97.11
19,nFK_0010,99.69
19,nFK_1020,102.37
19,nFK_2030,102.85
19,nFK_3040,103.49
19,nFK_4050,99.9
19,nFK_5060,97.22
20,nFK_0010,100.6
20,nFK_1020,103.31
20,nFK_2030,103.79
20,nFK_3040,104.35
20,nFK_4050,100.79
20,nFK_5060,98.15
21,nFK_0010,100.72
21,nFK_1020,103.51
21,nFK_2030,104.05
21,nFK_3040,104.7
21,nFK_4050,101.19
21,nFK_5060,98.65
22,nFK_0010,103.99
22,nFK_1020,106.27
22,nFK_2030,106.23
22,nFK_3040,105.85
22,nFK_4050,102.11
22,nFK_5060,99.05
23,nFK_0010,101.96
23,nFK_1020,104.88
23,nFK_2030,105.46
23,nFK_3040,106.1
23,nFK_4050,102.71
23,nFK_5060,100.33
24,nFK_0010,103.56
24,nFK_1020,106.24
24,nFK_2030,106.55
24,nFK_3040,106.73
24,nFK_4050,103.27
24,nFK_5060,100.68
25,nFK_0010,101.74
25,nFK_1020,104.78
25,nFK_2030,105.45
25,nFK_3040,106.28
25,nFK_4050,103.01
25,nFK_5060,100.85
26,nFK_0010,101.34
26,nFK_1020,104.53
26,nFK_2030,105.34
26,nFK_3040,106.38
26,nFK_4050,103.2
26,nFK_5060,101.2
27,nFK_0010,95.47
27,nFK_1020,99.88
27,nFK_2030,101.88
27,nFK_3040,105.08
27,nFK_4050,102.68
27,nFK_5060,102.09
28,nFK_0010,88.7
