parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.131529794541933,0.035612980203906,-0.0184989171851655
B2040_nFK_prozent_Vortag,0.0280670942407752,0.102968071410288,0.0406661674838441
B4060_nFK_prozent_Vortag,-0.0337835723317067,0.0495364816048032,0.135494356617111
tage_seit_aussaat,-0.00654496634944234,-0.00170532168625081,-0.00848646091978646
Tmean_gradC,-0.00605599113882629,-0.00412021829664595,-0.00379609081349844
relLuftfeuchte_mean_prozent,0.00527674272018475,-0.000876477209937509,-0.00381156729867179
windgeschwindigkeit_m_s,0.00298545122488626,-0.00270628593409127,-0.00183443574680715
Tmean_gradC_sum,0.00939852715319288,-0.00828547278261735,-0.0150367194260691
Tmean_th9_25_gradC_sum,0.00419101226431918,0.00121575331939312,0.00405724292671419
globalstrahlung_Wh_m2_sum,0.00560633760679147,0.0156042846431979,-0.00052025225190847
niederschlag_mm_sum,0.0044122101820308,-0.0196725178237054,0.00432541904659673
tageslicht_h_th9_sum,-0.0118508930115699,-0.00791688362775665,0.00373957831789054
Ton_prozent,-0.00479180180894071,0.00522162765977055,-0.00458323321460599
Sand_prozent,0.00840977983428017,-0.00015393843007169,0.00272655265368328
ibi,-0.00434737566355357,0.00330735603390835,0.00335392984187031
irmi,-0.0302540887049554,-0.00898536928625458,0.00776733976475407
wasser_input_Vortag,0.0214284150966337,0.00155621781608582,-0.00207551205010788
