parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.12516009688338,0.0132555831033726,0.0244036858388201
B2040_nFK_prozent_Vortag,0.00329750259135485,0.109652432517462,0.0522910716556033
B4060_nFK_prozent_Vortag,0.0259426693945342,0.0383351196850173,0.126818152075513
tage_seit_aussaat,0.00452223055596935,0.00488615827458607,0.00319796970362042
Tmean_gradC,0.00598787531037577,0.00544090584069824,0.000258922933136206
Tmean_th9_25_gradC,0.000162060089225815,0.00371296459776001,0.00378625577547583
Tmin_gradC,0.00105670344987989,0.00352988239960074,0.00113676323982782
Tmax_gradC,0.00349829251545197,0.00421905387937501,0.00258645337520628
relLuftfeuchte_mean_prozent,0.00549014739483036,0.000851026572620757,0.000219025322982319
globalstrahlung_Wh_m2,0.00270918962878491,0.00307305940626094,0.0010793786166525
windgeschwindigkeit_m_s,0.00267401484011447,0.000480540017497405,8.69858368482132e-05
tageslicht_h,0.00491058640904078,0.000567871306972277,0.0051394769243716
tageslicht_h_th9,0.00246134712779577,0.000164999327312453,0.0019550928020438
Tmean_gradC_sum,0.00188350929188268,0.00174236406781421,0.00903295984158164
Tmean_th9_25_gradC_sum,0.00322397741944823,0.00136279308123092,0.00160710949756727
globalstrahlung_Wh_m2_sum,0.00770501807746108,0.00570276177315919,0.00239928339534301
niederschlag_mm_sum,0.00772201553897839,0.0139918022974085,0.00804965818925954
tageslicht_h_sum,0.00060034446752305,0.00532513005575209,0.0043865972142913
tageslicht_h_th9_sum,0.000488857092458244,0.00424757194861353,0.00372223780210999
Ton_prozent,0.000452106468993063,0.000810430614844506,0.00379993802255271
Schluff_prozent,0.00661355737281498,0.000700789701596025,0.00203467491935989
Sand_prozent,0.00398604980949809,0.000617200050867869,0.0002526788719814
C_org_prozent,0.00289222526912035,0.00496883814633896,0.00875688538525421
ibi,0.0125506971895174,0.00696229278677132,0.00603789205961571
irmi,0.0240142850042721,0.00480834428713421,0.00774194828284797
wasser_input_Vortag,0.0149565022841509,0.0012637651424247,0.00229592767157457
