parameter,B0020,B2040,B4060
B0020_nFK_prozent_Vortag,0.147243033379096,0.0242038164201727,-0.0133359849233064
B2040_nFK_prozent_Vortag,0.0107705287481025,0.125512709137587,0.0385345730088211
B4060_nFK_prozent_Vortag,-0.0245932545500403,0.0287274079794344,0.169069432040676
Tmean_gradC,-0.00046059409879165,2.09183767375382e-05,-0.00567656320189042
Tmean_th9_25_gradC,0.00171076481652058,0.00436027356378791,0.00134053837378409
Tmin_gradC,-0.00458036199991671,-0.00812793386680549,-0.00147385139308348
Tmax_gradC,-0.00641944730303082,-0.0018371115697104,0.000914550346968492
relLuftfeuchte_mean_prozent,0.00818113266237675,-0.000128935490790096,0.000708529933291336
globalstrahlung_Wh_m2,0.00327659978959395,-0.000988430385102425,0.0020505040251326
windgeschwindigkeit_m_s,0.00192441483158581,-3.82246651663461e-05,-0.000902478950270414
tageslicht_h,-0.000804508802656475,-3.80240157009208e-05,-0.00434208805185863
tageslicht_h_th9,-0.000122177084103102,0.000629501525302074,0.00180383138704338
wasser_input_Vortag,0.0176917225972454,0.000920709132124285,-0.00230570523253206
tage_seit_aussaat,0.00392778820893013,0.00283497673958029,-0.0100444601840458
Tmean_gradC_sum,0.00553582660054545,-0.00807960224093983,-0.00122213728221469
Tmean_th9_25_gradC_sum,0.00520145020757133,0.0042965456130222,-0.00729892731493829
globalstrahlung_Wh_m2_sum,-0.00482489009996862,0.0103103838264691,0.00139492782237468
niederschlag_mm_sum,0.011089596861558,-0.0153089660860888,0.00806552754149234
tageslicht_h_sum,-0.0021542312070048,-0.000688107015123224,-0.00102409514190996
tageslicht_h_th9_sum,-0.0040391263630677,-0.0032575925300228,0.00312525435058148
Ton_prozent,-0.00110196734433775,-0.00132030250706357,-0.00280253818054424
Schluff_prozent,-0.00234554882473628,0.00560388224651906,-0.000897593434151106
Sand_prozent,0.00866070149726,-0.00123460205104655,-0.00112941051152868
C_org_prozent,-0.00114928486064975,-0.00359661012213101,-0.00367131723768187
ibi,-0.00724661805186804,-0.000550867957226236,0.0053360085871126
irmi,-0.0276271017842122,-0.00681914915846174,0.0065521969720207
