m,s,parameter
110,63.2295076385649,id_all
88.4581487808152,20.0827712377877,T0020_nFK
89.2649507205128,16.6263690766271,T2040_nFK
90.4894503046792,12.2300809862012,T4060_nFK
23.8470319634703,12.4400717830589,tage_seit_aussaat
18.223228962818,4.87824493863595,Tmean_gradC
17.870782778865,5.49945068356728,Tmean_th9_25_gradC
11.7150358773647,4.45486397102579,Tmin_gradC
24.4361382909326,5.92388413312002,Tmax_gradC
64.7437475538154,11.1428164328262,relLuftfeuchte_mean_prozent
43.1852902804957,11.8367154436186,relLuftfeuchte_min_prozent
87.0704827136328,8.41214880586412,relLuftfeuchte_max_prozent
5407.48415198961,1710.1078093215,globalstrahlung_Wh_m2
1.21262557077625,0.438737609253329,windgeschwindigkeit_m_s
14.9692400521852,0.91789270846242,tageslicht_h
14.4631343770384,2.90893894754324,tageslicht_h_th9
419.848251793868,250.056823376225,Tmean_gradC_sum
402.212077625571,258.273628052929,Tmean_th9_25_gradC_sum
129130.678760601,67399.6413278115,globalstrahlung_Wh_m2_sum
27.7474233529029,25.8954248079685,niederschlag_mm_sum
356.542954990215,185.393670946161,tageslicht_h_sum
322.68600782779,184.073769881924,tageslicht_h_th9_sum
2.29174026504915,1.48743006244668,ibi
17.3738833577841,4.28316070033431,irmi
3.46333985649054,6.29429313493356,wasser_input
