nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
100,100,100,100,100,100,1,10.5,10.5,1.2,18.4,64,44,91,6183.3,1.3,14.29,14.29,10.5,10.5,6183.3,1.9,14.29,14.29,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,2,13.3,13.3,9.6,19.7,89.5,85,96,1543.9,2.1,14.35,14.35,23.8,23.8,7727.2,16.2,28.64,28.64,46.5,35.5,18,1.2,1.68,12.13,1.9
,,,,,,3,12.6,12.6,8.7,15.7,82.2,72,97,2672.5,2.6,14.4,14.4,36.4,36.4,10399.7,16.2,43.04,43.04,46.5,35.5,18,1.2,1.68,12.13,14.3
,,,,,,4,14.4,14.4,10.2,20.6,60.5,41,80,4847.5,2.5,14.46,14.46,50.8,50.8,15247.2,16.2,57.5,57.5,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,5,14.1,14.1,8.2,20.2,63.5,48,78,4763.3,1.5,14.51,14.51,64.9,64.9,20010.5,16.3,72.01,72.01,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,6,12.5,12.5,7.3,18,69.8,54,83,5117.5,3.2,14.56,14.56,77.4,77.4,25128,16.3,86.57,86.57,46.5,35.5,18,1.2,1.68,12.13,0.1
,,,,,,7,11.9,11.9,4.9,19.1,61.2,38,77,7221.9,2,14.62,14.62,89.3,89.3,32349.9,16.3,101.19,101.19,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,8,15.4,15.4,6.4,24.5,59.8,40,81,7047.8,1.9,14.67,14.67,104.7,104.7,39397.7,16.3,115.86,115.86,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,9,16.4,16.4,9.8,23.4,76.5,47,88,5111.9,2.7,14.72,14.72,121.1,121.1,44509.6,17.9,130.58,130.58,46.5,35.5,18,1.2,1.68,12.13,0
,,,,,,10,16.4,16.4,8.5,22.1,73,54,93,6229.2,1.5,14.78,14.78,137.5,137.5,50738.8,17.9,145.36,145.36,46.5,35.5,18,1.2,1.72,12.56,1.6
