nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
100,100,100,100,100,100,1,2.9,0,-2,9.4,61.5,47,74,3635.3,3.5,10.84,0,2.9,0,3635.3,0,10.84,0,15,25,60,1.2,0.18,10.63,0
,,,,,,2,5.2,0,-0.5,11.9,59.5,50,70,3611.4,2.9,10.9,0,8.1,0,7246.7,0,21.74,0,15,25,60,1.2,0.18,10.63,0
,,,,,,3,3.1,0,-0.7,9,67.5,58,83,3562.5,2.7,10.96,0,11.2,0,10809.2,0,32.7,0,15,25,60,1.2,0.18,10.63,0
,,,,,,4,2,0,-4.9,5.6,79.2,70,93,853.9,1.8,11.02,0,13.2,0,11663.1,0,43.72,0,15,25,60,1.2,0.18,10.63,0
,,,,,,5,4.4,0,2.2,6.2,69.2,55,79,991.4,1.8,11.08,0,17.6,0,12654.5,0,54.8,0,15,25,60,1.2,0.18,10.63,0
,,,,,,6,4,0,2.1,6.6,71.8,65,79,999.7,3.3,11.15,0,21.6,0,13654.2,0,65.95,0,15,25,60,1.2,0.18,10.63,0
,,,,,,7,5.7,0,3,8.1,64.2,51,79,1300.6,5.1,11.21,0,27.3,0,14954.8,0,77.16,0,15,25,60,1.2,0.18,10.63,0
,,,,,,8,6.3,0,2.4,10.8,77.2,59,94,596.7,4,11.27,0,33.6,0,15551.5,13.4,88.43,0,15,25,60,1.2,0.18,10.63,0
,,,,,,9,11.2,11.2,9.2,14.5,79.2,70,96,1723.3,5.1,11.33,11.33,44.8,11.2,17274.8,13.4,99.76,11.33,15,25,60,1.2,0.18,10.63,13.4
,,,,,,10,9.2,9.2,2.2,12.1,73,68,82,995.6,6.7,11.39,11.39,54,20.4,18270.4,14.6,111.15,22.72,15,25,60,1.2,0.18,10.63,0
,,,,,,11,1.7,0,-3.7,6,61.5,48,79,3623.1,2.9,11.45,0,55.7,20.4,21893.5,14.8,122.6,22.72,15,25,60,1.2,0.18,10.63,1.2
,,,,,,12,5.1,0,-4.2,13.5,81.5,65,93,1888.3,2.9,11.52,0,60.8,20.4,23781.8,15.3,134.12,22.72,15,25,60,1.2,0.18,10.63,0.2
,,,,,,13,13.3,13.3,9.2,21,77,60,88,1977.2,5.9,11.58,11.58,74.1,33.7,25759,20.5,145.7,34.3,15,25,60,1.2,0.18,10.63,0.5
,,,,,,14,9.3,9.3,2.7,13.2,73,62,83,1741.4,6.2,11.64,11.64,83.4,43,27500.4,21,157.34,45.94,15,25,60,1.2,0.18,10.63,5.2
,,,,,,15,2.6,0,-1.8,8,76.8,71,81,1400.3,2.2,11.7,0,86,43,28900.7,21.1,169.04,45.94,15,25,60,1.2,0.18,10.63,0.5
,,,,,,16,4.2,0,-3.8,12.5,76.8,56,98,3846.7,1.9,11.76,0,90.2,43,32747.4,21.1,180.8,45.94,15,25,60,1.2,0.18,10.63,0.1
,,,,,,17,8.1,0,-0.9,15.9,76.2,45,97,3066.9,1.6,11.83,0,98.3,43,35814.3,21.1,192.63,45.94,15,25,60,1.2,0.18,10.63,0
,,,,,,18,12.6,12.6,6.6,20.1,63.5,39,86,3773.3,2.1,11.89,11.89,110.9,55.6,39587.6,21.1,204.52,57.83,15,25,60,1.2,0.21,10.98,0
,,,,,,19,10.4,10.4,5.3,17.1,74.2,43,86,2440,2.4,11.95,11.95,121.3,66,42027.6,21.2,216.47,69.78,15,25,60,1.2,0.25,11.32,0
,,,,,,20,10.2,10.2,7.2,14.5,73.5,58,91,1844.7,2.6,12.01,12.01,131.5,76.2,43872.3,23.5,228.48,81.79,15,25,60,1.2,0.3,11.68,0.1
,,,,,,21,9.7,9.7,5.5,13.8,81.2,65,91,2245.6,2.3,12.07,12.07,141.2,85.9,46117.9,25.3,240.55,93.86,15,25,60,1.2,0.36,12.04,2.3
,,,,,,22,13.1,13.1,6.1,18.7,73.8,49,95,3721.4,3.8,12.14,12.14,154.3,99,49839.3,25.3,252.69,106,15,25,60,1.2,0.43,12.4,1.8
,,,,,,23,13.8,13.8,11.5,16.3,69.2,56,75,910.3,3.6,12.2,12.2,168.1,112.8,50749.6,25.5,264.89,118.2,15,25,60,1.2,0.5,12.76,0
,,,,,,24,13.7,13.7,10.1,16.9,68.8,49,80,1811.4,4.5,12.26,12.26,181.8,126.5,52561,26.2,277.15,130.46,15,25,60,1.2,0.6,13.13,0.2
,,,,,,25,10.3,10.3,7.3,14.6,70,60,78,2736.9,5.4,12.32,12.32,192.1,136.8,55297.9,27.6,289.47,142.78,15,25,60,1.2,0.7,13.5,0.7
,,,,,,26,8.8,0,6.5,13.5,81.5,72,93,2082.5,4,12.38,0,200.9,136.8,57380.4,33.6,301.85,142.78,15,25,60,1.2,0.7,13.5,1.4
,,,,,,27,4.7,0,0,8.7,69.2,64,78,3876.4,4.2,12.44,0,205.6,136.8,61256.8,33.8,314.29,142.78,15,25,60,1.2,0.7,13.5,6
,,,,,,28,4.9,0,-2.4,10.9,67,49,88,5244.2,1.8,12.51,0,210.5,136.8,66501,34.1,326.8,142.78,15,25,60,1.2,0.7,13.5,0.2
,,,,,,29,10.7,10.7,5,17.7,71.2,56,83,3482.2,3.2,12.57,12.57,221.2,147.5,69983.2,35.5,339.37,155.35,15,25,60,1.2,0.82,13.88,0.3
,,,,,,30,13.2,13.2,9,18.4,76.5,65,92,2659.4,4.3,12.63,12.63,234.4,160.7,72642.6,38.6,352,167.98,15,25,60,1.2,0.96,14.26,1.4
,,,,,,31,11.4,11.4,8,14.6,79.8,69,92,1629.4,5,12.69,12.69,245.8,172.1,74272,48.2,364.69,180.67,15,25,60,1.2,1.11,14.64,3.1
,,,,,,32,11,11,9.6,12.6,73.2,70,75,672.5,5.5,12.75,12.75,256.8,183.1,74944.5,48.3,377.44,193.42,15,25,60,1.2,1.28,15.01,9.6
,,,,,,33,7.7,0,2.5,10.8,84.5,74,90,1490.8,3.2,12.81,0,264.5,183.1,76435.3,48.6,390.25,193.42,15,25,60,1.2,1.28,15.01,0.1
,,,,,,34,4.5,0,-0.8,9.5,64.2,48,84,5107.5,3.4,12.87,0,269,183.1,81542.8,48.6,403.12,193.42,15,25,60,1.2,1.28,15.01,0.3
,,,,,,35,3.9,0,-2.3,9.7,57.8,39,73,6102.8,2.2,12.94,0,272.9,183.1,87645.6,48.6,416.06,193.42,15,25,60,1.2,1.28,15.01,0
,,,,,,36,3.6,0,-3.4,10.4,57.2,37,79,6060.8,1.5,13,0,276.5,183.1,93706.4,48.6,429.06,193.42,15,25,60,1.2,1.28,15.01,0
,,,,,,37,6.6,0,-3.8,15,63.5,30,87,5107.5,2.9,13.06,0,283.1,183.1,98813.9,51.9,442.12,193.42,15,25,60,1.2,1.28,15.01,0
,,,,,,38,8.4,0,5,11.6,86.5,76,94,3748.3,2.7,13.12,0,291.5,183.1,102562.2,52.3,455.24,193.42,15,25,60,1.2,1.28,15.01,3.3
,,,,,,39,9.4,9.4,5.9,12.9,76,62,88,3723.6,2.8,13.18,13.18,300.9,192.5,106285.8,52.3,468.42,206.6,15,25,60,1.2,1.47,15.4,0.4
,,,,,,40,9.3,9.3,2.6,16.7,66,41,88,4505.3,1.7,13.24,13.24,310.2,201.8,110791.1,52.3,481.66,219.84,15,25,60,1.2,1.67,15.79,0
,,,,,,41,11.4,11.4,0.6,19.2,63.8,36,89,5183.1,3.2,13.3,13.3,321.6,213.2,115974.2,56.5,494.96,233.14,15,25,60,1.2,1.88,16.18,0
,,,,,,42,11.1,11.1,8.3,15.4,71.2,57,90,4607.5,3.9,13.36,13.36,332.7,224.3,120581.7,60.1,508.32,246.5,15,25,60,1.2,2.1,16.56,4.2
,,,,,,43,9.8,9.8,6.3,13.7,80.8,67,96,1712.5,4,13.42,13.42,342.5,234.1,122294.2,63.6,521.74,259.92,15,25,60,1.2,2.31,16.94,3.6
,,,,,,44,8.3,0,1.9,13.4,72.5,64,87,2766.4,3.7,13.48,0,350.8,234.1,125060.6,63.9,535.22,259.92,15,25,60,1.2,2.31,16.94,3.5
,,,,,,45,7.7,0,-0.7,15.5,69.2,44,96,5861.4,1.1,13.54,0,358.5,234.1,130922,63.9,548.76,259.92,15,25,60,1.2,2.31,16.94,0.3
,,,,,,46,7.9,0,-0.3,13.9,77.8,49,93,3484.4,2.9,13.6,0,366.4,234.1,134406.4,65.3,562.36,259.92,15,25,60,1.2,2.31,16.94,0
,,,,,,47,9.7,9.7,8.5,11.4,83.2,81,88,843.9,3,13.66,13.66,376.1,243.8,135250.3,66.8,576.02,273.58,15,25,60,1.2,2.53,17.32,1.4
,,,,,,48,10.3,10.3,8.2,13,80.8,71,90,3215.6,2.9,13.71,13.71,386.4,254.1,138465.9,66.8,589.73,287.29,15,25,60,1.2,2.73,17.7,1.5
,,,,,,49,10.7,10.7,6,15.6,68.5,59,77,3300.6,4,13.77,13.77,397.1,264.8,141766.5,66.8,603.5,301.06,15,25,60,1.2,2.92,18.07,0
,,,,,,50,10.9,10.9,2.9,15.5,62.2,38,79,3706.4,3.2,13.83,13.83,408,275.7,145472.9,66.8,617.33,314.89,15,25,60,1.2,3.1,18.43,0
,,,,,,51,7.3,0,2.6,12.3,71.8,69,75,2523.1,2.3,13.89,0,415.3,275.7,147996,69.6,631.22,314.89,15,25,60,1.2,3.1,18.43,0
,,,,,,52,10.5,10.5,2.8,19.8,83.5,68,100,6071.4,1.7,13.95,13.95,425.8,286.2,154067.4,69.8,645.17,328.84,15,25,60,1.2,3.26,18.79,2.8
,,,,,,53,14.8,14.8,7.1,23.2,71,42,95,4168.3,2.5,14,14,440.6,301,158235.7,74,659.17,342.84,15,25,60,1.2,3.4,19.14,0.2
,,,,,,54,14.3,14.3,10,20.6,80.8,58,97,4776.7,3.5,14.06,14.06,454.9,315.3,163012.4,76.6,673.23,356.9,15,25,60,1.2,3.52,19.48,4.2
,,,,,,55,10.9,10.9,7.9,13.9,74,63,87,3214.4,4.9,14.12,14.12,465.8,326.2,166226.8,78,687.35,371.02,15,25,60,1.2,3.62,19.82,2.6
,,,,,,56,8.8,0,2.8,11.4,72,49,94,3359.4,2.6,14.18,0,474.6,326.2,169586.2,78,701.53,371.02,15,25,60,1.2,3.62,19.82,1.4
,,,,,,57,7.3,0,-0.4,13.7,66.2,49,84,5946.9,1.4,14.23,0,481.9,326.2,175533.1,78,715.76,371.02,15,25,60,1.2,3.62,19.82,0
,,,,,,58,10.5,10.5,1.2,18.4,64,44,91,6183.3,1.3,14.29,14.29,492.4,336.7,181716.4,79.9,730.05,385.31,15,25,60,1.2,3.71,20.15,0
,,,,,,59,13.3,13.3,9.6,19.7,89.5,85,96,1543.9,2.1,14.34,14.34,505.7,350,183260.3,94.2,744.39,399.65,15,25,60,1.2,3.79,20.47,1.9
,,,,,,60,12.6,12.6,8.7,15.7,82.2,72,97,2672.5,2.6,14.4,14.4,518.3,362.6,185932.8,94.2,758.79,414.05,15,25,60,1.2,3.85,20.78,14.3
,,,,,,61,14.4,14.4,10.2,20.6,60.5,41,80,4847.5,2.5,14.45,14.45,532.7,377,190780.3,94.2,773.24,428.5,15,25,60,1.2,3.9,21.08,0
,,,,,,62,14.1,14.1,8.2,20.2,63.5,48,78,4763.3,1.5,14.51,14.51,546.8,391.1,195543.6,94.3,787.75,443.01,15,25,60,1.2,3.94,21.37,0
,,,,,,63,12.5,12.5,7.3,18,69.8,54,83,5117.5,3.2,14.56,14.56,559.3,403.6,200661.1,94.3,802.31,457.57,15,25,60,1.2,3.98,21.65,0.1
,,,,,,64,11.9,11.9,4.9,19.1,61.2,38,77,7221.9,2,14.61,14.61,571.2,415.5,207883,94.3,816.92,472.18,15,25,60,1.2,4.01,21.92,0
,,,,,,65,15.4,15.4,6.4,24.5,59.8,40,81,7047.8,1.9,14.67,14.67,586.6,430.9,214930.8,94.3,831.59,486.85,15,25,60,1.2,4.03,22.19,0
,,,,,,66,16.4,16.4,9.8,23.4,76.5,47,88,5111.9,2.7,14.72,14.72,603,447.3,220042.7,95.9,846.31,501.57,15,25,60,1.2,4.05,22.44,0
,,,,,,67,16.4,16.4,8.5,22.1,73,54,93,6229.2,1.5,14.77,14.77,619.4,463.7,226271.9,95.9,861.08,516.34,15,25,60,1.2,4.06,22.68,1.6
