datum,Tmean_gradC,Tmin_gradC,Tmax_gradC,wasser_input_mm
2023-01-01,11.1,7.9,15.6,0
2023-01-02,10.7,7.8,15.5,0
2023-01-03,6.1,0.8,10.7,0
2023-01-04,8.1,3.6,11.9,2.3
2023-01-05,11,9.1,12.7,1
2023-01-06,10.2,9.2,11.7,0.5
2023-01-07,9.1,6.5,11.7,1.6
2023-01-08,8.6,6.9,10.6,2.3
2023-01-09,7.6,5.1,8.9,0.6
2023-01-10,6.1,4.3,7.9,0.2
2023-01-11,8.6,6.6,11.2,1.5
2023-01-12,9.9,8.5,10.9,0
2023-01-13,9.4,7.2,11.1,0.6
2023-01-14,8,4.6,10.2,3.8
2023-01-15,6.6,4.2,10.3,5
2023-01-16,4.8,3.1,7.7,2.3
2023-01-17,2.5,0.5,4.8,0
2023-01-18,0.5,-4.3,3.7,0
2023-01-19,0,-3.5,3.4,0
2023-01-20,-0.6,-6.4,3.8,11.5
2023-01-21,-0.7,-3.7,0.5,0.2
2023-01-22,1.4,-0.5,2.4,0.1
2023-01-23,1.9,1,3.3,0
2023-01-24,2.5,2,3.2,0
2023-01-25,1.2,0,2,0
2023-01-26,-0.4,-0.9,0.1,0.3
2023-01-27,1.9,-0.8,4.1,0.1
2023-01-28,1.9,-0.3,3.2,0
2023-01-29,-0.1,-1.9,1.9,0
2023-01-30,3,0.3,5.4,0
2023-01-31,4.1,0.7,6.3,1.6
2023-02-01,6.4,4.5,7.7,0
2023-02-02,7.9,6.8,9.9,0
2023-02-03,8.5,7.3,9.5,0
2023-02-04,6.6,-0.9,9.5,0
2023-02-05,3.3,-2.2,5.3,5.6
2023-02-06,3.2,-0.6,6,0
2023-02-07,0.2,-5.2,4.3,0
2023-02-08,-1.4,-6.6,5.1,0
2023-02-09,-3,-9.2,4,0
2023-02-10,-0.7,-7.5,6.3,0
2023-02-11,3.3,-1.5,7.6,0
2023-02-12,5.4,-0.4,10.1,0
2023-02-13,2.7,-3.4,11.9,0
2023-02-14,0.3,-3.9,2.3,0
2023-02-15,1.4,0.7,2.3,0
2023-02-16,3.2,-1.1,9.5,0.1
2023-02-17,11.7,9,13.8,0
2023-02-18,11.9,10.3,13.3,0.2
2023-02-19,10.2,8.2,13.1,0.1
2023-02-20,8.7,0.9,15.1,0
2023-02-21,6.9,-0.5,16.4,0
2023-02-22,6.3,-1.1,15.1,1.7
2023-02-23,10.1,7.8,12.9,0
2023-02-24,8.2,4.7,12,0.5
2023-02-25,4.1,-0.1,8,0.1
2023-02-26,1,-2.5,4.1,0
2023-02-27,0.8,-3.8,5,0
2023-02-28,1,-2.9,5.7,0
2023-03-01,2.9,-2,9.4,0
2023-03-02,5.2,-0.5,11.9,0
2023-03-03,3.1,-0.7,9,0
2023-03-04,2,-4.9,5.6,0
2023-03-05,4.4,2.2,6.2,0
2023-03-06,4,2.1,6.6,0
2023-03-07,5.7,3,8.1,0
2023-03-08,6.3,2.4,10.8,13.4
2023-03-09,11.2,9.2,14.5,0
2023-03-10,9.2,2.2,12.1,1.2
2023-03-11,1.7,-3.7,6,0.2
2023-03-12,5.1,-4.2,13.5,0.5
2023-03-13,13.3,9.2,21,5.2
2023-03-14,9.3,2.7,13.2,0.5
2023-03-15,2.6,-1.8,8,0.1
2023-03-16,4.2,-3.8,12.5,0
2023-03-17,8.1,-0.9,15.9,0
2023-03-18,12.6,6.6,20.1,0
2023-03-19,10.4,5.3,17.1,0.1
2023-03-20,10.2,7.2,14.5,2.3
2023-03-21,9.7,5.5,13.8,1.8
2023-03-22,13.1,6.1,18.7,0
2023-03-23,13.8,11.5,16.3,0.2
2023-03-24,13.7,10.1,16.9,0.7
2023-03-25,10.3,7.3,14.6,1.4
2023-03-26,8.8,6.5,13.5,6
2023-03-27,4.7,0,8.7,0.2
2023-03-28,4.9,-2.4,10.9,0.3
2023-03-29,10.7,5,17.7,1.4
2023-03-30,13.2,9,18.4,3.1
2023-03-31,11.4,8,14.6,9.6
2023-04-01,11,9.6,12.6,0.1
2023-04-02,7.7,2.5,10.8,0.3
2023-04-03,4.5,-0.8,9.5,0
2023-04-04,3.9,-2.3,9.7,0
2023-04-05,3.6,-3.4,10.4,0
2023-04-06,6.6,-3.8,15,3.3
2023-04-07,8.4,5,11.6,0.4
2023-04-08,9.4,5.9,12.9,0
2023-04-09,9.3,2.6,16.7,0
2023-04-10,11.4,0.6,19.2,4.2
2023-04-11,11.1,8.3,15.4,3.6
2023-04-12,9.8,6.3,13.7,3.5
2023-04-13,8.3,1.9,13.4,0.3
2023-04-14,7.7,-0.7,15.5,0
2023-04-15,7.9,-0.3,13.9,1.4
2023-04-16,9.7,8.5,11.4,1.5
2023-04-17,10.3,8.2,13,0
2023-04-18,10.7,6,15.6,0
2023-04-19,10.9,2.9,15.5,0
2023-04-20,7.3,2.6,12.3,2.8
2023-04-21,10.5,2.8,19.8,0.2
2023-04-22,14.8,7.1,23.2,4.2
2023-04-23,14.3,10,20.6,2.6
2023-04-24,10.9,7.9,13.9,1.4
2023-04-25,8.8,2.8,11.4,0
2023-04-26,7.3,-0.4,13.7,0
2023-04-27,10.5,1.2,18.4,1.9
2023-04-28,13.3,9.6,19.7,14.3
2023-04-29,12.6,8.7,15.7,0
2023-04-30,14.4,10.2,20.6,0
2023-05-01,14.1,8.2,20.2,0.1
2023-05-02,12.5,7.3,18,0
2023-05-03,11.9,4.9,19.1,0
2023-05-04,15.4,6.4,24.5,0
2023-05-05,16.4,9.8,23.4,1.6
2023-05-06,16.4,8.5,22.1,0
2023-05-07,16.3,11.9,23.6,5
2023-05-08,15.4,13.2,18.7,0
2023-05-09,15.9,10.3,20.8,7.4
2023-05-10,14.5,9.6,17.9,0
2023-05-11,12.3,8.5,16.5,2.6
2023-05-12,13.5,8.9,17.1,0
2023-05-13,14.4,8.1,20.6,0.3
2023-05-14,14.5,9.3,19.9,0
2023-05-15,15.3,8,21.9,1.1
2023-05-16,12.5,8.2,16.7,0
2023-05-17,11.7,5.8,17,0
2023-05-18,13,5.7,19.2,0
2023-05-19,14.7,7.9,20.5,0
2023-05-20,17,11.5,22.6,0
