nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
98.8,69.4,59.9,53.4,65.8,78.4,1,23.9,23.9,17.2,32.8,73,50,93,6815.3,3.9,14.19,14.19,23.9,23.9,6815.3,0,14.19,14.19,40,45,15,1.2,0.18,10.63,0
,,,,,,2,25.2,25,18.4,30.3,68.2,50,80,3861.4,4.6,14.13,14.13,49.1,48.9,10676.7,0,28.32,28.32,40,45,15,1.2,0.18,10.63,0
,,,,,,3,25.7,25,19.4,31.5,66.2,52,82,6311.7,3.6,14.08,14.08,74.8,73.9,16988.4,4.5,42.4,42.4,40,45,15,1.2,0.18,10.63,0
,,,,,,4,25.8,25,19.1,32.1,65,50,80,5683.6,3.1,14.02,14.02,100.6,98.9,22672,9.1,56.42,56.42,40,45,15,1.2,0.18,10.63,4.5
,,,,,,5,25.1,25,17.8,30.8,64.8,39,84,6571.1,4.9,13.97,13.97,125.7,123.9,29243.1,9.1,70.39,70.39,40,45,15,1.2,0.18,10.63,4.6
,,,,,,6,22.9,22.9,16.5,29.5,65.5,52,78,6242.8,3.3,13.91,13.91,148.6,146.8,35485.9,9.1,84.3,84.3,40,45,15,1.2,0.18,10.63,0
,,,,,,7,22.4,22.4,17.3,30.9,70.8,41,88,3894.4,5.8,13.85,13.85,171,169.2,39380.3,26.7,98.15,98.15,40,45,15,1.2,0.22,11.03,0
,,,,,,8,22.4,22.4,17.7,28.7,77,61,96,3428.9,8.8,13.8,13.8,193.4,191.6,42809.2,44.4,111.95,111.95,40,45,15,1.2,0.27,11.44,17.6
,,,,,,9,19.2,19.2,14.5,22.5,74,59,91,3551.9,4.8,13.74,13.74,212.6,210.8,46361.1,44.4,125.69,125.69,40,45,15,1.2,0.33,11.84,17.7
,,,,,,10,17.4,17.4,11.9,21.5,78.2,60,94,2736.4,5.1,13.68,13.68,230,228.2,49097.5,50.8,139.37,139.37,40,45,15,1.2,0.4,12.25,0
,,,,,,11,15,15,10.5,18.5,78.8,64,90,2270,4,13.62,13.62,245,243.2,51367.5,50.8,152.99,152.99,40,45,15,1.2,0.48,12.65,6.4
,,,,,,12,16.5,16.5,14,19.6,73.5,62,81,2493.9,3.9,13.56,13.56,261.5,259.7,53861.4,52.1,166.55,166.55,40,45,15,1.2,0.58,13.06,0
,,,,,,13,16.9,16.9,13.1,22.5,75.2,55,89,4071.4,6.6,13.51,13.51,278.4,276.6,57932.8,54,180.06,180.06,40,45,15,1.2,0.69,13.47,1.3
,,,,,,14,15.9,15.9,11.8,20.6,74.8,55,87,4043.1,7.9,13.45,13.45,294.3,292.5,61975.9,69.4,193.51,193.51,40,45,15,1.2,0.82,13.87,1.9
,,,,,,15,18.1,18.1,14.3,23.4,83,67,97,2752.5,8.3,13.39,13.39,312.4,310.6,64728.4,70.3,206.9,206.9,40,45,15,1.2,0.97,14.27,15.4
,,,,,,16,19.3,19.3,13.2,25.7,82.2,69,97,5562.8,3.2,13.33,13.33,331.7,329.9,70291.2,70.3,220.23,220.23,40,45,15,1.2,1.13,14.67,0.9
,,,,,,17,19.5,19.5,14.1,24.7,78.2,64,91,4697.8,4.3,13.27,13.27,351.2,349.4,74989,70.3,233.5,233.5,40,45,15,1.2,1.31,15.07,0
,,,,,,18,19.1,19.1,10.8,28.1,70.2,41,89,5976.7,7.6,13.21,13.21,370.3,368.5,80965.7,70.4,246.71,246.71,40,45,15,1.2,1.5,15.46,0
,,,,,,19,19.9,19.9,10.9,29,69.8,43,90,6128.9,7.4,13.15,13.15,390.2,388.4,87094.6,70.4,259.86,259.86,40,45,15,1.2,1.7,15.84,0.1
,,,,,,20,19.8,19.8,11.4,28.8,69,45,90,6012.8,6.3,13.1,13.1,410,408.2,93107.4,70.4,272.96,272.96,40,45,15,1.2,1.91,16.22,0
