tage_seit_aussaat,durchwurzelte_schicht_cm,durchwurzelte_schicht_10cm
1,1.7,10
2,1.7,10
3,1.7,10
4,1.7,10
5,1.7,10
6,1.7,10
7,2.1,10
8,2.6,10
9,3.2,10
10,3.9,10
11,4.7,10
12,5.6,10
13,6.7,10
14,8,10
15,9.4,10
16,11,20
17,12.7,20
18,14.6,20
19,16.5,20
20,18.5,20
21,20.6,30
22,22.6,30
23,24.5,30
24,26.4,30
25,28.1,30
26,29.7,30
27,31.2,40
28,32.4,40
29,33.6,40
30,34.6,40
31,35.4,40
32,36.1,40
33,36.8,40
34,37.3,40
35,37.7,40
36,38.1,40
37,38.4,40
38,38.7,40
39,38.9,40
40,39.1,40
41,39.2,40
42,39.4,40
43,39.5,40
44,39.6,40
45,39.6,40
46,39.7,40
47,39.7,40
48,39.8,40
49,39.8,40
50,39.8,40
51,39.9,40
