datum,Tmean_gradC,Tmin_gradC,Tmax_gradC,wasser_input_mm
2023-01-01,12.1,7.7,16.8,0
2023-01-02,11.1,7.2,16.4,0
2023-01-03,7,2.8,10.3,0
2023-01-04,8.8,2.6,12.4,0
2023-01-05,11.6,9.4,13.3,0
2023-01-06,10.3,9,11.5,0
2023-01-07,8.7,5.7,11.3,0
2023-01-08,8.6,6.8,10.6,0
2023-01-09,7.8,6.3,9.6,0
2023-01-10,6.3,5,8.2,0
2023-01-11,8.8,5.9,11.7,0
2023-01-12,10.1,9.1,11.1,0
2023-01-13,9.5,7.6,11.2,0
2023-01-14,8.1,5.1,11.9,0
2023-01-15,7.2,3.5,11.8,0
2023-01-16,4.4,1.3,7.3,0
2023-01-17,2.8,1,4.3,0
2023-01-18,1.4,-2.5,3.8,0
2023-01-19,1.1,-2.2,3.8,0
2023-01-20,0.5,-3.5,4,0
2023-01-21,-0.7,-3.3,0.7,0
2023-01-22,1.3,0.2,2.3,0
2023-01-23,1.6,0.7,2.6,0
2023-01-24,2.2,1.6,2.9,0
2023-01-25,1,-0.1,1.8,0
2023-01-26,-0.5,-1.1,0,0
2023-01-27,1.7,-1,3.4,0
2023-01-28,1.9,0.2,2.9,0
2023-01-29,0.2,-1.7,2.1,0
2023-01-30,3.3,0,5,0
2023-01-31,4.6,1.5,6.5,0
2023-02-01,7,5.9,7.8,0
2023-02-02,8.1,7.3,9.4,0
2023-02-03,8.7,7.6,9.8,0
2023-02-04,6.7,-0.3,9.6,0
2023-02-05,3.8,-0.2,6.6,0
2023-02-06,2.9,-1.2,5.8,0
2023-02-07,-0.4,-5.1,3.8,0
2023-02-08,-1.6,-6.2,4.5,0
2023-02-09,-2,-7.3,3.7,0
2023-02-10,-0.2,-7.1,8,0
2023-02-11,5.1,0.1,8.5,0
2023-02-12,5.7,0.9,10.2,0
2023-02-13,3.6,-1.1,11,0
2023-02-14,0.7,-2.5,2.5,0
2023-02-15,1.3,-1,2.8,0
2023-02-16,2.9,-1.9,12.7,0
2023-02-17,12.1,10.8,13.8,0
2023-02-18,12.2,10.3,14.9,0
2023-02-19,10.4,8.8,12.8,0
2023-02-20,10,4.9,15.1,0
2023-02-21,8.9,1.9,16.1,0
2023-02-22,7.5,1.1,14.4,0
2023-02-23,10.3,8,14.4,0
2023-02-24,8.7,5.7,12.4,0
2023-02-25,4.5,0.2,7.8,0
2023-02-26,0.7,-2.1,3.8,0
2023-02-27,0.4,-3.5,4.7,0
2023-02-28,0.6,-3.2,5.3,0
2023-03-01,2.4,-2.1,8.5,0
2023-03-02,5,-0.5,11.2,0
2023-03-03,3.9,0.6,8.9,0
2023-03-04,3.3,-1.6,5.8,0
2023-03-05,5,4.2,6,0
2023-03-06,4.1,3.2,6,0
2023-03-07,5.9,3,9.2,0
2023-03-08,6.7,1.1,11.7,0
2023-03-09,11.5,9.7,14.2,0
2023-03-10,9.2,2.3,12.1,0
2023-03-11,2.3,-1.5,6,0
