datum,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent
2023-01-01,76.2,65,86
2023-01-02,79,62,90
2023-01-03,80.2,69,96
2023-01-04,83.5,74,93
2023-01-05,72.2,66,78
2023-01-06,86.2,72,97
2023-01-07,82,77,85
2023-01-08,85,76,93
2023-01-09,80.2,72,96
2023-01-10,74,65,79
2023-01-11,84.8,75,95
2023-01-12,73.8,71,76
2023-01-13,70.8,60,80
2023-01-14,79.8,72,87
2023-01-15,80,65,87
2023-01-16,77.8,71,87
2023-01-17,74,72,78
2023-01-18,71.8,58,78
2023-01-19,76.2,62,88
2023-01-20,83.5,67,96
2023-01-21,87.8,78,98
2023-01-22,83,80,85
2023-01-23,84.2,77,94
2023-01-24,82.5,81,84
2023-01-25,90.8,88,95
2023-01-26,84.5,77,88
2023-01-27,88.8,78,97
2023-01-28,78.5,68,86
2023-01-29,72.5,65,81
2023-01-30,78.8,76,81
2023-01-31,76.5,72,80
2023-02-01,73.5,66,81
2023-02-02,71.8,68,75
2023-02-03,77.5,73,84
2023-02-04,77.5,65,85
2023-02-05,93.2,90,95
2023-02-06,82.2,74,88
2023-02-07,72.8,57,90
2023-02-08,70.5,45,86
2023-02-09,78.8,60,88
2023-02-10,80.5,69,90
2023-02-11,75.2,63,88
2023-02-12,88.2,83,91
2023-02-13,86.8,67,99
2023-02-14,95.2,93,98
2023-02-15,96,93,100
2023-02-16,93.5,87,99
2023-02-17,73,63,78
2023-02-18,71.2,60,79
2023-02-19,75,64,81
2023-02-20,69,53,84
2023-02-21,73.2,59,89
2023-02-22,81.5,68,95
2023-02-23,85,68,99
2023-02-24,70.8,55,82
2023-02-25,62.5,57,68
2023-02-26,63,56,79
2023-02-27,60.2,46,75
2023-02-28,63.8,50,79
2023-03-01,65,51,78
2023-03-02,61.8,52,72
2023-03-03,65.8,55,78
2023-03-04,73.5,66,81
2023-03-05,65.5,55,75
2023-03-06,68,62,72
2023-03-07,61.5,50,71
2023-03-08,76.2,55,94
2023-03-09,77.8,72,86
2023-03-10,71.8,66,78
2023-03-11,58.5,42,68
2023-03-12,76,61,90
2023-03-13,69.5,55,82
2023-03-14,69.8,58,77
2023-03-15,78.5,76,83
2023-03-16,78.2,60,95
2023-03-17,76,57,87
2023-03-18,66.8,40,89
2023-03-19,71.5,54,85
2023-03-20,68,51,83
2023-03-21,73.2,61,86
2023-03-22,67,42,93
2023-03-23,67.2,56,75
2023-03-24,71.8,49,83
2023-03-25,72.5,69,78
2023-03-26,77.2,74,80
2023-03-27,75,69,79
2023-03-28,65.2,51,77
2023-03-29,70,56,80
2023-03-30,65,50,81
2023-03-31,78.5,64,92
2023-04-01,70.2,67,74
2023-04-02,85.8,75,92
2023-04-03,62,47,82
2023-04-04,56.5,39,71
2023-04-05,57.5,39,76
2023-04-06,59,33,77
2023-04-07,82.5,68,94
2023-04-08,75.2,65,83
2023-04-09,61.5,43,79
2023-04-10,62.5,36,87
2023-04-11,64.5,45,81
2023-04-12,78.8,60,95
2023-04-13,66.2,63,70
2023-04-14,69.2,52,88
2023-04-15,71.8,51,81
2023-04-16,79.5,78,82
2023-04-17,80.8,69,87
2023-04-18,69.2,59,79
2023-04-19,63.5,37,80
2023-04-20,67,58,75
2023-04-21,83.8,63,99
2023-04-22,68.8,40,93
2023-04-23,70.2,55,85
2023-04-24,70.5,60,85
2023-04-25,70.2,54,83
2023-04-26,63,45,82
2023-04-27,60.2,42,80
2023-04-28,85,73,96
2023-04-29,78.5,69,94
2023-04-30,63,46,82
2023-05-01,65.2,51,78
2023-05-02,66.2,53,80
2023-05-03,59.8,42,73
