datum,globalstrahlung_Wh_m2
2023-01-01,693.9
2023-01-02,564.7
2023-01-03,555.8
2023-01-04,233.3
2023-01-05,460.8
2023-01-06,522.5
2023-01-07,663.1
2023-01-08,582.5
2023-01-09,817.2
2023-01-10,578.3
2023-01-11,492.2
2023-01-12,583.1
2023-01-13,1092.5
2023-01-14,343.9
2023-01-15,530.3
2023-01-16,487.2
2023-01-17,924.7
2023-01-18,1299.4
2023-01-19,875.8
2023-01-20,1086.1
2023-01-21,1097.8
2023-01-22,546.7
2023-01-23,452.5
2023-01-24,255.8
2023-01-25,391.4
2023-01-26,361.1
2023-01-27,477.2
2023-01-28,397.2
2023-01-29,1601.9
2023-01-30,298.3
2023-01-31,469.4
2023-02-01,886.1
2023-02-02,433.3
2023-02-03,407.5
2023-02-04,1150.3
2023-02-05,268.9
2023-02-06,1226.1
2023-02-07,2605.3
2023-02-08,2672.8
2023-02-09,2646.1
2023-02-10,1812.2
2023-02-11,1746.4
2023-02-12,868.3
2023-02-13,2871.1
2023-02-14,3040.6
2023-02-15,3031.7
2023-02-16,2058.6
2023-02-17,581.7
2023-02-18,1261.4
2023-02-19,1237.8
2023-02-20,3099.4
2023-02-21,3178.3
2023-02-22,2532.5
2023-02-23,1827.2
2023-02-24,2016.9
2023-02-25,1741.4
2023-02-26,1170
2023-02-27,3439.7
2023-02-28,2693.9
2023-03-01,3613.1
2023-03-02,3604.7
2023-03-03,3609.4
2023-03-04,824.4
2023-03-05,795.6
2023-03-06,558.6
2023-03-07,2802.2
2023-03-08,763.3
2023-03-09,1956.9
2023-03-10,1898.3
2023-03-11,2623.95862068966
2023-03-12,2623.95862068966
2023-03-13,2536.7
2023-03-14,1712.8
2023-03-15,2522.8
2023-03-16,3994.7
2023-03-17,2605.8
2023-03-18,3763.3
2023-03-19,2297.5
2023-03-20,2343.3
2023-03-21,2190.3
2023-03-22,3532.2
2023-03-23,1674.7
2023-03-24,2341.4
2023-03-25,3907.5
2023-03-26,2988.6
2023-03-27,3940.3
2023-03-28,4290.3
2023-03-29,2942.8
2023-03-30,3703.6
2023-03-31,2379.7
2023-04-01,2013.6
2023-04-02,1132.2
2023-04-03,3793.1
2023-04-04,5973.9
2023-04-05,6019.4
2023-04-06,4172.5
2023-04-07,3266.1
2023-04-08,3353.6
2023-04-09,4441.1
2023-04-10,4783.1
2023-04-11,4419.7
2023-04-12,2441.4
2023-04-13,3434.2
2023-04-14,4847.5
2023-04-15,3595.6
2023-04-16,1143.3
2023-04-17,2270
2023-04-18,2252.8
2023-04-19,3355
2023-04-20,3617.2
2023-04-21,5899.4
2023-04-22,4113.9
2023-04-23,4072.2
2023-04-24,3514.2
2023-04-25,1933.1
2023-04-26,4980.8
2023-04-27,5097.5
2023-04-28,2515
2023-04-29,3063.3
2023-04-30,4686.7
2023-05-01,3961.7
2023-05-02,4346.7
2023-05-03,6980
2023-05-04,7146.4
2023-05-05,3649.4
2023-05-06,4420.3
2023-05-07,4338.6
2023-05-08,2245.8
2023-05-09,2235.8
2023-05-10,4011.9
2023-05-11,2610.6
2023-05-12,1456.4
2023-05-13,5142.5
2023-05-14,5280.3
2023-05-15,4033.6
2023-05-16,3707.8
2023-05-17,4885.6
2023-05-18,7399.4
2023-05-19,5825.6
2023-05-20,5096.4
2023-05-21,5500.6
2023-05-22,3830.6
2023-05-23,4452.5
2023-05-24,7499.7
2023-05-25,8253.9
2023-05-26,8320.6
2023-05-27,7856.7
2023-05-28,8261.4
2023-05-29,8225
2023-05-30,7956.1
2023-05-31,8690.3
2023-06-01,8328.6
2023-06-02,8356.4
2023-06-03,8312.8
2023-06-04,8223.9
2023-06-05,7890.3
2023-06-06,7710.6
2023-06-07,7356.1
2023-06-08,7376.4
2023-06-09,7929.7
2023-06-10,7635.6
2023-06-11,8471.4
2023-06-12,8138.1
2023-06-13,8870.8
2023-06-14,8412.2
2023-06-15,7410.3
2023-06-16,6552.2
2023-06-17,7147.5
