datum,windgeschwindigkeit_m_s
2023-01-01,10
2023-01-02,11.1
2023-01-03,5.5
2023-01-04,13.5
2023-01-05,10.4
2023-01-06,9.1
2023-01-07,6.9
2023-01-08,8
2023-01-09,10.8
2023-01-10,8.5
2023-01-11,10.5
2023-01-12,14.4
2023-01-13,13.9
2023-01-14,12.3
2023-01-15,12.8
2023-01-16,11.8
2023-01-17,5.4
2023-01-18,5.4
2023-01-19,7.1
2023-01-20,5.1
2023-01-21,7.1
2023-01-22,6.5
2023-01-23,7.1
2023-01-24,6.9
2023-01-25,2.7
2023-01-26,2.3
2023-01-27,6
2023-01-28,5.7
2023-01-29,4.7
2023-01-30,11.7
2023-01-31,11.8
2023-02-01,12.2
2023-02-02,12.8
2023-02-03,11.8
2023-02-04,3.9
2023-02-05,6.1
2023-02-06,5.5
2023-02-07,6
2023-02-08,6.2
2023-02-09,4
2023-02-10,4.7
2023-02-11,6.7
2023-02-12,4.8
2023-02-13,5.3
2023-02-14,4.4
2023-02-15,5.4
2023-02-16,8.7
2023-02-17,15.5
2023-02-18,14
2023-02-19,9.3
2023-02-20,10.6
2023-02-21,4.8
2023-02-22,5.6
2023-02-23,3.3
2023-02-24,5.4
2023-02-25,7.5
2023-02-26,8.1
2023-02-27,8
2023-02-28,7.1
2023-03-01,7.2
2023-03-02,5.9
2023-03-03,4.5
2023-03-04,5
2023-03-05,4.4
2023-03-06,7.3
2023-03-07,12.8
2023-03-08,10.9
2023-03-09,12.8
2023-03-10,15.6
2023-03-11,3
2023-03-12,11.7
2023-03-13,13.6
2023-03-14,12.4
2023-03-15,6.9
2023-03-16,5.3
2023-03-17,5.8
2023-03-18,5.2
2023-03-19,6
2023-03-20,6.9
2023-03-21,5.1
2023-03-22,8.5
2023-03-23,9.9
2023-03-24,12.2
2023-03-25,14.4
2023-03-26,9.3
2023-03-27,7
2023-03-28,5
2023-03-29,7.5
2023-03-30,12.2
2023-03-31,12.4
2023-04-01,13.1
2023-04-02,5.4
2023-04-03,6.6
2023-04-04,5.4
2023-04-05,3.5
2023-04-06,4.9
2023-04-07,5.1
2023-04-08,3.9
2023-04-09,4.8
2023-04-10,6.6
2023-04-11,8.9
2023-04-12,9.4
2023-04-13,8.4
2023-04-14,3.7
2023-04-15,5
2023-04-16,6.4
2023-04-17,5.6
2023-04-18,6.6
2023-04-19,5.9
2023-04-20,5
2023-04-21,5.5
2023-04-22,6.9
2023-04-23,7.2
2023-04-24,10.7
2023-04-25,4.1
2023-04-26,3.4
2023-04-27,3.8
2023-04-28,7.5
2023-04-29,5.3
2023-04-30,5.4
2023-05-01,4.2
2023-05-02,5.2
2023-05-03,5
2023-05-04,5.2
2023-05-05,6
2023-05-06,3.9
2023-05-07,4
2023-05-08,2.8
2023-05-09,3.8
2023-05-10,7.9
2023-05-11,4
2023-05-12,3.9
2023-05-13,4.5
2023-05-14,4.2
2023-05-15,4.3
2023-05-16,6.9
2023-05-17,5.4
2023-05-18,5.9
2023-05-19,5.6
2023-05-20,6.9
2023-05-21,3.9
2023-05-22,4.2
2023-05-23,6
2023-05-24,6
2023-05-25,6.9
2023-05-26,6.5
2023-05-27,5.5
2023-05-28,5
2023-05-29,6.7
2023-05-30,6.8
2023-05-31,6.6
2023-06-01,4.5
2023-06-02,6.5
2023-06-03,6
2023-06-04,5.7
2023-06-05,5.2
2023-06-06,5
2023-06-07,4
2023-06-08,4
2023-06-09,5.9
2023-06-10,5.4
2023-06-11,6.5
2023-06-12,5.6
2023-06-13,6.4
2023-06-14,5.4
2023-06-15,4
2023-06-16,3.4
2023-06-17,1.6
2023-06-18,2.6
2023-06-19,5.8
2023-06-20,6.1
2023-06-21,4.7
2023-06-22,7.7
2023-06-23,7.4
2023-06-24,3.3
2023-06-25,3.2
2023-06-26,7.5
2023-06-27,4.3
2023-06-28,2.7
2023-06-29,2.5
2023-06-30,4.3
2023-07-01,8.3
2023-07-02,8.9
2023-07-03,9.2
2023-07-04,6.9
2023-07-05,9.5
2023-07-06,3
2023-07-07,4.4
2023-07-08,4.5
2023-07-09,3.5
2023-07-10,6.3
2023-07-11,4
2023-07-14,5
2023-07-15,8.4
2023-07-16,8.1
2023-07-17,7.3
2023-07-18,3.8
2023-07-19,8.1
2023-07-20,4.5
2023-07-21,6
2023-07-22,5.5
2023-07-23,8.8
2023-07-24,6.9
2023-07-25,5.7
2023-07-26,7.2
2023-07-27,9.6
2023-07-28,8.2
2023-07-29,7.7
2023-07-30,9.1
2023-07-31,9.7
2023-08-01,11
2023-08-02,12.2
2023-08-03,12.2
2023-08-04,4.3
2023-08-05,5
2023-08-06,13
2023-08-07,10.9
2023-08-08,8.9
2023-08-09,7.4
2023-08-10,3.2
2023-08-11,3.7
2023-08-12,5.6
2023-08-13,4.5
2023-08-14,3.5
2023-08-15,4.7
2023-08-16,4
2023-08-17,3.8
2023-08-18,3.9
2023-08-19,4.6
2023-08-20,3.6
2023-08-21,3.1
2023-08-22,4.9
2023-08-23,3.3
2023-08-24,5.8
2023-08-25,8.8
2023-08-26,4.8
2023-08-27,5.1
2023-08-28,4
2023-08-29,3.9
2023-08-30,6.6
2023-08-31,7.9
2023-09-01,8.3
2023-09-02,3.2
2023-09-03,4.3
2023-09-04,7.6
2023-09-05,7.4
2023-09-06,6.3
2023-09-07,6.1
2023-09-08,3.9
2023-09-09,2
2023-09-10,2.6
2023-09-11,2.6
2023-09-12,4.6
2023-09-13,6
2023-09-14,4.9
2023-09-15,4.6
2023-09-16,3.3
2023-09-17,4.7
2023-09-18,8.4
2023-09-19,9.2
2023-09-20,6.4
2023-09-21,6.7
2023-09-22,7.6
2023-09-23,6.8
2023-09-24,4.3
2023-09-25,4.7
2023-09-26,3.1
2023-09-27,2.8
2023-09-28,4.5
2023-09-29,7.5
2023-09-30,2.3
2023-10-01,3.8
2023-10-02,4
2023-10-03,11.5
