nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
78.1,79,61.5,37.8,25.9,34,1,26.4,25,20.9,32.6,62.8,44,79,6072.8,1.8,14.04,14.04,26.4,25,6072.8,10,14.04,14.04,29,56,15,1.2,0.18,10.63,0
,,,,,,2,24.8,24.8,18,31,67,46,86,6450.6,2.4,13.98,13.98,51.2,49.8,12523.4,10,28.02,28.02,29,56,15,1.2,0.18,10.63,10
,,,,,,3,22.6,22.6,16.5,29.6,66.2,48,82,6360.6,1.9,13.92,13.92,73.8,72.4,18884,10,41.94,41.94,29,56,15,1.2,0.18,10.63,0
,,,,,,4,21.9,21.9,16.4,30.6,75,46,92,3975.8,2.5,13.87,13.87,95.7,94.3,22859.8,13.1,55.81,55.81,29,56,15,1.2,0.18,10.63,0
,,,,,,5,22.2,22.2,17.7,28.3,80.8,63,97,3471.9,3.8,13.81,13.81,117.9,116.5,26331.7,19.3,69.62,69.62,29,56,15,1.2,0.18,10.63,3.1
,,,,,,6,19.4,19.4,14.9,23.2,73.2,51,96,3072.8,2.3,13.75,13.75,137.3,135.9,29404.5,19.3,83.37,83.37,29,56,15,1.2,0.18,10.63,6.2
,,,,,,7,17.4,17.4,11.7,21.7,81.2,68,95,2553.6,2,13.69,13.69,154.7,153.3,31958.1,19.3,97.06,97.06,29,56,15,1.2,0.22,11.03,0
,,,,,,8,14.9,14.9,10.3,19,78.8,64,93,2602.2,2.2,13.64,13.64,169.6,168.2,34560.3,19.3,110.7,110.7,29,56,15,1.2,0.27,11.43,0
,,,,,,9,16.2,16.2,12.7,21,74.8,59,83,2486.1,1.9,13.58,13.58,185.8,184.4,37046.4,19.6,124.28,124.28,29,56,15,1.2,0.32,11.83,0
,,,,,,10,16.9,16.9,12.9,22.8,76.8,58,94,4879.7,3.1,13.52,13.52,202.7,201.3,41926.1,22.6,137.8,137.8,29,56,15,1.2,0.39,12.23,0.3
,,,,,,11,15.9,15.9,10.9,21.2,72.5,49,88,3619.2,3.1,13.46,13.46,218.6,217.2,45545.3,35.4,151.26,151.26,29,56,15,1.2,0.47,12.63,3
,,,,,,12,17.9,17.9,14.1,22.9,88.8,77,97,2524.2,2.8,13.4,13.4,236.5,235.1,48069.5,38.4,164.66,164.66,29,56,15,1.2,0.57,13.03,12.8
,,,,,,13,18.7,18.7,11.8,25.7,84.2,64,98,5760.3,1.4,13.34,13.34,255.2,253.8,53829.8,38.4,178,178,29,56,15,1.2,0.68,13.43,3
,,,,,,14,19.4,19.4,14.4,24.9,79.8,65,95,5000.6,2.2,13.28,13.28,274.6,273.2,58830.4,38.4,191.28,191.28,29,56,15,1.2,0.81,13.83,0
,,,,,,15,20.3,20.3,11.7,28.5,68.2,41,93,6017.8,2,13.22,13.22,294.9,293.5,64848.2,38.4,204.5,204.5,29,56,15,1.2,0.95,14.23,0
,,,,,,16,21.1,21.1,12.4,29.4,62.8,43,81,6034.4,2,13.16,13.16,316,314.6,70882.6,38.4,217.66,217.66,29,56,15,1.2,1.11,14.62,0
,,,,,,17,20.3,20.3,11.1,29.2,70,46,93,5906.4,1.6,13.1,13.1,336.3,334.9,76789,38.4,230.76,230.76,29,56,15,1.2,1.28,15.01,0
,,,,,,18,21,21,13.4,30.2,68.8,50,87,5846.7,1.5,13.04,13.04,357.3,355.9,82635.7,38.4,243.8,243.8,29,56,15,1.2,1.47,15.4,0
,,,,,,19,20.5,20.5,11.3,29.7,75.5,46,94,5761.1,1,12.98,12.98,377.8,376.4,88396.8,53.4,256.78,256.78,29,56,15,1.2,1.67,15.78,0
,,,,,,20,20.7,20.7,12.2,30,78,50,95,5660.6,1,12.92,12.92,398.5,397.1,94057.4,53.4,269.7,269.7,29,56,15,1.2,1.87,16.15,15
