tage_seit_aussaat,durchwurzelte_schicht_cm,durchwurzelte_schicht_10cm
1,1.7,10
2,1.7,10
3,1.7,10
4,1.7,10
5,1.7,10
6,1.7,10
7,2.1,10
8,2.6,10
9,3.1,10
10,3.8,10
11,4.6,10
12,5.5,10
13,6.6,10
14,7.8,10
15,9.2,10
16,10.8,20
17,12.5,20
18,14.3,20
19,16.2,20
20,18.2,20
21,20.2,30
22,22.2,30
23,24.1,30
24,26,30
25,27.7,30
26,29.3,30
27,30.8,40
28,32.1,40
29,33.2,40
30,34.3,40
31,35.1,40
32,35.9,40
33,36.5,40
34,37.1,40
35,37.6,40
36,38,40
37,38.3,40
38,38.6,40
39,38.8,40
40,39,40
41,39.2,40
42,39.3,40
43,39.4,40
44,39.5,40
45,39.6,40
46,39.7,40
47,39.7,40
48,39.8,40
