nFK_0010_Vortag,nFK_1020_Vortag,nFK_2030_Vortag,nFK_3040_Vortag,nFK_4050_Vortag,nFK_5060_Vortag,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,wasser_input_Vortag
100,100,100,100,100,100,0,2.9,0,-2,9.4,61.5,47,74,3635.3,3.5,10.84,0,2.9,0,3635.3,0,10.84,0,30,55,15,1.2,3.2,20.1,0
,,,,,,1,5.2,0,-0.5,11.9,59.5,50,70,3611.4,2.9,10.9,0,8.1,0,7246.7,0,21.74,0,30,55,15,1.2,3.2,20.1,0
,,,,,,2,3.1,0,-0.7,9,67.5,58,83,3562.5,2.7,10.96,0,11.2,0,10809.2,0,32.7,0,30,55,15,1.2,3.2,20.1,0
,,,,,,3,2,0,-4.9,5.6,79.2,70,93,853.9,1.8,11.02,0,13.2,0,11663.1,0,43.72,0,30,55,15,1.2,3.2,20.1,0
,,,,,,4,4.4,0,2.2,6.2,69.2,55,79,991.4,1.8,11.08,0,17.6,0,12654.5,0,54.8,0,30,55,15,1.2,3.2,20.1,0
,,,,,,5,4,0,2.1,6.6,71.8,65,79,999.7,3.3,11.14,0,21.6,0,13654.2,0,65.94,0,30,55,15,1.2,3.2,20.1,0
,,,,,,6,5.7,0,3,8.1,64.2,51,79,1300.6,5.1,11.21,0,27.3,0,14954.8,0,77.15,0,30,55,15,1.2,3.2,20.1,0
,,,,,,7,6.3,0,2.4,10.8,77.2,59,94,596.7,4,11.27,0,33.6,0,15551.5,13.4,88.42,0,30,55,15,1.2,3.2,20.1,0
,,,,,,8,11.2,11.2,9.2,14.5,79.2,70,96,1723.3,5.1,11.33,11.33,44.8,11.2,17274.8,13.4,99.75,11.33,30,55,15,1.2,3.2,20.1,13.4
,,,,,,9,9.2,9.2,2.2,12.1,73,68,82,995.6,6.7,11.39,11.39,54,20.4,18270.4,14.6,111.14,22.72,30,55,15,1.2,3.2,20.1,0
,,,,,,10,1.7,0,-3.7,6,61.5,48,79,3623.1,2.9,11.45,0,55.7,20.4,21893.5,14.8,122.59,22.72,30,55,15,1.2,3.2,20.1,1.2
,,,,,,11,5.1,0,-4.2,13.5,81.5,65,93,1888.3,2.9,11.52,0,60.8,20.4,23781.8,15.3,134.11,22.72,30,55,15,1.2,3.2,20.1,0.2
,,,,,,12,13.3,13.3,9.2,21,77,60,88,1977.2,5.9,11.58,11.58,74.1,33.7,25759,20.5,145.69,34.3,30,55,15,1.2,3.2,20.1,0.5
,,,,,,13,9.3,9.3,2.7,13.2,73,62,83,1741.4,6.2,11.64,11.64,83.4,43,27500.4,21,157.33,45.94,30,55,15,1.2,3.2,20.1,5.2
,,,,,,14,2.6,0,-1.8,8,76.8,71,81,1400.3,2.2,11.7,0,86,43,28900.7,21.1,169.03,45.94,30,55,15,1.2,3.2,20.1,0.5
,,,,,,15,4.2,0,-3.8,12.5,76.8,56,98,3846.7,1.9,11.76,0,90.2,43,32747.4,21.1,180.79,45.94,30,55,15,1.2,3.2,20.1,0.1
