datum,Tmean_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,niederschlag_mm_sum,wasser_input_mm
2021-10-18T00:00:00Z,8.7,4.7,14.2,89.67,4.7,4.7
2021-10-19T00:00:00Z,11,6.2,17.2,92.21,7.6,7.6
2021-10-20T00:00:00Z,13.8,6.1,18.9,86.17,10.3,10.3
2021-10-21T00:00:00Z,12.5,4.8,15.6,73.04,0.9,0.9
2021-10-22T00:00:00Z,7.7,2.7,12.1,79.88,0,0
2021-10-23T00:00:00Z,7.9,0.2,13.3,84.46,0,0
2021-10-24T00:00:00Z,4.8,-1.4,14.1,85.33,0,0
2021-10-25T00:00:00Z,6,-1.8,15.7,88.54,0.1,0.1
2021-10-26T00:00:00Z,11.2,4.1,15.7,85.38,0.2,0.2
2021-10-27T00:00:00Z,9.4,3,16.6,87.96,0,0
2021-10-28T00:00:00Z,6.3,1.9,9.2,96.75,0,0
2021-10-29T00:00:00Z,6.8,2.3,10.9,95.38,0,0
2021-10-30T00:00:00Z,6.2,2.1,10.1,95.92,2,2
2021-10-31T00:00:00Z,12.7,7.5,18.5,90.04,4.2,4.2
2021-11-01T00:00:00Z,10.3,3.8,14.4,90.67,1.6,1.6
2021-11-02T00:00:00Z,7.1,2.9,10.1,94.96,5.8,5.8
2021-11-03T00:00:00Z,7.3,3.3,9.4,96.25,2.8,2.8
2021-11-04T00:00:00Z,7.6,6.4,9.4,86.17,2.3,2.3
2021-11-05T00:00:00Z,7.4,4.6,10.8,88.17,0,0
2021-11-06T00:00:00Z,5.5,4.1,7.4,97.46,0,0
2021-11-07T00:00:00Z,6.4,3,9.4,90.38,0.1,0.1
2021-11-08T00:00:00Z,6.1,0.4,10.4,89.58,0,0
2021-11-09T00:00:00Z,4.9,-1.2,11.5,86.71,0,0
2021-11-10T00:00:00Z,1.9,-2,7.4,92.5,0,0
2021-11-11T00:00:00Z,1.5,-2.3,3.1,98.5,0,0
2021-11-12T00:00:00Z,1.8,0.8,2.7,98.63,0,0
2021-11-13T00:00:00Z,5.4,2.2,7.8,96.21,10.2,10.2
2021-11-14T00:00:00Z,8.6,7.3,10.1,91.5,0,0
2021-11-15T00:00:00Z,8.1,7.2,8.9,83.71,0,0
2021-11-16T00:00:00Z,6.7,5.8,7.3,91.08,0.1,0.1
2021-11-17T00:00:00Z,6.7,5.4,8.4,87.08,0.3,0.3
