datum,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent
2021-10-18,91.8,75,100
2021-10-19,91.2,84,98
2021-10-20,87.8,70,99
2021-10-21,74.8,60,93
2021-10-22,81.5,62,97
2021-10-23,84.8,62,97
2021-10-24,85.8,57,97
2021-10-25,87.2,63,99
2021-10-26,83.8,65,96
2021-10-27,89,69,98
2021-10-28,96,94,99
2021-10-29,95.2,87,99
2021-10-30,96.2,92,100
2021-10-31,91.5,78,99
2021-11-01,88.2,80,96
2021-11-02,95.2,88,100
2021-11-03,96,91,100
2021-11-04,87.2,77,98
2021-11-05,87.5,73,97
2021-11-06,96.5,90,100
2021-11-07,89.8,81,98
2021-11-08,88.5,67,100
2021-11-09,84.2,63,98
2021-11-10,92.8,80,100
2021-11-11,98.8,98,100
2021-11-12,99,98,100
2021-11-13,96,92,98
2021-11-14,93.5,88,99
2021-11-15,83.2,81,86
2021-11-16,89.8,87,93
2021-11-17,85.5,76,98
2021-11-18,87.8,76,98
2021-11-19,91.5,85,96
2021-11-20,89.8,82,95
2021-11-21,91,83,96
2021-11-22,82.2,70,97
2021-11-23,81,64,96
2021-11-24,84.2,67,93
2021-11-25,78.8,75,82
2021-11-26,84,80,86
2021-11-27,87.5,77,93
2021-11-28,90,85,92
2021-11-29,84.5,72,92
2021-11-30,83.5,81,85
2021-12-01,83,77,88
2021-12-02,85,80,91
2021-12-03,82.5,78,93
2021-12-04,87.5,76,98
2021-12-05,86.2,75,91
2021-12-06,91,80,97
2021-12-07,80.5,71,89
2021-12-08,85,68,97
2021-12-09,88,79,97
2021-12-10,94,89,97
2021-12-11,83.5,70,93
2021-12-12,87.2,79,91
2021-12-13,93,86,98
2021-12-14,95,91,98
2021-12-15,90.8,82,99
2021-12-16,87.8,80,93
2021-12-17,86.5,71,96
2021-12-18,91,85,93
2021-12-19,88.5,82,98
2021-12-20,81.2,67,94
2021-12-21,84.8,73,94
2021-12-22,87.2,74,95
2021-12-23,89,84,94
2021-12-24,86.8,78,97
