datum,globalstrahlung_Wh_m2
2021-10-18,2078.3
2021-10-19,1035.3
2021-10-20,1170.8
2021-10-21,1420.8
2021-10-22,2452.5
2021-10-23,1745.8
2021-10-24,3049.2
2021-10-25,2678.6
2021-10-26,1529.2
2021-10-27,2212.2
2021-10-28,1306.4
2021-10-29,1770
2021-10-30,518.9
2021-10-31,1442.2
2021-11-01,957.8
2021-11-02,728.6
2021-11-03,503.1
2021-11-04,508.9
2021-11-05,1161.9
2021-11-06,1217.2
2021-11-07,528.9
2021-11-08,1650.6
2021-11-09,2191.1
2021-11-10,1509.7
2021-11-11,480
2021-11-12,335.6
2021-11-13,376.7
2021-11-14,799.4
2021-11-15,201.1
2021-11-16,168.3
2021-11-17,562.5
2021-11-18,1131.7
2021-11-19,393.3
2021-11-20,755.8
2021-11-21,443.6
2021-11-22,890.3
2021-11-23,1792.2
2021-11-24,1406.1
2021-11-25,257.5
2021-11-26,568.3
2021-11-27,551.1
2021-11-28,496.7
2021-11-29,648.6
2021-11-30,79.4
2021-12-01,307.5
2021-12-02,487.2
2021-12-03,709.2
2021-12-04,202.2
2021-12-05,1104.2
2021-12-06,497.5
2021-12-07,1126.9
2021-12-08,332.5
2021-12-09,537.2
2021-12-10,490.3
2021-12-11,560.3
2021-12-12,435.3
2021-12-13,600.6
2021-12-14,236.9
2021-12-15,679.4
2021-12-16,840.8
2021-12-17,1269.2
2021-12-18,252.8
2021-12-19,275.3
2021-12-20,1204.7
2021-12-21,1408.3
2021-12-22,1292.5
2021-12-23,502.8
2021-12-24,214.2
2021-12-25,153.9
2021-12-26,271.4
2021-12-27,791.7
2021-12-28,293.6
2021-12-29,381.1
2021-12-30,360
2021-12-31,1105
2022-01-01,827.8
2022-01-02,509.7
2022-01-03,313.1
2022-01-04,139.4
2022-01-05,879.2
2022-01-06,1061.9
2022-01-07,221.9
2022-01-08,782.5
2022-01-09,910.3
2022-01-10,1153.3
2022-01-11,565.6
2022-01-12,1452.2
2022-01-13,1474.4
2022-01-14,518.9
2022-01-15,494.2
2022-01-16,254.7
2022-01-17,544.2
2022-01-18,707.2
2022-01-19,720.3
2022-01-20,897.5
2022-01-21,685.6
2022-01-22,200
2022-01-23,565.6
2022-01-24,1633.1
2022-01-25,367.5
2022-01-26,186.1
2022-01-27,296.1
2022-01-28,1030
2022-01-29,438.3
2022-01-30,1135.6
2022-01-31,614.7
2022-02-01,467.8
2022-02-02,1748.6
2022-02-03,784.4
2022-02-04,507.2
2022-02-05,1650.8
2022-02-06,314.4
2022-02-07,1157.5
2022-02-08,698.6
2022-02-09,2251.9
2022-02-10,353.1
2022-02-11,1194.2
2022-02-12,2616.4
2022-02-13,2716.7
2022-02-14,1019.4
2022-02-15,1302.8
2022-02-16,417.8
2022-02-17,2262.8
2022-02-18,672.8
2022-02-19,2669.7
2022-02-20,769.7
2022-02-21,994.2
2022-02-22,1263.9
2022-02-23,3274.4
2022-02-24,1610
2022-02-25,2044.7
2022-02-26,3576.7
2022-02-27,3665
2022-02-28,3687.5
2022-03-01,3598.6
2022-03-02,1788.9
2022-03-03,3779.4
2022-03-04,3826.1
2022-03-05,3816.4
2022-03-06,3616.4
2022-03-07,4041.9
2022-03-08,4296.4
2022-03-09,4355
2022-03-10,4396.4
2022-03-11,4273.9
2022-03-12,3859.7
2022-03-13,3886.4
2022-03-14,2482.5
2022-03-15,634.4
2022-03-16,2630
2022-03-17,1064.7
2022-03-18,3730
2022-03-19,4703.9
2022-03-20,3198.1
2022-03-21,4140
2022-03-22,4840.8
2022-03-23,4865.8
2022-03-24,4958.6
2022-03-25,4841.7
2022-03-26,5216.9
2022-03-27,5315.3
2022-03-28,5020.6
2022-03-29,3272.2
2022-03-30,1373.9
2022-03-31,1860
2022-04-01,981.1
2022-04-02,1872.8
2022-04-03,4396.4
2022-04-04,4505.8
2022-04-05,680.6
2022-04-06,3513.3
2022-04-07,1570.6
2022-04-08,834.7
2022-04-09,5630
2022-04-10,3276.7
2022-04-11,6206.4
2022-04-12,5500.3
2022-04-13,4929.7
2022-04-14,4228.3
2022-04-15,6183.9
2022-04-16,5911.1
2022-04-17,6859.4
2022-04-18,6816.7
2022-04-19,6665
2022-04-20,6905.6
2022-04-21,4782.5
2022-04-22,6051.9
2022-04-23,3732.8
2022-04-24,1032.2
2022-04-25,5430.6
2022-04-26,3437.2
2022-04-27,5742.2
2022-04-28,7246.9
2022-04-29,4913.1
2022-04-30,1220.8
2022-05-01,3748.9
2022-05-02,5238.6
2022-05-03,4691.4
2022-05-04,5572.8
2022-05-05,1581.1
2022-05-06,6584.4
2022-05-07,7091.9
2022-05-08,4556.9
2022-05-09,7235.3
