tage_seit_aussaat,durchwurzelte_schicht_cm,durchwurzelte_schicht_10cm
1,1.7,10
2,1.7,10
3,1.7,10
4,1.7,10
5,1.7,10
6,1.7,10
7,1.7,10
8,1.7,10
9,1.7,10
10,1.7,10
11,1.7,10
12,1.7,10
13,1.7,10
14,2.1,10
15,2.7,10
16,3.3,10
17,4,10
18,5,10
19,6,10
20,7.3,10
21,8.8,10
22,10.5,20
23,12.5,20
24,14.6,20
25,16.8,20
26,19.1,20
27,21.5,30
28,23.8,30
29,26.1,30
30,28.2,30
31,30.1,40
32,31.8,40
33,33.2,40
34,34.5,40
35,35.5,40
36,36.4,40
37,37.1,40
38,37.7,40
39,38.2,40
40,38.6,40
41,38.9,40
42,39.1,40
43,39.3,40
44,39.5,40
45,39.6,40
46,39.7,40
47,39.7,40
48,39.8,40
49,39.8,40
50,39.9,40
51,39.9,40
52,39.9,40
53,39.9,40
54,40,40
55,40,40
56,40,40
57,40,40
58,40,40
59,40,40
60,40,40
61,40,40
62,40,40
63,40,40
64,40,40
65,40,40
66,40,40
67,40,40
68,40,40
69,40,40
70,40,40
71,40,40
72,40,40
73,40,40
74,40,40
75,40,40
76,40,40
77,40,40
78,40,40
79,40,40
80,40,40
81,40,40
82,40,40
83,40,40
84,40,40
85,40,40
86,40,40
87,40,40
88,40,40
89,40,40
90,40,40
91,40,40
92,40,40
93,40,40
94,40,40
95,40,40
96,40,40
97,40,40
98,40,40
99,40,40
100,40,40
101,40,40
102,40,40
103,40,40
104,40,40
105,40,40
106,40,40
107,40,40
108,40,40
109,40,40
110,40,40
111,40,40
112,40,40
113,40,40
114,40,40
115,40,40
116,40,40
117,40,40
118,40,40
119,40,40
120,40,40
121,40,40
122,40,40
123,40,40
124,40,40
125,40,40
126,40,40
127,40,40
128,40,40
129,40,40
130,40,40
131,40,40
132,40,40
133,40,40
134,40,40
135,40,40
136,40,40
137,40,40
138,40,40
139,40,40
140,40,40
141,40,40
142,40,40
143,40,40
144,40,40
145,40,40
146,40,40
147,40,40
148,40,40
149,40,40
150,40,40
151,40,40
152,40,40
153,40,40
