datum,globalstrahlung_Wh_m2
2023-01-01,657.8
2023-01-02,547.5
2023-01-03,1132.5
2023-01-04,156.9
2023-01-05,429.4
2023-01-06,395.3
2023-01-07,775.6
2023-01-08,525
2023-01-09,454.7
2023-01-10,600.8
2023-01-11,323.9
2023-01-12,350.3
2023-01-13,889.7
2023-01-14,302.2
2023-01-15,640.8
2023-01-16,408.6
2023-01-17,995
2023-01-18,1273.1
2023-01-19,807.5
2023-01-20,1166.1
2023-01-21,1018.9
2023-01-22,1028.1
2023-01-23,763.9
2023-01-24,407.8
2023-01-25,325
2023-01-26,322.2
2023-01-27,602.2
2023-01-28,423.1
2023-01-29,1563.3
2023-01-30,669.7
2023-01-31,581.9
2023-02-01,475
2023-02-02,639.2
2023-02-03,379.2
2023-02-04,1576.4
2023-02-05,284.7
2023-02-06,1424.7
2023-02-07,2580.8
2023-02-08,2654.4
2023-02-09,2560.8
2023-02-10,1907.8
2023-02-11,1670.3
2023-02-12,1395
2023-02-13,2746.9
2023-02-14,925.8
2023-02-15,1014.7
2023-02-16,1762.5
2023-02-17,560.6
2023-02-18,654.7
2023-02-19,1472.5
2023-02-20,2931.9
2023-02-21,3128.6
2023-02-22,2629.4
2023-02-23,1648.1
2023-02-24,1772.5
2023-02-25,1426.7
2023-02-26,2740.8
2023-02-27,3783.9
2023-02-28,3677.8
2023-03-01,3635.3
2023-03-02,3611.4
2023-03-03,3562.5
2023-03-04,853.9
2023-03-05,991.4
2023-03-06,999.7
2023-03-07,1300.6
2023-03-08,596.7
2023-03-09,1723.3
2023-03-10,995.6
2023-03-11,3623.1
2023-03-12,1888.3
2023-03-13,1977.2
2023-03-14,1741.4
2023-03-15,1400.3
2023-03-16,3846.7
2023-03-17,3066.9
2023-03-18,3773.3
2023-03-19,2440
2023-03-20,1844.7
2023-03-21,2245.6
2023-03-22,3721.4
2023-03-23,910.3
2023-03-24,1811.4
2023-03-25,2736.9
2023-03-26,2082.5
2023-03-27,3876.4
2023-03-28,5244.2
2023-03-29,3482.2
2023-03-30,2659.4
2023-03-31,1629.4
2023-04-01,672.5
2023-04-02,1490.8
2023-04-03,5107.5
2023-04-04,6102.8
2023-04-05,6060.8
2023-04-06,5107.5
2023-04-07,3748.3
2023-04-08,3723.6
2023-04-09,4505.3
2023-04-10,5183.1
2023-04-11,4607.5
2023-04-12,1712.5
2023-04-13,2766.4
2023-04-14,5861.4
2023-04-15,3484.4
2023-04-16,843.9
2023-04-17,3215.6
2023-04-18,3300.6
2023-04-19,3706.4
2023-04-20,2523.1
2023-04-21,6071.4
2023-04-22,4168.3
2023-04-23,4776.7
2023-04-24,3214.4
2023-04-25,3359.4
2023-04-26,5946.9
2023-04-27,6183.3
2023-04-28,1543.9
2023-04-29,2672.5
2023-04-30,4847.5
2023-05-01,4763.3
2023-05-02,5117.5
2023-05-03,7221.9
2023-05-04,7047.8
2023-05-05,5111.9
2023-05-06,6229.2
2023-05-07,4225.8
2023-05-08,2102.8
2023-05-09,3244.7
2023-05-10,4021.1
2023-05-11,2740
2023-05-12,2231.1
2023-05-13,5306.1
2023-05-14,6009.2
2023-05-15,5813.9
2023-05-16,3592.2
2023-05-17,6044.7
2023-05-18,7941.4
2023-05-19,5524.2
2023-05-20,5999.2
2023-05-21,6783.3
2023-05-22,6345.3
2023-05-23,4232.2
