"Datum";"wasser_level";"bewaesserung_mm"
2021-04-19;"Wfull";0.6925
2021-04-19;"Wfull_plus";0.695
2021-04-19;"Wred";0.69
2021-04-20;"Wfull";4.86625
2021-04-20;"Wfull_plus";4.86
2021-04-20;"Wred";4.8375
2021-04-23;"Wfull";4.455
2021-04-23;"Wfull_plus";4.4525
2021-04-23;"Wred";4.4275
2021-04-26;"Wfull";5.415
2021-04-26;"Wfull_plus";5.4125
2021-04-26;"Wred";5.375
2021-04-27;"Wfull_plus";13.0275
2021-05-04;"Wfull";5.4725
2021-05-04;"Wfull_plus";5.47
2021-05-04;"Wred";5.4225
2021-05-15;"Wfull_plus";13.4625
2021-05-25;"Wfull_plus";22.7625
