satz_id;variante_H2O;wiederholung;datum_bewaesserung;bewaesserung_mm
1;Wfull;a;2020-05-06;8.04
1;Wfull;b;2020-05-06;8.57
1;Wfull;c;2020-05-06;8.46
1;Wfull;d;2020-05-06;8.69
1;Wred;a;2020-05-06;8.61
1;Wred;b;2020-05-06;8.06
1;Wred;c;2020-05-06;8.59
1;Wred;d;2020-05-06;8.5
1;Wfull;a;2020-05-16;8.76
1;Wfull;b;2020-05-16;9.26
1;Wfull;c;2020-05-16;9.37
1;Wfull;d;2020-05-16;10.76
1;Wfull;a;2020-05-19;9.03
1;Wfull;b;2020-05-19;9.41
1;Wfull;c;2020-05-19;9.31
1;Wfull;d;2020-05-19;10.97
1;Wred;a;2020-05-19;9.64
1;Wred;b;2020-05-19;8.99
1;Wred;c;2020-05-19;9.37
1;Wred;d;2020-05-19;10.69
1;Wfull;a;2020-05-23;19.45
1;Wfull;b;2020-05-23;20.15
1;Wfull;c;2020-05-23;20.4
1;Wfull;d;2020-05-23;20.59
1;Wfull;a;2020-05-26;18.67
1;Wfull;b;2020-05-26;19.6
1;Wfull;c;2020-05-26;19.73
1;Wfull;d;2020-05-26;19.94
1;Wfull;a;2020-05-29;19.31
1;Wfull;b;2020-05-29;20.17
1;Wfull;c;2020-05-29;19.94
1;Wfull;d;2020-05-29;20.57
1;Wred;a;2020-05-29;20.59
1;Wred;b;2020-05-29;19.33
1;Wred;c;2020-05-29;20.11
1;Wred;d;2020-05-29;20.02
1;Wfull;a;2020-06-01;5.66
1;Wfull;b;2020-06-01;6.25
1;Wfull;c;2020-06-01;6.11
1;Wfull;d;2020-06-01;6.13
1;Wfull;a;2020-06-02;13.83
1;Wfull;b;2020-06-02;15.09
1;Wfull;c;2020-06-02;14.99
1;Wfull;d;2020-06-02;14.86
1;Wfull;a;2020-06-12;16.65
1;Wfull;b;2020-06-12;17.5
1;Wfull;c;2020-06-12;17.54
1;Wfull;d;2020-06-12;18.13
1;Wred;a;2020-06-12;18
1;Wred;b;2020-06-12;16.61
1;Wred;c;2020-06-12;17.58
1;Wred;d;2020-06-12;17.68
2;Wfull;a;2020-07-27;0.8
2;Wfull;b;2020-07-27;0.8
2;Wfull;c;2020-07-27;0.8
2;Wfull;d;2020-07-27;0.8
2;Wred;a;2020-07-27;0.8
2;Wred;b;2020-07-27;0.8
2;Wred;c;2020-07-27;0.8
2;Wred;d;2020-07-27;0.8
2;Wfull;a;2020-07-28;13.4
2;Wfull;b;2020-07-28;14.3
2;Wfull;c;2020-07-28;14
2;Wfull;d;2020-07-28;13.7
2;Wred;a;2020-07-28;13.6
2;Wred;b;2020-07-28;13.4
2;Wred;c;2020-07-28;14.3
2;Wred;d;2020-07-28;14
2;Wfull;a;2020-07-30;9
2;Wfull;b;2020-07-30;9.8
2;Wfull;c;2020-07-30;9.7
2;Wfull;d;2020-07-30;9.8
2;Wred;a;2020-07-30;9.7
2;Wred;b;2020-07-30;9
2;Wred;c;2020-07-30;9.8
2;Wred;d;2020-07-30;9.7
2;Wfull;a;2020-07-31;0.5
2;Wfull;b;2020-07-31;0.5
2;Wfull;c;2020-07-31;0.6
2;Wfull;d;2020-07-31;0.6
2;Wred;a;2020-07-31;0.6
2;Wred;b;2020-07-31;0.5
2;Wred;c;2020-07-31;0.6
2;Wred;d;2020-07-31;0.6
2;Wfull;a;2020-08-01;9
2;Wfull;b;2020-08-01;9.4
2;Wfull;c;2020-08-01;9.5
2;Wfull;d;2020-08-01;9.4
2;Wred;a;2020-08-01;9.4
2;Wred;b;2020-08-01;9
2;Wred;c;2020-08-01;9.4
2;Wred;d;2020-08-01;9.5
2;Wfull;a;2020-08-05;4.8
2;Wfull;b;2020-08-05;5
2;Wfull;c;2020-08-05;5
2;Wfull;d;2020-08-05;5
2;Wred;a;2020-08-05;5
