satz_id;datum_bewaesserung;variante_H2O;bewaesserung_mm
1;2020-05-06;Wfull;8.43833333333333
1;2020-05-06;Wred;8.44
1;2020-05-16;Wfull;9.5225
1;2020-05-19;Wfull;9.6625
1;2020-05-19;Wred;9.6725
1;2020-05-23;Wfull;20.1241666666667
1;2020-05-26;Wfull;19.4708333333333
1;2020-05-29;Wfull;19.9991666666667
1;2020-05-29;Wred;20.0125
1;2020-06-01;Wfull;6.02833333333333
1;2020-06-02;Wfull;14.6816666666667
1;2020-06-12;Wfull;17.4533333333333
1;2020-06-12;Wred;17.4675
2;2020-07-27;Wfull;0.8
2;2020-07-27;Wred;0.8
2;2020-07-28;Wfull;13.8416666666667
2;2020-07-28;Wred;13.825
2;2020-07-30;Wfull;9.55833333333333
2;2020-07-30;Wred;9.55
2;2020-07-31;Wfull;0.55
2;2020-07-31;Wred;0.575
2;2020-08-01;Wfull;9.30833333333333
2;2020-08-01;Wred;9.325
2;2020-08-05;Wfull;4.94166666666667
2;2020-08-05;Wred;4.975
2;2020-08-07;Wfull;9.50833333333333
2;2020-08-07;Wred;9.525
2;2020-08-11;Wfull;9.20833333333333
2;2020-08-11;Wred;9.125
2;2020-08-18;Wfull;9.4
2;2020-08-24;Wfull;18.8666666666667
2;2020-08-29;Wfull;18.7666666666667
2;2020-09-08;Wfull;18.5166666666667
3;2021-04-19;Wfull;0.6925
3;2021-04-19;Wfull_plus;0.695
3;2021-04-19;Wred;0.69
3;2021-04-20;Wfull;4.86625
3;2021-04-20;Wfull_plus;4.86
3;2021-04-20;Wred;4.8375
3;2021-04-23;Wfull;4.455
3;2021-04-23;Wfull_plus;4.4525
3;2021-04-23;Wred;4.4275
3;2021-04-26;Wfull;5.415
3;2021-04-26;Wfull_plus;5.4125
3;2021-04-26;Wred;5.375
3;2021-04-27;Wfull_plus;13.0275
3;2021-05-04;Wfull;5.4725
3;2021-05-04;Wfull_plus;5.47
3;2021-05-04;Wred;5.4225
3;2021-05-15;Wfull_plus;13.4625
3;2021-05-25;Wfull_plus;22.7625
4;2021-06-14;Wfull;0.32
4;2021-06-14;Wfull_plus;0.32
4;2021-06-14;Wred;0.32
4;2021-06-15;Wfull;10.86875
4;2021-06-15;Wfull_plus;10.8775
4;2021-06-15;Wred;10.8675
4;2021-06-17;Wfull;10.9975
4;2021-06-17;Wfull_plus;11
4;2021-06-17;Wred;10.995
4;2021-06-19;Wfull;10.9975
4;2021-06-19;Wfull_plus;11.0125
4;2021-06-19;Wred;10.9925
4;2021-06-22;Wfull;10.9275
4;2021-06-22;Wfull_plus;10.945
4;2021-06-22;Wred;10.9675
4;2021-07-03;Wfull_plus;9.9925
4;2021-07-20;Wfull;4.6975
4;2021-07-20;Wfull_plus;29.205
4;2021-07-20;Wred;4.63
4;2021-07-22;Wfull;27.89875
4;2021-07-24;Wfull_plus;30.4625
5;2021-07-27;Wfull;0.28625
5;2021-07-27;Wfull_plus;0.29
5;2021-07-27;Wred;0.2925
5;2021-07-28;Wfull;8.6075
5;2021-07-28;Wfull_plus;8.61
5;2021-07-28;Wred;8.605
5;2021-07-30;Wfull;4.85
5;2021-07-30;Wfull_plus;4.8525
5;2021-07-30;Wred;4.85
5;2021-08-01;Wfull;4.865
5;2021-08-01;Wfull_plus;4.8675
5;2021-08-01;Wred;4.8675
5;2021-08-11;Wfull_plus;12.0525
5;2021-08-14;Wfull;9.17125
5;2021-08-14;Wfull_plus;9.185
5;2021-08-17;Wfull;4.5675
5;2021-08-17;Wfull_plus;4.5675
5;2021-08-17;Wred;4.5675
5;2021-08-21;Wfull_plus;21.1225
5;2021-08-24;Wfull;4.915
5;2021-08-24;Wfull_plus;4.91
5;2021-08-24;Wred;4.915
5;2021-08-31;Wfull;21.39375
5;2021-08-31;Wfull_plus;21.4125
5;2021-09-06;Wfull;22.9
5;2021-09-06;Wfull_plus;22.815
5;2021-09-06;Wred;22.875
