"satz_id";"variante_H2O";"wiederholung";"zeit_messung";"tage_seit_aussaat";"T0020_nFK";"T2040_nFK";"T4060_nFK";"bewaesserung_mm";"Tempsum";"Tmax_gradC";"Tmin_gradC";"Tmean_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"Gobsum";"globalstrahlung_Mj_m2";"niederschlag_mm";"windgeschwindigkeit_m_s";"FAO56_mm";"xxx";"T0020_Auswaschung_prozent_nFK";"T2040_Auswaschung_prozent_nFK";"T4060_Auswaschung_prozent_nFK";"T0020_Auswaschung_mm";"T2040_Auswaschung_mm";"T4060_Auswaschung_mm";"T0020_mm";"T2040_mm";"T4060_mm";"freier_Speicher_T0020_mm";"freier_Speicher_T2040_mm";"freier_Speicher_T4060_mm";"T0060_mm"
2;"Wfull";"a";2020-07-30;4;103.58;105.12;104.21;9;87.77;31.3;12.1;22.54;48.06;25.2;95.03;26.91;0;0.89;5;1;3.58;5.12;4.20999999999999;1.17662666666667;1.57354666666667;1.33878;34.0432933333333;32.30688;33.13878;-1.17662666666667;-1.57354666666667;-1.33878;99.4889533333333
2;"Wfull";"a";2020-07-31;5;106.11;104.07;102.42;0.5;113.03;35.3;13.4;25.26;46.55;25.6;121.93;26.9;0;0.78;5.3;2;6.11;4.06999999999999;2.42;2.00815333333333;1.25084666666666;0.769560000000001;34.87482;31.98418;32.56956;-2.00815333333333;-1.25084666666666;-0.769560000000002;99.42856
2;"Wfull";"a";2020-08-01;6;102.22;103.34;102.13;9;137.84;33.2;15.9;24.81;59.9;39.7;135.24;13.31;0.1;0.78;3.2;3;2.22;3.34;2.13;0.72964;1.02649333333333;0.677339999999999;33.5963066666667;31.7598266666667;32.47734;-0.729640000000003;-1.02649333333333;-0.677339999999997;97.8334733333333
2;"Wfull";"a";2020-08-02;7;114.59;105.83;102.09;0;160.89;28.4;17.5;23.05;61.7;38.4;154.64;19.4;6.1;1.77;4.3;4;14.59;5.83;2.09;4.79524666666667;1.79175333333333;0.664620000000001;37.6619133333333;32.5250866666667;32.46462;-4.79524666666667;-1.79175333333333;-0.664620000000003;102.65162
2;"Wfull";"a";2020-08-03;8;107.79;109.84;103.36;0;180.46;24.7;16.6;19.57;62.77;38.6;166.38;11.74;0;1.44;3;5;7.79000000000001;9.84;3.36;2.56031333333334;3.02416;1.06848;35.42698;33.7574933333333;32.86848;-2.56031333333333;-3.02416;-1.06848;102.052953333333
2;"Wfull";"a";2020-08-04;9;104.1;107.24;103.99;0;200.42;26.7;14.9;19.96;55.62;36.2;186.1;19.72;0;1.49;4.1;6;4.09999999999999;7.23999999999999;3.98999999999999;1.34753333333333;2.22509333333333;1.26882;34.2142;32.9584266666667;33.06882;-1.34753333333333;-2.22509333333333;-1.26882;100.241446666667
2;"Wfull";"a";2020-08-05;10;101.75;106.01;103.97;4.8;220.85;28.4;10.4;20.43;52.58;28.4;211.82;25.72;0;0.88;4.5;7;1.75;6.01000000000001;3.97;0.575166666666667;1.84707333333333;1.26246;33.4418333333333;32.5804066666667;33.06246;-0.575166666666668;-1.84707333333333;-1.26246;99.0847
2;"Wfull";"a";2020-08-06;11;100.62;104.75;103.68;0;243.44;31.1;12.2;22.59;53.49;33.3;237.75;25.93;0;0.91;4.8;8;0.620000000000005;4.75;3.68000000000001;0.203773333333335;1.45983333333333;1.17024;33.07044;32.1931666666667;32.97024;-0.203773333333331;-1.45983333333334;-1.17024;98.2338466666667
2;"Wfull";"a";2020-08-07;12;99.83;104.67;103.52;9.3;268.83;34.5;14.4;25.39;52.22;30.1;263;25.25;0;0.89;5;9;0;4.67;3.52;0;1.43524666666667;1.11936;32.8107933333333;32.16858;32.91936;0.0558733333333379;-1.43524666666666;-1.11936;97.8987333333333
2;"Wfull";"a";2020-08-08;13;103.75;103.99;103.09;0;296.24;36.4;17.1;27.41;51.94;28.9;287.59;24.59;0;0.68;5;10;3.75;3.98999999999999;3.09;1.2325;1.22626;0.982620000000001;34.0991666666667;31.9595933333333;32.78262;-1.2325;-1.22626;-0.982620000000008;98.84138
2;"Wfull";"a";2020-08-09;14;101.23;103.72;102.28;0;324.05;37.1;17.9;27.81;50.07;26.4;310.77;23.18;0;1.11;5.3;11;1.23;3.72;2.28;0.404260000000001;1.14328;0.72504;33.2709266666667;31.8766133333333;32.52504;-0.404260000000001;-1.14328;-0.725039999999996;97.67258
2;"Wfull";"a";2020-08-10;15;97.38;102.8;102.3;0;351.36;34.8;21.5;27.31;53.54;32.8;325.77;15;0;0.86;3.8;12;0;2.8;2.3;0;0.860533333333332;0.731399999999999;32.00556;31.5938666666667;32.5314;0.861106666666664;-0.860533333333333;-0.731399999999997;96.1308266666667
2;"Wfull";"a";2020-08-11;16;93.51;100.99;101.65;9;378.27;35.5;20.6;26.91;59.86;34;341.25;15.48;0.2;1.11;4;13;0;0.989999999999995;1.65000000000001;0;0.304259999999998;0.524700000000002;30.73362;31.0375933333333;32.3247;2.13304666666667;-0.304259999999999;-0.524700000000006;94.0959133333333
2;"Wfull";"a";2020-08-12;17;94.57;99.62;101.11;0;403.78;34.4;18.5;25.51;67.13;41.6;360.47;19.22;2.6;1.31;4.3;14;0;0;1.11;0;0;0.35298;31.0820066666667;30.6165466666667;32.15298;1.78466;0.116786666666663;-0.352980000000006;93.8515333333334
2;"Wfull";"a";2020-08-13;18;95.87;98.55;100.57;0;426.24;25.9;18.7;22.46;81.23;61.9;369.62;9.15;3.5;0.75;2.1;15;0;0;0.569999999999993;0;0;0.181259999999998;31.5092733333333;30.2877;31.98126;1.35739333333333;0.445633333333333;-0.181260000000002;93.7782333333333
2;"Wfull";"a";2020-08-14;19;96.22;98.34;100.21;0;448.48;29.3;18.8;22.24;78.51;51.3;383.35;13.73;0.3;0.81;2.8;16;0;0;0.209999999999994;0;0;0.066779999999998;31.6243066666667;30.22316;31.86678;1.24236;0.510173333333331;-0.0667800000000014;93.7142466666667
2;"Wfull";"a";2020-08-15;20;91.94;98.11;100.09;0;471.38;28.7;17;22.9;73.56;50.1;400.41;17.06;0;0.84;3.3;17;0;0;0.0900000000000034;0;0;0.0286200000000011;30.2176133333333;30.1524733333333;31.82862;2.64905333333333;0.580860000000001;-0.0286200000000036;92.1987066666667
2;"Wfull";"a";2020-08-16;21;84.94;96.53;99.33;0;495.98;32.1;17.1;24.6;66.21;38.9;420.45;20.04;0;1.3;4.2;18;0;0;0;0;0;0;27.9169466666667;29.6668866666667;31.58694;4.94972;1.06644666666666;0.213060000000002;89.1707733333333
2;"Wfull";"a";2020-08-17;22;77.51;94.04;98.85;0;518.36;28.6;18.4;22.38;66.27;42.9;433.99;13.54;0;1.12;3.1;19;0;0;0;0;0;0;25.4749533333333;28.9016266666667;31.4343;7.39171333333333;1.83170666666666;0.3657;85.81088
2;"Wfull";"a";2020-08-18;23;70.92;91.8;98.46;9.4;539.77;28;15.4;21.41;64.77;39.7;454.2;20.21;0;1.12;3.8;20;0;0;0;0;0;0;23.30904;28.2132;31.31028;9.55762666666666;2.52013333333333;0.489720000000002;82.83252
2;"Wfull";"a";2020-08-19;24;66.25;89.58;97.35;0;561.63;28.6;13.3;21.86;64.55;39.2;474.13;19.93;0.4;0.81;3.6;21;0;0;0;0;0;0;21.7741666666667;27.53092;30.9573;11.0925;3.20241333333333;0.842700000000004;80.2623866666667
2;"Wfull";"a";2020-08-20;25;63.49;87.91;96.74;0;586.57;32.8;18.4;24.94;68;40.5;494.4;20.27;4.8;0.85;4.1;22;0;0;0;0;0;0;20.8670466666667;27.0176733333333;30.76332;11.99962;3.71566;1.03668;78.64804
2;"Wfull";"a";2020-08-21;26;59.88;85.55;96.24;0;612.86;31.9;18.5;26.29;62.37;44.4;509.38;14.98;0;1.07;3.5;23;0;0;0;0;0;0;19.68056;26.2923666666667;30.60432;13.1861066666667;4.44096666666666;1.19568;76.5772466666667
2;"Wfull";"a";2020-08-22;27;56.35;82.32;95.22;0;635.76;27.6;16.5;22.9;64.04;37.7;527.26;17.88;1.6;1.54;3.7;24;0;0;0;0;0;0;18.5203666666667;25.29968;30.27996;14.3463;5.43365333333334;1.52004;74.1000066666667
2;"Wfull";"a";2020-08-23;28;54.46;79.24;94.08;0;656.02;24.7;16.2;20.26;59.17;38.2;545.47;18.21;0;1.61;3.7;25;0;0;0;0;0;0;17.8991866666667;24.3530933333333;29.91744;14.96748;6.38024;1.88256;72.16972
2;"Wfull";"a";2020-08-24;29;53.29;76.02;92.92;19.2;674.65;23.7;13.5;18.63;61.74;42.7;560.86;15.39;0;1.17;3;26;0;0;0;0;0;0;17.5146466666667;23.36348;29.54856;15.35202;7.36985333333334;2.25144;70.4266866666667
2;"Wfull";"a";2020-08-25;30;53.07;75.77;92.02;0;693.75;24.9;11.9;19.1;61.73;44.9;571.51;10.65;0;0.82;2.3;27;0;0;0;0;0;0;17.44234;23.2866466666667;29.26236;15.4243266666667;7.44668666666667;2.53764;69.9913466666667
2;"Wfull";"a";2020-08-26;31;53.83;73.41;90.84;0;714.49;24.6;15.2;20.74;54.08;41;585.11;13.6;0;2.8;3.9;28;0;0;0;0;0;0;17.6921266666667;22.56134;28.88712;15.17454;8.17199333333333;2.91288;69.1405866666667
2;"Wfull";"a";2020-08-27;32;54.45;71.42;89.81;0;732.98;24.8;10.7;18.49;61.9;38.6;601.25;16.14;0;0.82;2.8;29;0;0;0;0;0;0;17.8959;21.9497466666667;28.55958;14.9707666666667;8.78358666666666;3.24042;68.4052266666667
2;"Wfull";"a";2020-08-28;33;55.03;69.91;89.1;0;751.89;23.9;13.5;18.91;66.7;42.6;615.35;14.1;0.4;1.18;2.7;30;0;0;0;0;0;0;18.0865266666667;21.4856733333333;28.3338;14.78014;9.24766;3.4662;67.906
2;"Wfull";"a";2020-08-29;34;54.64;67.64;87.96;19.4;768.68;22.2;11.1;16.79;71.03;49.9;629.11;13.76;0;1.2;2.5;31;0;0;0;0;0;0;17.9583466666667;20.7880266666667;27.97128;14.90832;9.94530666666667;3.82872;66.7176533333333
2;"Wfull";"a";2020-08-30;35;58.51;68.09;87.3;0;785.54;21.5;12.4;16.86;71.5;54.3;636.68;7.57;0;1;1.8;32;0;0;0;0;0;0;19.2302866666667;20.9263266666667;27.7614;13.63638;9.80700666666667;4.0386;67.9180133333333
2;"Wfull";"a";2020-08-31;36;73.18;69.86;86.62;0;801.57;21.7;12.9;16.03;86.12;62.2;646.89;10.21;26;0.77;1.8;33;0;0;0;0;0;0;24.0518266666667;21.4703066666667;27.54516;8.81484;9.26302666666667;4.25484;73.0672933333333
2;"Wfull";"a";2020-09-01;37;115.36;96.85;87.21;0;818.52;22.6;14;16.95;71.54;45.1;659.2;12.31;0;1.54;2.5;34;15.36;0;0;5.04832;0;0;37.9149866666667;29.7652333333333;27.73278;-5.04832;0.968100000000003;4.06722;95.413
2;"Wfull";"a";2020-09-02;38;105.34;102.54;89.54;0;835.5;22.9;11.3;16.98;65.71;42.1;676.16;16.96;0;0.89;2.7;35;5.34;2.54000000000001;0;1.75508;0.780626666666669;0;34.6217466666667;31.51396;28.47372;-1.75508000000001;-0.78062666666667;3.32628;94.6094266666667
2;"Wfull";"a";2020-09-03;39;99.21;98.73;91.59;0;850.71;21.6;8.8;15.21;76.65;50.8;684.63;8.47;0;0.56;1.6;36;0;0;0;0;0;0;32.60702;30.34302;29.12562;0.259646666666669;0.390313333333332;2.67438;92.07566
2;"Wfull";"a";2020-09-04;40;91.95;94.92;92.34;0;872.28;28.6;15.6;21.57;62.44;39.5;697.39;12.76;0;0.76;2.6;37;0;0;0;0;0;0;30.2209;29.17208;29.36412;2.64576666666666;1.56125333333333;2.43588;88.7571
2;"Wfull";"a";2020-09-05;41;81.65;89.24;91.8;0;890.19;23.2;13.9;17.91;71.94;50.9;710.76;13.37;0;1.39;2.5;38;0;0;0;0;0;0;26.8356333333333;27.4264266666667;29.1924;6.03103333333333;3.30690666666667;2.6076;83.45446
2;"Wfull";"a";2020-09-06;42;70.77;84.05;90.44;0;905.04;21.1;8.7;14.85;64.62;37.7;724.9;14.14;0;0.8;2.2;39;0;0;0;0;0;0;23.25974;25.8313666666667;28.75992;9.60692666666667;4.90196666666667;3.04008;77.8510266666667
2;"Wfull";"a";2020-09-07;43;63.08;80.88;89.02;0;920.93;24.1;8.4;15.89;62.14;35.3;745.26;20.36;0;0.81;2.9;40;0;0;0;0;0;0;20.7322933333333;24.85712;28.30836;12.1343733333333;5.87621333333334;3.49164;73.8977733333333
2;"Wfull";"a";2020-09-08;44;56.48;76.01;87.38;18.8;938.18;27.7;6.8;17.25;60.64;31;765.1;19.84;0;0.69;3;41;0;0;0;0;0;0;18.5630933333333;23.3604066666667;27.78684;14.3035733333333;7.37292666666666;4.01316;69.71034
2;"Wfull";"a";2020-09-09;45;66.12;72.41;85.72;0;957.36;26.7;10.1;19.18;68.12;47.3;781.24;16.14;0;0.87;2.7;42;0;0;0;0;0;0;21.73144;22.2540066666667;27.25896;11.1352266666667;8.47932666666667;4.54104;71.2444066666667
