"tage_seit_aussaat";"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"wetter_id";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"par_Wh_m2";"windgeschwindigkeit_m_s";"FAO56_mm";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"FAO56_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"wasser_input_Vortag"
5;106.79;105.43;104.75;103.39;102.97;101.87;63;25.26;25;13.4;35.3;46.55;25.6;77.8;7472.48;848.68;0.78;5.3;15.14;15.14;113.04;112.77;33870.5;0;23.8;76.18;76.18;20;30;50;1.2;103.07;104.09;104.61;105.63;104.51;103.91;9
6;101.85;102.59;102.97;103.71;102.53;101.73;64;24.81;24.81;15.9;33.2;59.9;39.7;83.5;3696.62;440.02;0.78;3.2;15.09;15.09;137.85;137.59;37567.12;0.1;27;91.27;91.27;20;30;50;1.2;106.79;105.43;104.75;103.39;102.97;101.87;0.5
7;117.51;111.67;108.75;102.91;103.34;100.84;65;23.05;23.05;17.5;28.4;61.7;38.4;88.1;5390.23;624.62;1.77;4.3;15.05;15.05;160.9;160.64;42957.35;6.2;31.3;106.32;106.32;20;30;50;1.2;101.85;102.59;102.97;103.71;102.53;101.73;9.1
8;107.11;108.47;109.16;110.52;105.52;101.2;66;19.57;19.57;16.6;24.7;62.77;38.6;79;3261.4;409.9;1.44;3;15;15;180.47;180.21;46218.75;6.2;34.3;121.32;121.32;20;30;50;1.2;117.51;111.67;108.75;102.91;103.34;100.84;6.1
9;103.05;105.15;106.19;108.29;105.07;102.91;67;19.96;19.96;14.9;26.7;55.62;36.2;77;5479.02;615.02;1.49;4.1;14.95;14.95;200.43;200.17;51697.78;6.2;38.4;136.27;136.27;20;30;50;1.2;107.11;108.47;109.16;110.52;105.52;101.2;0
10;100.33;103.17;104.59;107.43;104.65;103.29;68;20.43;20.43;10.4;28.4;52.58;28.4;84;7145.05;808.4;0.88;4.5;14.9;14.9;220.86;220.6;58842.82;6.2;42.9;151.17;151.17;20;30;50;1.2;103.05;105.15;106.19;108.29;105.07;102.91;0
11;99.24;102;103.37;106.13;104.04;103.32;69;22.59;22.59;12.2;31.1;53.49;33.3;84.5;7203;812.45;0.91;4.8;14.84;14.84;243.45;243.18;66045.82;6.2;47.7;166.01;166.01;20;30;50;1.2;100.33;103.17;104.59;107.43;104.65;103.29;4.8
12;98.22;101.44;103.06;106.28;103.9;103.14;70;25.39;25;14.4;34.5;52.22;30.1;86.8;7013.95;791.25;0.89;5;14.79;14.79;268.84;268.18;73059.77;6.2;52.7;180.8;180.8;20;30;50;1.2;99.24;102;103.37;106.13;104.04;103.32;0
13;103.67;103.83;103.91;104.07;103.39;102.79;71;27.41;25;17.1;36.4;51.94;28.9;84.7;6830.08;769.28;0.68;5;14.74;14.74;296.25;293.18;79889.85;6.2;57.7;195.54;195.54;20;30;50;1.2;98.22;101.44;103.06;106.28;103.9;103.14;9.3
14;100.4;102.06;102.89;104.55;102.76;101.8;72;27.81;25;17.9;37.1;50.07;26.4;79.1;6438.02;722.1;1.11;5.3;14.69;14.69;324.06;318.18;86327.88;6.2;63;210.23;210.23;20;30;50;1.2;103.67;103.83;103.91;104.07;103.39;102.79;0
15;95.57;99.19;100.99;104.61;102.47;102.13;73;27.31;25;21.5;34.8;53.54;32.8;73.7;4166.65;480.72;0.86;3.8;14.63;14.63;351.37;343.18;90494.52;6.2;66.8;224.86;224.86;20;30;50;1.2;100.4;102.06;102.89;104.55;102.76;101.8;0
16;91.02;96;98.5;103.48;101.43;101.87;74;26.91;25;20.6;35.5;59.86;34;82.7;4299.68;504.42;1.11;4;14.58;14.58;378.27;368.18;94794.2;6.4;70.8;239.44;239.44;20;30;50;1.2;95.57;99.19;100.99;104.61;102.47;102.13;0
17;92.89;96.25;97.94;101.3;100.61;101.61;75;25.51;25;18.5;34.4;67.13;41.6;89.5;5337.62;611.25;1.31;4.3;14.53;14.53;403.79;393.18;100131.82;9;75.1;253.97;253.97;20;30;50;1.2;91.02;96;98.5;103.48;101.43;101.87;9.2
18;94.98;96.76;97.66;99.44;99.9;101.24;76;22.46;22.46;18.7;25.9;81.23;61.9;94.5;2541.15;330.8;0.75;2.1;14.47;14.47;426.25;415.65;102672.98;12.5;77.2;268.44;268.44;20;30;50;1.2;92.89;96.25;97.94;101.3;100.61;101.61;2.6
19;95.51;96.93;97.63;99.05;99.59;100.83;77;22.24;22.24;18.8;29.3;78.51;51.3;93.8;3814.6;470.75;0.81;2.8;14.42;14.42;448.49;437.88;106487.57;12.8;80;282.86;282.86;20;30;50;1.2;94.98;96.76;97.66;99.44;99.9;101.24;3.5
20;89.88;94;96.05;100.17;99.43;100.75;78;22.9;22.9;17;28.7;73.56;50.1;95.4;4739.68;574.25;0.84;3.3;14.36;14.36;471.39;460.78;111227.25;12.8;83.3;297.22;297.22;20;30;50;1.2;95.51;96.93;97.63;99.05;99.59;100.83;0.3
21;81.08;88.8;92.67;100.39;98.4;100.26;79;24.6;24.6;17.1;32.1;66.21;38.9;94;5566.32;643.28;1.3;4.2;14.3;14.3;495.99;485.39;116793.57;12.8;87.5;311.52;311.52;20;30;50;1.2;89.88;94;96.05;100.17;99.43;100.75;0
22;72;83.02;88.53;99.55;97.25;100.45;80;22.38;22.38;18.4;28.6;66.27;42.9;81.5;3760.6;452.18;1.12;3.1;14.25;14.25;518.37;507.76;120554.18;12.8;90.6;325.77;325.77;20;30;50;1.2;81.08;88.8;92.67;100.39;98.4;100.26;0
23;63.96;77.88;84.84;98.76;96.24;100.68;81;21.41;21.41;15.4;28;64.77;39.7;88.6;5614.38;651.65;1.12;3.8;14.19;14.19;539.77;529.17;126168.55;12.8;94.4;339.96;339.96;20;30;50;1.2;72;83.02;88.53;99.55;97.25;100.45;0
24;58.47;74.03;81.8;97.36;94.76;99.94;82;21.86;21.86;13.3;28.6;64.55;39.2;94;5535.32;634.38;0.81;3.6;14.14;14.14;561.64;551.03;131703.88;13.2;98;354.1;354.1;20;30;50;1.2;63.96;77.88;84.84;98.76;96.24;100.68;9.4
25;55.35;71.63;79.77;96.05;93.8;99.68;83;24.94;24.94;18.4;32.8;68;40.5;94.7;5629.4;662.58;0.85;4.1;14.08;14.08;586.57;575.97;137333.28;18;102.1;368.18;368.18;20;30;50;1.2;58.47;74.03;81.8;97.36;94.76;99.94;0.4
26;51.32;68.44;76.99;94.11;92.68;99.8;84;26.29;25;18.5;31.9;62.37;44.4;92.4;4161.3;494.48;1.07;3.5;14.02;14.02;612.87;600.97;141494.58;18;105.6;382.2;382.2;20;30;50;1.2;55.35;71.63;79.77;96.05;93.8;99.68;4.8
27;47.69;65.01;73.66;90.98;90.92;99.52;85;22.9;22.9;16.5;27.6;64.04;37.7;92.7;4967.32;579.1;1.54;3.7;13.96;13.96;635.77;623.87;146461.9;19.6;109.3;396.16;396.16;20;30;50;1.2;51.32;68.44;76.99;94.11;92.68;99.8;0
28;46.2;62.72;70.98;87.5;89.13;99.03;86;20.26;20.26;16.2;24.7;59.17;38.2;79.8;5058.23;587.48;1.61;3.7;13.91;13.91;656.03;644.13;151520.12;19.6;113;410.07;410.07;20;30;50;1.2;47.69;65.01;73.66;90.98;90.92;99.52;1.6
29;45.71;60.87;68.44;83.6;87.29;98.55;87;18.63;18.63;13.5;23.7;61.74;42.7;86.6;4274.88;497.48;1.17;3;13.85;13.85;674.65;662.76;155795;19.6;116;423.92;423.92;20;30;50;1.2;46.2;62.72;70.98;87.5;89.13;99.03;0
30;45.5;60.64;68.2;83.34;86.6;97.44;88;19.1;19.1;11.9;24.9;61.73;44.9;87;2958.6;358.65;0.82;2.3;13.79;13.79;693.75;681.86;158753.6;19.6;118.3;437.71;437.71;20;30;50;1.2;45.71;60.87;68.44;83.6;87.29;98.55;19.2
31;47.3;60.36;66.88;79.94;85.03;96.65;89;20.74;20.74;15.2;24.6;54.08;41;74.5;3777.52;428.12;2.8;3.9;13.73;13.73;714.49;702.6;162531.12;19.6;122.2;451.44;451.44;20;30;50;1.2;45.5;60.64;68.2;83.34;86.6;97.44;0
32;48.79;60.11;65.76;77.08;83.68;95.94;90;18.49;18.49;10.7;24.8;61.9;38.6;91.6;4482.3;516.05;0.82;2.8;13.67;13.67;732.98;721.08;167013.42;19.6;125;465.11;465.11;20;30;50;1.2;47.3;60.36;66.88;79.94;85.03;96.65;0
33;50.07;59.99;64.95;74.87;82.7;95.5;91;18.91;18.91;13.5;23.9;66.7;42.6;93.2;3916.05;466.2;1.18;2.7;13.61;13.61;751.89;740;170929.48;20;127.7;478.72;478.72;20;30;50;1.2;48.79;60.11;65.76;77.08;83.68;95.94;0
