"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
89.69;91.85;92.94;95.1;90.82;87.62;90.97;93.01;94.04;96.08;91.37;87.67;12;8.08;0;2.6;13.2;58.52;36;86.4;4816.3;1.32;13.77;0;70.23;9.67;44688.12;10;161.27;13.35;20;30;50;1.2;0.170194558812077;10.6222391782658;0
88.5;91.12;92.42;95.04;90.64;87.56;89.69;91.85;92.94;95.1;90.82;87.62;13;8.6;0;7.5;12;73.06;56.7;89.8;1204.15;0.81;13.83;0;78.84;9.67;45892.28;12.2;175.1;13.35;20;30;50;1.2;0.180321360666926;10.7345398261166;0
88.59;90.99;92.19;94.59;90.44;87.5;88.5;91.12;92.42;95.04;90.64;87.56;14;10.03;10.03;5.8;14.7;75.82;52.7;94.7;2698.85;0.63;13.89;13.89;88.87;19.7;48591.12;12.6;188.99;27.24;20;30;50;1.2;0.198911459855142;10.9077217914262;2.2
89.49;91.55;92.57;94.63;90.51;87.41;88.59;90.99;92.19;94.59;90.44;87.5;15;10.64;10.64;1.5;18.5;67.4;36.7;94.9;6692.2;0.82;13.95;13.95;99.51;30.34;55283.32;12.6;202.94;41.19;20;30;50;1.2;0.228024388921785;11.1443209172555;1.12
91.7;92.74;93.26;94.3;90.55;87.33;89.49;91.55;92.57;94.63;90.51;87.41;16;12.06;12.06;3.9;20;63.79;37;87.5;6055.25;1.23;14.01;14.01;111.57;42.41;61338.57;13.4;216.95;55.2;20;30;50;1.2;0.269723573885605;11.4431455822163;5.01
93.01;93.21;93.3;93.5;90.35;87.29;91.7;92.74;93.26;94.3;90.55;87.33;17;10.05;10.05;4;15.5;53.62;28.1;77.6;6844.95;1.98;14.06;14.06;121.62;52.46;68183.52;13.4;231.01;69.26;20;30;50;1.2;0.326018655778302;11.7992316569676;0.8
93.12;93.34;93.44;93.66;90.36;87.18;93.01;93.21;93.3;93.5;90.35;87.29;18;10.31;10.31;1.5;17.6;53.17;29.6;84.4;7092.6;1.17;14.12;14.12;131.94;62.77;75276.12;13.4;245.13;83.38;20;30;50;1.2;0.39908002182026;12.4659112835562;0
93.84;93.78;93.74;93.68;90.35;86.99;93.12;93.34;93.44;93.66;90.36;87.18;19;11.3;11.3;3.2;18.4;54.17;32.9;81.2;6938.32;1.23;14.18;14.18;143.24;74.07;82214.45;13.4;259.31;97.56;20;30;50;1.2;0.495725503587184;12.946522674993;4.44
94.37;94.03;93.86;93.52;90.28;86.86;93.84;93.78;93.74;93.68;90.35;86.99;20;10.67;10.67;4.8;16.6;48.3;27.2;67.8;7244.73;1.57;14.24;14.24;153.91;84.74;89459.18;13.4;273.55;111.8;20;30;50;1.2;0.612685831236427;13.2604617242768;0
93.7;93.7;93.7;93.7;90.48;87.26;94.37;94.03;93.86;93.52;90.28;86.86;21;9.76;9.76;1.9;16.1;43.16;27.7;73.9;7388.58;1.75;14.29;14.29;163.67;94.51;96847.75;13.4;287.84;126.09;20;30;50;1.2;0.745481517438841;13.4228353155028;0
95.46;94.48;93.99;93.01;90.15;86.81;93.7;93.7;93.7;93.7;90.48;87.26;22;10.82;10.82;2.7;17.6;40.61;25.4;59.7;7213.8;1.52;14.35;14.35;174.49;105.32;104061.55;13.4;302.19;140.44;20;30;50;1.2;0.888422857378781;13.4444613238622;5.43
128.3;111.74;103.46;86.9;90.6;86.02;95.46;94.48;93.99;93.01;90.15;86.81;23;11.83;11.83;1.9;21.9;58.81;29.1;93.9;6058.32;1.09;14.41;14.41;186.32;117.16;110119.88;20.1;316.6;154.85;20;30;50;1.2;1.04028792943447;13.387684036714;13.18
131.22;117.58;110.77;97.13;93.4;82.86;128.3;111.74;103.46;86.9;90.6;86.02;24;11.42;11.42;5.6;17.2;70.19;35.9;95.8;5081.62;2.2;14.46;14.46;197.74;128.58;115201.5;24;331.06;169.31;20;30;50;1.2;1.19737611706483;13.2866276778481;6.7
115.39;112.21;110.62;107.44;95.11;81.19;131.22;117.58;110.77;97.13;93.4;82.86;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.35607737162881;13.1751270787876;3.9
