"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
109.38;108.58;88.62;113.8;109.03;88.15;26;37.58;39.27;118.33;1.57;1.59;2.07;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.52953846153846;11.9940384615385;0
105.9;107.18;89.18;109.38;108.58;88.62;27;45.55;42.44;114.74;1.66;1.63;2.06;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.64907692307692;12.4180769230769;0
103.5;106.42;89.78;105.9;107.18;89.18;28;52;44.25;110.99;1.72;1.65;2.05;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.76861538461538;12.8421153846154;0
101.62;105.76;90.36;103.5;106.42;89.78;29;57.68;45.89;107.49;1.76;1.66;2.03;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.88815384615385;13.2661538461538;0
104.65;104.25;90.64;101.62;105.76;90.36;30;48.81;49.88;105.81;1.69;1.7;2.02;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.00769230769231;13.6901923076923;5.66
104.48;103.95;90.95;104.65;104.25;90.64;31;49.27;50.72;104.03;1.69;1.71;2.02;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.12723076923077;14.1142307692308;1.6
108.32;103.5;91.12;104.48;103.95;90.95;32;39.85;52;103.04;1.6;1.72;2.01;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.24676923076923;14.5382692307692;3.7
103.56;103.83;91.38;108.32;103.5;91.12;33;51.82;51.07;101.59;1.71;1.71;2.01;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.36630769230769;14.9623076923077;0
100.6;103.96;91.64;103.56;103.83;91.38;34;61.03;50.69;100.15;1.79;1.7;2;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.48584615384615;15.3863461538462;0
96.19;102.54;91.74;100.6;103.96;91.64;35;77.9;54.83;99.57;1.89;1.74;2;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.60538461538462;15.8103846153846;0
103.11;101.17;91.74;96.19;102.54;91.74;36;53.13;59.15;99.58;1.73;1.77;2;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.72492307692308;16.2344230769231;7.2
110.45;100.94;91.69;103.11;101.17;91.74;37;35.41;59.89;99.86;1.55;1.78;2;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.84446153846154;16.6584615384615;4
102.26;100.8;91.69;110.45;100.94;91.69;38;55.68;60.37;99.85;1.75;1.78;2;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.9525;16.92875;0
94.68;99.43;91.59;102.26;100.8;91.69;39;84.66;65.12;100.43;1.93;1.81;2;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.05346153846154;17.1044230769231;0
85.41;97.04;91.49;94.68;99.43;91.59;40;141.32;74.3;100.97;2.15;1.87;2;11.9;11.9;9.2;14.9;75.43;56.3;90.8;3189.2;1.54;15.28;15.28;375.74;268.1;181526.42;42.9;569.62;334.15;20;30;50;1.2;3.15442307692308;17.2800961538462;0.3
121.53;95.52;91.17;85.41;97.04;91.49;41;19.2;80.83;102.8;1.28;1.91;2.01;11.68;11.68;6.9;18.6;80.23;47.3;95.7;4802.18;1.35;15.33;15.33;387.43;279.79;186328.6;49.5;584.95;349.48;20;30;50;1.2;3.25538461538462;17.4557692307692;15.81
125.3;101.97;90.88;121.53;95.52;91.17;42;15.59;56.58;104.45;1.19;1.75;2.02;11.93;11.93;8.8;16.4;80.68;62.9;95.5;3797.85;1.57;15.37;15.37;399.36;291.72;190126.45;54.2;600.32;364.85;20;30;50;1.2;3.35634615384615;17.6314423076923;6.6
119.05;109.32;90.98;125.3;101.97;90.88;43;22.02;37.69;103.85;1.34;1.58;2.02;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.44205128205128;17.844358974359;4.7
110.23;108.13;91.65;119.05;109.32;90.98;44;35.85;40.25;100.08;1.55;1.6;2;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.5201282051282;18.0758974358974;0.8
102.15;105.15;92.36;110.23;108.13;91.65;45;56.04;47.48;96.22;1.75;1.68;1.98;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.59820512820513;18.3074358974359;1.5
87.44;102.15;93;102.15;105.15;92.36;46;126.33;56.02;92.91;2.1;1.75;1.97;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.67628205128205;18.5389743589744;0
