T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
92.54;96.36;94.62;8.6;7.5;12;73.06;56.7;89.8;1204.15;0.81;2.2;0;93.135;96.54;94.7;13;0;0.180321360666926;10.7345398261166
91.7425;95.6825;94.445;10.03;5.8;14.7;75.82;52.7;94.7;2698.85;0.63;0.4;2.2;92.54;96.36;94.62;14;10.03;0.198911459855142;10.9077217914262
91.875;95.8975;94.395;10.64;1.5;18.5;67.4;36.7;94.9;6692.2;0.82;0;1.095;91.7425;95.6825;94.445;15;10.64;0.228024388921785;11.1443209172555
92.79;96.3225;94.375;12.06;3.9;20;63.79;37;87.5;6055.25;1.23;0.8;4.87;91.875;95.8975;94.395;16;12.06;0.269723573885605;11.4431455822163
93.8;95.98;94.205;10.05;4;15.5;53.62;28.1;77.6;6844.95;1.98;0;0.8;92.79;96.3225;94.375;17;10.05;0.326018655778302;11.7992316569676
94.07;95.9475;94.1375;10.31;1.5;17.6;53.17;29.6;84.4;7092.6;1.17;0;0;93.8;95.98;94.205;18;10.31;0.401545374297262;12.4881429751108
94.48;96.5125;94.2275;11.3;3.2;18.4;54.17;32.9;81.2;6938.32;1.23;0;4.4525;94.07;95.9475;94.1375;19;11.3;0.497778644126939;12.9677547464428
94.665;96.235;94.035;10.67;4.8;16.6;48.3;27.2;67.8;7244.73;1.57;0;0;94.48;96.5125;94.2275;20;10.67;0.612451186269027;13.2642338325206
94.8925;96.3425;94.0125;9.76;1.9;16.1;43.16;27.7;73.9;7388.58;1.75;0;0;94.665;96.235;94.035;21;9.76;0.741979978082726;13.3988548934292
94.355;96.38;94.0375;10.82;2.7;17.6;40.61;25.4;59.7;7213.8;1.52;0;5.4175;94.8925;96.3425;94.0125;22;10.82;0.881466253284745;13.3880003877823
94.8325;95.9975;93.7975;11.83;1.9;21.9;58.81;29.1;93.9;6058.32;1.09;6.7;0;94.355;96.38;94.0375;23;11.83;1.03037350262967;13.2989759937925
94.925;96.2325;93.7675;11.42;5.6;17.2;70.19;35.9;95.8;5081.62;2.2;3.9;6.7;94.8325;95.9975;93.7975;24;11.42;1.18558099579678;13.170264133536
103.1225;95.7;93.4775;7.62;0.8;12;68.89;51.8;91.4;3382.18;0.89;0;3.9;94.925;96.2325;93.7675;25;0;1.34395304420943;13.0394546442539
101.6325;96.6625;93.445;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;0;0;103.1225;95.7;93.4775;26;10.02;1.50258484819144;12.9433017973569
99.9925;97.3575;93.415;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;0;0;101.6325;96.6625;93.445;27;9.27;1.65905879827978;12.9176928949986
98.3725;97.255;93.285;8.34;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;0;0;99.9925;97.3575;93.415;28;0;1.81171304219656;12.9976281054463
96.6975;97.355;93.3925;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;0.1;0;98.3725;97.255;93.285;29;9.79;1.959891376339;13.2171494836851
94.3775;96.2425;93.205;7.31;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;1.6;5.57;96.6975;97.355;93.3925;30;0;2.10631781614863;13.6314400437988
94.7375;95.465;93.1275;6.86;2;11.9;81.79;57;93.5;2475.72;1.11;3.7;1.6;94.3775;96.2425;93.205;31;0;2.25141611062107;14.2559015542038
94.9325;95.175;93.005;8.35;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;0;3.7;94.7375;95.465;93.1275;32;0;2.39709417374177;15.1045515348316
96.58;95.59;92.925;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;0;0;94.9325;95.175;93.005;33;10.29;2.54155142186171;15.6354510582987
94.505;95.595;92.82;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;0;0;96.58;95.59;92.925;34;18.3;2.68412189309058;16.1295592920308
89.4075;95.1125;92.8825;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;7.2;0;94.505;95.595;92.82;35;16.34;2.82432105320091;16.5789771574108
85.0075;93.08;92.885;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;4;7.2;89.4075;95.1125;92.8825;36;13.55;2.95919759035461;16.9794777697345
94.675;92.165;92.6875;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;0;4;85.0075;93.08;92.885;37;14.16;3.08645460785892;17.3253492051472
94.5825;92.175;92.495;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;0;0;94.675;92.165;92.6875;38;12.87;3.20435424504694;17.6015516674979
87.52;90.84;92.6425;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;0.3;0;94.5825;92.175;92.495;39;13.05;3.31231542334097;17.8328689448354
