"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
115.14;115.715;116;116.575;101.4275;86.5725;128.816666666667;108.476666666667;98.3066666666667;77.9666666666667;93.39;98.6433333333333;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.3225;11.105;5.3
109.9225;111.8225;112.7775;114.6775;101.265;88.805;115.14;115.715;116;116.575;101.4275;86.5725;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.44910576923077;11.5682115384615;0
106.3575;108.9475;110.235;112.825;101.0875;90.6475;109.9225;111.8225;112.7775;114.6775;101.265;88.805;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.57571153846154;12.0314230769231;0
103.9375;106.9275;108.4325;111.4225;100.995;92.06;106.3575;108.9475;110.235;112.825;101.0875;90.6475;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.70231730769231;12.4946346153846;0
101.7275;105.1625;106.8775;110.3125;100.865;93.135;103.9375;106.9275;108.4325;111.4225;100.995;92.06;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.82892307692308;12.9578461538462;0
103.745;105.345;106.145;107.745;100.4275;93.9075;101.7275;105.1625;106.8775;110.3125;100.865;93.135;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;1.95552884615385;13.4210576923077;5.57
104.1475;105.1825;105.695;106.73;100.2725;94.3325;103.745;105.345;106.145;107.745;100.4275;93.9075;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.08213461538462;13.8842692307692;1.6
108.3075;106.9225;106.2375;104.8525;100.0475;94.5475;104.1475;105.1825;105.695;106.73;100.2725;94.3325;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.20874038461538;14.3474807692308;3.7
103.545;104.505;104.9825;105.9425;100.05;94.635;108.3075;106.9225;106.2375;104.8525;100.0475;94.5475;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.33534615384615;14.8106923076923;0
98.51;101.825;103.4875;106.8025;100.005;94.865;103.545;104.505;104.9825;105.9425;100.05;94.635;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.46195192307692;15.2739038461538;0
91.1625;97.4425;100.5775;106.8575;99.55;95.38;98.51;101.825;103.4875;106.8025;100.005;94.865;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.58855769230769;15.7371153846154;0
97.595;99.9;101.0575;103.3625;99.0225;95.8425;91.1625;97.4425;100.5775;106.8575;99.55;95.38;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.71516346153846;16.2003269230769;7.2
109.37;105.485;103.5375;99.6525;98.6925;95.7925;97.595;99.9;101.0575;103.3625;99.0225;95.8425;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.84176923076923;16.6635384615385;4
99.5425;100.2475;100.61;101.315;98.415;95.865;109.37;105.485;103.5375;99.6525;98.6925;95.7925;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.9609375;16.9815625;0
88.76;93.99;96.61;101.84;97.68;96.14;99.5425;100.2475;100.61;101.315;98.415;95.865;39;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.07552884615385;17.2102403846154;0
