nFK_0010;nFK_1020;nFK_2030;nFK_3040;nFK_4050;nFK_5060;nFK_0010_Vortag;nFK_1020_Vortag;nFK_2030_Vortag;nFK_3040_Vortag;nFK_4050_Vortag;nFK_5060_Vortag;tage_seit_aussaat;Tmean_gradC;Tmean_th9_25_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;tageslicht_h;tageslicht_h_th9;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;niederschlag_mm_sum;tageslicht_h_sum;tageslicht_h_th9_sum;Ton_prozent;Schluff_prozent;Sand_prozent;C_org_prozent;ibi;irmi;wasser_input_Vortag
-79.45;-75.28;-73.24;-73.55;-69.6;-65.57;0;0;0;0;0;0;1;2.93333333333333;0;-2.5;8.4;66.4020833333333;95;20;10.67769;1.72291666666667;10.87;0;2.93333333333333;0;10.67769;2;10.87;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
-94.67;-92.16;-91.04;-91.72;-87.9;-83.87;-79.45;-75.28;-73.24;-73.55;-69.6;-65.57;2;5.57395833333333;0;2.7;8.4;83.7083333333333;95;20;3.29562;1.25520833333333;10.93;0;8.50729166666666;0;13.97331;5.3;21.8;0;35;35;30;0.1;0.177506972709907;10.6326655312179;2
-115.24;-109.96;-106.87;-105.83;-101.36;-96.96;-94.67;-92.16;-91.04;-91.72;-87.9;-83.87;3;3.39895833333333;0;-0.7;6.9;84.4885416666667;95;20;4.44573;1.1625;11;0;11.90625;0;18.41904;5.8;32.8;0;35;35;30;0.1;0.177506972709907;10.6326655312179;3.3
-90.58;-95.85;-101.55;-107.71;-106.22;-103.76;-115.24;-109.96;-106.87;-105.83;-101.36;-96.96;4;1.57708333333333;0;-1.9;5;92.26875;95;20;2.49966;1.40208333333333;11.06;0;13.4833333333333;0;20.9187;16.3;43.86;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0.5
-107.4;-106.93;-108.21;-111.57;-109.41;-106.98;-90.58;-95.85;-101.55;-107.71;-106.22;-103.76;5;4.93125;0;0.2;8.5;85.059375;95;20;5.94711;0.841666666666667;11.12;0;18.4145833333333;0;26.86581;19.7;54.98;0;35;35;30;0.1;0.177506972709907;10.6326655312179;10.5
-128.97;-123.53;-120.88;-120.91;-117.4;-113.9;-107.4;-106.93;-108.21;-111.57;-109.41;-106.98;6;3.19479166666667;0;0;5.9;85.1083333333333;95;20;4.36293;1.34479166666667;11.18;0;21.609375;0;31.22874;19.9;66.16;0;35;35;30;0.1;0.177506972709907;10.6326655312179;3.4
-138.68;-134.3;-131.54;-130.42;-126.11;-121.89;-128.97;-123.53;-120.88;-120.91;-117.4;-113.9;7;3.44895833333333;0;1.5;7.6;82.6520833333333;95;20;9.70407;1.13333333333333;11.25;0;25.0583333333333;0;40.93281;20.9;77.41;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0.2
-151.72;-145.08;-140.87;-138.63;-133.84;-129.12;-138.68;-134.3;-131.54;-130.42;-126.11;-121.89;8;3.209375;0;-0.2;7.9;77.0260416666667;95;20;11.25693;1.19791666666667;11.31;0;28.2677083333333;0;52.18974;21;88.72;0;35;35;30;0.1;0.177506972709907;10.6326655312179;1
-163.09;-155.14;-149.72;-146.44;-141.2;-136.05;-151.72;-145.08;-140.87;-138.63;-133.84;-129.12;9;2.615625;0;-1.9;9.1;77.63125;95;20;9.91746;1.78229166666667;11.37;0;30.8833333333333;0;62.1072;21;100.09;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0.1
-172.54;-164.11;-157.98;-153.75;-148.13;-142.65;-163.09;-155.14;-149.72;-146.44;-141.2;-136.05;10;3.15833333333333;0;-2.9;9.8;75.0895833333333;95;20;14.53374;1.07291666666667;11.44;0;34.0416666666667;0;76.64094;21;111.53;0;35;35;30;0.1;0.177506972709907;10.6326655312179;0
