"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
53.19;82.61;96.47;54.6;86.16;96.64;22;14.76;14.76;10.5;20.2;76.26;48.6;93.5;3415.02;1.15;14.26;14.26;414.12;414.12;106428.77;24.5;326.08;326.08;20;30;50;1.2;3.59339285714286;20.4533928571429;2.1
52.72;79.02;96.06;53.19;82.61;96.47;23;17.89;17.89;14.1;21.6;76.52;58.8;93.2;2957.48;1.18;14.21;14.21;432.01;432.01;109386.25;24.5;340.29;340.29;20;30;50;1.2;3.63678571428571;20.4067857142857;7.5
52.48;74.71;95.57;52.72;79.02;96.06;24;19.1;19.1;16.3;23.3;77.63;62.9;91.2;3355.75;1.1;14.15;14.15;451.11;451.11;112742;24.6;354.44;354.44;20;30;50;1.2;3.68017857142857;20.3601785714286;0
52.2;70.25;95.19;52.48;74.71;95.57;25;19.19;19.19;12.9;26.1;73.51;48.3;95.5;4794.7;0.83;14.09;14.09;470.3;470.3;117536.7;24.6;368.53;368.53;20;30;50;1.2;3.72357142857143;20.3135714285714;0.1
51.99;64.12;94.81;52.2;70.25;95.19;26;20.73;20.73;13.4;28.7;71.26;43.9;94.3;5763.15;0.61;14.04;14.04;491.03;491.03;123299.85;26.4;382.57;382.57;20;30;50;1.2;3.76696428571429;20.2669642857143;0
51.8;59.25;94.3;51.99;64.12;94.81;27;18.75;18.75;13.8;24.1;82.64;47.2;95.2;3656.98;0.95;13.98;13.98;509.78;509.78;126956.82;37;396.55;396.55;20;30;50;1.2;3.81035714285714;20.2203571428571;1.8
51.65;58.04;93.76;51.8;59.25;94.3;28;17.95;17.95;13.1;23.6;80.73;58.8;96.6;3631.93;0.88;13.92;13.92;527.72;527.72;130588.75;37.5;410.47;410.47;20;30;50;1.2;3.84;20.35375;10.6
54.08;55.31;92.54;52.865;56.68;93.08;30;17.52;17.52;10.3;24.7;68.46;39.6;94.1;6499.32;0.87;13.8;13.8;561.91;561.91;142119.25;37.5;438.13;438.13;20;30;50;1.2;3.89142857142857;20.7233928571429;4.86
53.11;54.15;91.81;54.08;55.31;92.54;31;17.17;17.17;13.7;20.8;70.2;57.2;91.5;4545.52;1.72;13.74;13.74;579.08;579.08;146664.78;37.7;451.87;451.87;20;30;50;1.2;3.91714285714286;20.9082142857143;0
52.51;53.39;90.96;53.11;54.15;91.81;32;15.05;15.05;10.8;19.6;79.7;60.4;90.7;2603.43;1.32;13.69;13.69;594.14;594.14;149268.2;39.3;465.56;465.56;20;30;50;1.2;3.94285714285714;21.0930357142857;0.2
52.31;53.13;89.89;52.51;53.39;90.96;33;15.74;15.74;12.2;19.6;81.6;64.3;93.6;2528.43;0.68;13.63;13.63;609.87;609.87;151796.62;40;479.19;479.19;20;30;50;1.2;3.96857142857143;21.2778571428571;1.6
52.24;53.02;88.93;52.31;53.13;89.89;34;15.7;15.7;14.6;17;85.72;79.3;92;1258.33;1.46;13.57;13.57;625.58;625.58;153054.95;40.7;492.76;492.76;20;30;50;1.2;3.99666666666667;21.4552380952381;0.7
52.17;52.95;87.79;52.24;53.02;88.93;35;18;18;15.7;21.2;76.33;61.1;88.8;2290.28;1.62;13.51;13.51;643.58;643.58;155345.22;40.7;506.27;506.27;20;30;50;1.2;4.02666666666667;21.6266666666667;0.7
