"id";"satz_id";"variante_H2O";"wiederholung";"B0020_nFK_prozent";"B2040_nFK_prozent";"B4060_nFK_prozent";"B0020_nFK_prozent_Vortag";"B2040_nFK_prozent_Vortag";"B4060_nFK_prozent_Vortag";"zeit_messung";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
1;3;"Wfull";"a";82.92;91.71;92.72;84.26;92.21;93;2021-04-17;11;8.08;0;2.6;13.2;58.52;36;86.4;4816.3;1.32;13.77;0;70.23;9.67;44688.12;10;161.27;13.35;9.689;37.94;52.367;1.2;0.177506972709907;10.6326655312179;0;0
1;3;"Wfull";"a";81.5;91.2;92.53;82.92;91.71;92.72;2021-04-18;12;8.6;0;7.5;12;73.06;56.7;89.8;1204.15;0.81;13.83;0;78.84;9.67;45892.28;12.2;175.1;13.35;9.689;37.94;52.367;1.2;0.177506972709907;10.6326655312179;2.2;0
1;3;"Wfull";"a";80.79;90.59;92.16;81.5;91.2;92.53;2021-04-19;13;10.03;10.03;5.8;14.7;75.82;52.7;94.7;2698.85;0.63;13.89;13.89;88.87;19.7;48591.12;12.6;188.99;27.24;9.689;37.94;52.367;1.2;0.218320550014105;10.6326655312179;1.16;2.2
1;3;"Wfull";"a";81.64;90.7;92.1;80.79;90.59;92.16;2021-04-20;14;10.64;10.64;1.5;18.5;67.4;36.7;94.9;6692.2;0.82;13.95;13.95;99.51;30.34;55283.32;12.6;202.94;41.19;9.689;37.94;52.367;1.2;0.268115893208874;10.6326655312179;5.3;1.16
1;3;"Wfull";"a";84.15;91.52;92.11;81.64;90.7;92.1;2021-04-21;15;12.06;12.06;3.9;20;63.79;37;87.5;6055.25;1.23;14.01;14.01;111.57;42.41;61338.57;13.4;216.95;55.2;9.689;37.94;52.367;1.2;0.328596851881896;10.6326655312179;0.8;5.3
1;3;"Wfull";"a";86.54;91.64;91.8;84.15;91.52;92.11;2021-04-22;16;10.05;10.05;4;15.5;53.62;28.1;77.6;6844.95;1.98;14.06;14.06;121.62;52.46;68183.52;13.4;231.01;69.26;9.689;37.94;52.367;1.2;0.401583080956858;10.6326655312179;0;0.8
1;3;"Wfull";"a";87.03;92.51;91.75;86.54;91.64;91.8;2021-04-23;17;10.31;10.31;1.5;17.6;53.17;29.6;84.4;7092.6;1.17;14.12;14.12;131.94;62.77;75276.12;13.4;245.13;83.38;9.689;37.94;52.367;1.2;0.489095644950137;10.6326655312179;4.65;0
1;3;"Wfull";"a";87.74;92.89;91.65;87.03;92.51;91.75;2021-04-24;18;11.3;11.3;3.2;18.4;54.17;32.9;81.2;6938.32;1.23;14.18;14.18;143.24;74.07;82214.45;13.4;259.31;97.56;9.689;37.94;52.367;1.2;0.593115946183485;10.6326655312179;0;4.65
1;3;"Wfull";"a";88.82;93.05;91.55;87.74;92.89;91.65;2021-04-25;19;10.67;10.67;4.8;16.6;48.3;27.2;67.8;7244.73;1.57;14.24;14.24;153.91;84.74;89459.18;13.4;273.55;111.8;9.689;37.94;52.367;1.2;0.715458231565453;10.6326655312179;0;0
1;3;"Wfull";"a";88.06;93.45;91.44;88.82;93.05;91.55;2021-04-26;20;9.76;9.76;1.9;16.1;43.16;27.7;73.9;7388.58;1.75;14.29;14.29;163.67;94.51;96847.75;13.4;287.84;126.09;9.689;37.94;52.367;1.2;0.857435924780109;10.6326655312179;5.64;0
