"id";"satz_id";"variante_H2O";"wiederholung";"B0020_nFK_prozent";"B2040_nFK_prozent";"B4060_nFK_prozent";"B0020_nFK_prozent_Vortag";"B2040_nFK_prozent_Vortag";"B4060_nFK_prozent_Vortag";"zeit_messung";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
1;1;"Wfull";"c";75.7;64.07;63.46;83.9;64.12;62.45;2020-05-29;10;16.08;16.08;8.2;21.2;50.39;33.8;77.9;7509.1;1.28;15.85;15.85;187.58;187.58;70280.7;3.21;172.34;172.34;38.643;38.654;22.67;1.2;0.283495614608032;11.5540210799118;13.5;0
1;1;"Wfull";"c";73.04;63.22;63.51;75.7;64.07;63.46;2020-05-30;11;16.28;16.28;8.9;21;49.65;32.3;76.9;7663;1.96;15.88;15.88;203.86;203.86;77943.7;3.21;188.22;188.22;38.643;38.654;22.67;1.2;0.356549433717672;12.0237449728439;0;13.5
1;1;"Wfull";"c";69.17;63.04;63.38;73.04;63.22;63.51;2020-05-31;12;16.28;16.28;9.9;21;50.33;36.5;78.6;7379.3;1.19;15.91;15.91;220.14;220.14;85323;3.21;204.13;204.13;38.643;38.654;22.67;1.2;0.446425652798408;12.497958370243;0;0
1;1;"Wfull";"c";65.57;62.93;63.4;69.17;63.04;63.38;2020-06-01;13;19.47;19.47;10.5;25.3;50.68;33.9;80.1;8145;1.2;15.94;15.94;239.61;239.61;93468;3.21;220.07;220.07;38.643;38.654;22.67;1.2;0.55583818622109;12.975514284593;0;0
1;1;"Wfull";"c";60.49;62.09;63.02;65.57;62.93;63.4;2020-06-02;14;20.13;20.13;11.9;26.6;52.84;31.6;79;7991.1;0.88;15.97;15.97;259.74;259.74;101459.1;3.21;236.04;236.04;38.643;38.654;22.67;1.2;0.687319799017976;13.4552280062052;9;0
1;1;"Wfull";"c";55.38;61.46;62.76;60.49;62.09;63.02;2020-06-03;15;19.27;19.27;12.7;26.7;64.13;36.3;88.5;6175.7;1.28;15.99;15.99;279.01;279.01;107634.8;4.28;252.03;252.03;38.643;38.654;22.67;1.2;0.842760474579726;13.9355884045389;1.07;9
1;1;"Wfull";"c";50.19;60.52;62.18;55.38;61.46;62.76;2020-06-04;16;15.43;15.43;12.2;18.5;88.41;75.3;99.8;2558.6;1.7;16.02;16.02;294.44;294.44;110193.4;25.83;268.05;268.05;38.643;38.654;22.67;1.2;1.02324064604621;14.4156727622966;21.55;1.07
1;1;"Wfull";"c";59.26;60.86;62.06;50.19;60.52;62.18;2020-06-05;17;12.56;12.56;11;15.3;82.49;67.6;92.6;2995.8;3.23;16.04;16.04;307;307;113189.2;28.28;284.09;284.09;38.643;38.654;22.67;1.2;2.09;15.09;2.45;21.55
1;1;"Wfull";"c";81.32;61.53;62.28;59.26;60.86;62.06;2020-06-06;18;13.2;13.2;10.3;16.5;88.67;72.2;100;3946.7;2.91;16.06;16.06;320.2;320.2;117135.9;31.47;300.15;300.15;38.643;38.654;22.67;1.2;2.30857142857143;15.52;3.19;2.45
1;1;"Wfull";"c";90.41;61.68;62.08;81.32;61.53;62.28;2020-06-07;19;15.05;15.05;12.3;17.8;75.22;50.4;97.8;3925.8;1.89;16.09;16.09;335.25;335.25;121061.7;31.47;316.24;316.24;38.643;38.654;22.67;1.2;2.52714285714286;15.95;0;3.19
