wetter_id;satz_id;datum_wetter;Tmax_gradC;Tmin_gradC;Tmean_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;globalstrahlung_Mj_m2;niederschlag_mm;windgeschwindigkeit_m_s;FAO56_mm
1;1;2020-04-20;20.5;9.6;14.47;36.94;23.8;24.87;0;3.41;5.2
2;1;2020-04-21;22.1;10.2;15.9;33.46;23;25.31;0;3.45;5.6
3;1;2020-04-22;23.3;8.5;16.57;35.72;21.8;25.43;0;2.29;4.9
4;1;2020-04-23;23.2;6.6;15.22;47.54;27.4;25.2;0;1.07;3.9
5;1;2020-04-24;24.6;5.9;15.1;53.28;22.2;22.25;0;1.37;3.8
6;1;2020-04-25;18.9;8.4;12.94;51.52;28.9;25.93;0;1.46;3.9
7;1;2020-04-26;21.4;3.7;13.18;53.82;27.4;25.75;0;1.05;3.7
8;1;2020-04-27;24;3.9;14.51;53.82;25.2;23.9;0;1.04;3.7
9;1;2020-04-28;18.4;8;13.16;76.64;57.2;10.52;0.8;1.3;2
10;1;2020-04-29;19;9.2;14.26;68.63;43.7;16.98;0;1.6;2.9
11;1;2020-04-30;15.8;8.9;12.42;78.44;55.6;11.15;7.9;1.69;2
12;1;2020-05-01;15.2;7.7;10.53;82.05;58.1;13.81;5.3;1.46;2
13;1;2020-05-02;14.6;4.9;9.88;73.86;48.7;19.64;0.5;1.93;2.6
14;1;2020-05-03;18.1;2.9;11.55;68.38;40.8;18.61;0.1;0.79;2.7
15;1;2020-05-04;18.4;6.8;12.46;75.31;62.8;13.37;1.8;1.27;2.2
16;1;2020-05-05;17.4;4.4;10.87;60.99;28;23.74;0;1.09;3.3
17;1;2020-05-06;18.2;2;10.93;53.36;33;27.55;0;1.23;3.7
18;1;2020-05-07;22.5;2.6;13.55;55.07;28.5;27.15;0;0.8;3.9
19;1;2020-05-08;25.5;7.7;16.94;54.12;29.6;23.97;0;0.78;4
20;1;2020-05-09;18.1;11.1;14.19;79.25;65.7;6.73;2.6;0.61;1.5
21;1;2020-05-10;25.7;10.4;16.09;82.62;49.8;17.05;9.2;0.87;2.9
22;1;2020-05-11;16.4;4.1;8.33;80.62;68;4.71;13;2.48;1.4
23;1;2020-05-12;14.9;2.4;9.11;58.01;38.9;27.87;0;1.32;3.5
24;1;2020-05-13;16.1;3;10.84;54.62;38;21.11;0;1.48;3.2
25;1;2020-05-14;16.6;5.6;11.22;56.82;37.2;21.59;0;1.92;3.4
26;1;2020-05-15;19.2;6.8;13;47.61;31.8;26.29;0;2.19;4.4
27;1;2020-05-16;20.6;4.6;13.52;50.74;33.6;27.29;0;1.14;4.1
28;1;2020-05-17;20.9;8.7;14.75;50.9;30.7;28.35;0;1.91;4.7
29;1;2020-05-18;25.6;6.4;17;55.65;29.5;27.8;0;0.96;4.5
30;1;2020-05-19;25.8;10.2;19.26;52.24;25.2;27.33;0;1.48;4.9
31;1;2020-05-20;25.3;13;19.52;61.2;42.9;21.9;0;1.36;4.2
