wetter_id;satz_id;datum_wetter;Tmean_gradC;Tmean_th9_25_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;par_Wh_m2;niederschlag_mm;windgeschwindigkeit_m_s;FAO56_mm;tageslicht_h;tageslicht_h_th9;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;niederschlag_mm_sum;FAO56_mm_sum;tageslicht_h_sum;tageslicht_h_th9_sum
1;1;2020-04-20;14.47;14.47;9.6;20.5;36.94;23.8;50.8;6907.88;748.38;0;3.41;5.2;13.96;13.96;14.47;14.47;6907.88;0;5.2;13.96;13.96
2;1;2020-04-21;15.9;15.9;10.2;22.1;33.46;23;45;7029.2;753.82;0;3.45;5.6;14.02;14.02;30.37;30.37;13937.08;0;10.8;27.98;27.98
3;1;2020-04-22;16.57;16.57;8.5;23.3;35.72;21.8;53;7065.27;762.38;0;2.29;4.9;14.08;14.08;46.93;46.93;21002.35;0;15.7;42.06;42.06
4;1;2020-04-23;15.22;15.22;6.6;23.2;47.54;27.4;75.2;7001.38;759.28;0;1.07;3.9;14.14;14.14;62.15;62.15;28003.72;0;19.6;56.2;56.2
5;1;2020-04-24;15.1;15.1;5.9;24.6;53.28;22.2;83.2;6180.12;671.65;0;1.37;3.8;14.19;14.19;77.26;77.26;34183.85;0;23.4;70.39;70.39
6;1;2020-04-25;12.94;12.94;8.4;18.9;51.52;28.9;70.2;7202.35;784.85;0;1.46;3.9;14.25;14.25;90.2;90.2;41386.2;0;27.3;84.64;84.64
7;1;2020-04-26;13.18;13.18;3.7;21.4;53.82;27.4;89.2;7151.5;786.42;0;1.05;3.7;14.31;14.31;103.38;103.38;48537.7;0;31;98.95;98.95
8;1;2020-04-27;14.51;14.51;3.9;24;53.82;25.2;85.7;6638.08;738.4;0;1.04;3.7;14.37;14.37;117.89;117.89;55175.78;0;34.7;113.32;113.32
9;1;2020-04-28;13.16;13.16;8;18.4;76.64;57.2;86.3;2922.98;375.88;0.8;1.3;2;14.42;14.42;131.05;131.05;58098.75;0.8;36.7;127.74;127.74
10;1;2020-04-29;14.26;14.26;9.2;19;68.63;43.7;91.6;4717;556.32;0;1.6;2.9;14.48;14.48;145.31;145.31;62815.75;0.8;39.6;142.22;142.22
11;1;2020-04-30;12.42;12.42;8.9;15.8;78.44;55.6;94.1;3097.3;388.98;7.9;1.69;2;14.53;14.53;157.73;157.73;65913.05;8.7;41.6;156.75;156.75
12;1;2020-05-01;10.53;10.53;7.7;15.2;82.05;58.1;94.2;3835.6;466.78;5.3;1.46;2;14.59;14.59;168.26;168.26;69748.65;14;43.6;171.34;171.34
13;1;2020-05-02;9.88;9.88;4.9;14.6;73.86;48.7;95.8;5455.85;622.12;0.5;1.93;2.6;14.64;14.64;178.14;178.14;75204.5;14.5;46.2;185.98;185.98
14;1;2020-05-03;11.55;11.55;2.9;18.1;68.38;40.8;95.8;5168.8;607.45;0.1;0.79;2.7;14.7;14.7;189.7;189.7;80373.3;14.6;48.9;200.68;200.68
15;1;2020-05-04;12.46;12.46;6.8;18.4;75.31;62.8;87.4;3713.28;460.82;1.8;1.27;2.2;14.75;14.75;202.16;202.16;84086.57;16.4;51.1;215.43;215.43
16;1;2020-05-05;10.87;10.87;4.4;17.4;60.99;28;94;6594.68;732.85;0;1.09;3.3;14.8;14.8;213.03;213.03;90681.25;16.4;54.4;230.23;230.23
17;1;2020-05-06;10.93;10.93;2;18.2;53.36;33;85.3;7653.88;852.6;0;1.23;3.7;14.85;14.85;223.96;223.96;98335.12;16.4;58.1;245.08;245.08
18;1;2020-05-07;13.55;13.55;2.6;22.5;55.07;28.5;90.4;7541.02;856.45;0;0.8;3.9;14.91;14.91;237.5;237.5;105876.15;16.4;62;259.99;259.99
19;1;2020-05-08;16.94;16.94;7.7;25.5;54.12;29.6;83.5;6658.58;766.02;0;0.78;4;14.96;14.96;254.44;254.44;112534.73;16.4;66;274.95;274.95
20;1;2020-05-09;14.19;14.19;11.1;18.1;79.25;65.7;91.6;1870.45;251.75;2.6;0.61;1.5;15.01;15.01;268.63;268.63;114405.18;19;67.5;289.96;289.96
21;1;2020-05-10;16.09;16.09;10.4;25.7;82.62;49.8;95.8;4735.2;578.58;9.2;0.87;2.9;15.06;15.06;284.72;284.72;119140.38;28.2;70.4;305.02;305.02
22;1;2020-05-11;8.33;0;4.1;16.4;80.62;68;95.1;1309.3;187.2;13;2.48;1.4;15.11;0;293.04;284.72;120449.68;41.2;71.8;320.13;305.02
23;1;2020-05-12;9.11;9.11;2.4;14.9;58.01;38.9;79.8;7740.3;875.85;0;1.32;3.5;15.15;15.15;302.15;293.82;128189.98;41.2;75.3;335.28;320.17
24;1;2020-05-13;10.84;10.84;3;16.1;54.62;38;84.4;5864.85;668.58;0;1.48;3.2;15.2;15.2;312.99;304.66;134054.83;41.2;78.5;350.48;335.37
25;1;2020-05-14;11.22;11.22;5.6;16.6;56.82;37.2;79.1;5997.42;685.02;0;1.92;3.4;15.25;15.25;324.21;315.88;140052.25;41.2;81.9;365.73;350.62
26;1;2020-05-15;13;13;6.8;19.2;47.61;31.8;67.4;7301.55;820.12;0;2.19;4.4;15.3;15.3;337.2;328.88;147353.8;41.2;86.3;381.03;365.92
27;1;2020-05-16;13.52;13.52;4.6;20.6;50.74;33.6;81.5;7580.6;866.45;0;1.14;4.1;15.34;15.34;350.72;342.39;154934.4;41.2;90.4;396.37;381.26
28;1;2020-05-17;14.75;14.75;8.7;20.9;50.9;30.7;74;7873.77;892.1;0;1.91;4.7;15.39;15.39;365.47;357.14;162808.17;41.2;95.1;411.76;396.65
29;1;2020-05-18;17;17;6.4;25.6;55.65;29.5;85.9;7721.52;893.38;0;0.96;4.5;15.43;15.43;382.47;374.14;170529.7;41.2;99.6;427.19;412.08
30;1;2020-05-19;19.26;19.26;10.2;25.8;52.24;25.2;86.8;7593.05;875.5;0;1.48;4.9;15.47;15.47;401.73;393.41;178122.75;41.2;104.5;442.66;427.55
31;1;2020-05-20;19.52;19.52;13;25.3;61.2;42.9;84.8;6082.45;711.98;0;1.36;4.2;15.51;15.51;421.25;412.93;184205.2;41.2;108.7;458.17;443.06
32;1;2020-05-21;19.31;19.31;11;27;63.11;40.4;89.6;7701.85;902.3;0;0.97;4.8;15.56;15.56;440.57;432.24;191907.05;41.2;113.5;473.73;458.62
33;1;2020-05-22;20.13;20.13;12.4;26.4;69.25;50.7;88.4;3664.8;459.85;0.3;0.92;2.8;15.6;15.6;460.7;452.37;195571.85;41.5;116.3;489.33;474.22
34;1;2020-05-23;14.31;14.31;9.8;18.1;74.38;58.9;89.5;2677.78;341.9;2.4;1.34;2;15.63;15.63;475.01;466.68;198249.62;43.9;118.3;504.96;489.85
35;1;2020-05-24;13.96;13.96;6.3;18.4;67.07;46;92.6;5291;630.3;0;1.62;3.1;15.67;15.67;488.97;480.64;203540.62;43.9;121.4;520.63;505.52
36;1;2020-05-25;15.77;15.77;9.9;20.8;67.85;47.4;91;5582.52;664.28;0;1.9;3.5;15.71;15.71;504.74;496.41;209123.15;43.9;124.9;536.34;521.23
37;1;2020-05-26;15.89;15.89;8.8;21.1;58.75;39;83.2;7059.1;827.15;0;1.35;4.2;15.75;15.75;520.63;512.3;216182.25;43.9;129.1;552.09;536.98
