wetter_stunde_id;satz_id;zeit_wetter;Tmin_gradC;Tmax_gradC;Tmean_gradC;Tmean_th9_25_gradC;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;relLuftfeuchte_mean_prozent;globalstrahlung_Wh_m2;globalstrahlung_J_cm2;par_Wh_m2;niederschlag_mm;windgeschwindigkeit_m_s;Tmean_gradC_sum;Tmean_th9_25_gradC_sum;globalstrahlung_Wh_m2_sum;globalstrahlung_J_cm2_sum;niederschlag_mm_sum;tageslicht_h;tageslicht_h_th9;tageslicht_h_sum;tageslicht_h_th9_sum
1;1;2020-04-20T00:00:00Z;11.3;11.8;11.55;11.55;43.5;44;43.73;0;0;0.2;0;2.22;11.55;11.55;0;0;0;13.96;13.96;13.96;13.96
2;1;2020-04-20T01:00:00Z;10.9;11.2;11.05;11.05;43.4;43.6;43.5;0;0;0.2;0;2.2;22.6;22.6;0;0;0;13.96;13.96;13.96;13.96
3;1;2020-04-20T02:00:00Z;10.5;10.8;10.65;10.65;43.7;44.1;43.85;0;0;0.2;0;2;33.25;33.25;0;0;0;13.96;13.96;13.96;13.96
4;1;2020-04-20T03:00:00Z;10.5;10.7;10.6;10.6;44.3;44.6;44.45;0;0;0.2;0;2.1;43.85;43.85;0;0;0;13.96;13.96;13.96;13.96
5;1;2020-04-20T04:00:00Z;9.8;10.3;10.08;10.08;45.6;48.1;46.75;0;0;0.2;0;1.7;53.93;53.93;0;0;0;13.96;13.96;13.96;13.96
6;1;2020-04-20T05:00:00Z;9.6;9.7;9.68;9.68;49.5;50.4;49.98;1.98;0.71;0.8;0;1.53;63.6;63.6;1.98;0.71;0;13.96;13.96;13.96;13.96
7;1;2020-04-20T06:00:00Z;9.6;10.4;10.03;10.03;48.2;50.8;49.43;78.23;28.16;6.68;0;2.48;73.63;73.63;80.2;28.87;0;13.96;13.96;13.96;13.96
8;1;2020-04-20T07:00:00Z;10.6;11.1;10.83;10.83;46;47.7;46.75;243.35;87.61;22.83;0;3.62;84.45;84.45;323.55;116.48;0;13.96;13.96;13.96;13.96
9;1;2020-04-20T08:00:00Z;11.4;12;11.68;11.68;44.2;45.7;45.03;425;153;42.68;0;4.05;96.13;96.13;748.55;269.48;0;13.96;13.96;13.96;13.96
10;1;2020-04-20T09:00:00Z;12.5;13.3;12.93;12.93;40.6;43.5;42.08;592.55;213.32;62.48;0;4.43;109.05;109.05;1341.1;482.8;0;13.96;13.96;13.96;13.96
11;1;2020-04-20T10:00:00Z;13.7;14.9;14.35;14.35;34.9;40.2;37.5;720.58;259.41;78.5;0;4.82;123.4;123.4;2061.68;742.2;0;13.96;13.96;13.96;13.96
12;1;2020-04-20T11:00:00Z;15.3;16.3;15.83;15.83;31.8;33.8;32.83;808.5;291.06;90.17;0;4.68;139.22;139.22;2870.18;1033.26;0;13.96;13.96;13.96;13.96
13;1;2020-04-20T12:00:00Z;16.7;17.6;17.15;17.15;29.1;30.7;30.05;845.98;304.55;95.93;0;4.68;156.38;156.38;3716.15;1337.81;0;13.96;13.96;13.96;13.96
14;1;2020-04-20T13:00:00Z;17.7;18.5;18.2;18.2;26.5;28.8;27.68;829.12;298.48;94.17;0;4.8;174.57;174.57;4545.27;1636.3;0;13.96;13.96;13.96;13.96
15;1;2020-04-20T14:00:00Z;19;19.5;19.23;19.23;25.1;26.4;25.53;763.08;274.71;84.83;0;4.38;193.8;193.8;5308.35;1911.01;0;13.96;13.96;13.96;13.96
16;1;2020-04-20T15:00:00Z;19.8;20.2;19.98;19.98;24.2;24.8;24.45;650.85;234.31;70;0;4.4;213.77;213.77;5959.2;2145.31;0;13.96;13.96;13.96;13.96
17;1;2020-04-20T16:00:00Z;20.2;20.5;20.35;20.35;23.8;24.8;24.18;500;180;52.6;0;4.23;234.12;234.12;6459.2;2325.31;0;13.96;13.96;13.96;13.96
18;1;2020-04-20T17:00:00Z;20;20.2;20.12;20.12;24.3;25.5;24.92;324.92;116.97;31.8;0;4.4;254.25;254.25;6784.12;2442.28;0;13.96;13.96;13.96;13.96
19;1;2020-04-20T18:00:00Z;18.5;19.7;19.25;19.25;26.4;30.5;27.9;145.95;52.54;10.57;0;3.88;273.5;273.5;6930.08;2494.83;0;13.96;13.96;13.96;13.96
20;1;2020-04-20T19:00:00Z;16.4;18;17.08;17.08;31.2;33.9;33;16.45;5.92;2.55;0;3.6;290.58;290.58;6946.52;2500.75;0;13.96;13.96;13.96;13.96
21;1;2020-04-20T20:00:00Z;15.1;15.9;15.5;15.5;34.9;35.5;35.2;0;0;0.2;0;3.1;306.08;306.08;6946.52;2500.75;0;13.96;13.96;13.96;13.96
22;1;2020-04-20T21:00:00Z;14.2;14.9;14.58;14.58;35.5;35.8;35.7;0;0;0.2;0;3.1;320.65;320.65;6946.52;2500.75;0;13.96;13.96;13.96;13.96
23;1;2020-04-20T22:00:00Z;13.4;14;13.7;13.7;35.7;35.9;35.78;0;0;0.2;0;2.93;334.35;334.35;6946.52;2500.75;0;13.96;13.96;13.96;13.96
