Datum;Variante;Wh;Wassermengen_mm;Bemerkung
27.7.20;1;a;0.8;
27.7.20;1;b;0.8;
27.7.20;1;c;0.8;
27.7.20;1;d;0.8;
27.7.20;2;a;0.8;
27.7.20;2;b;0.8;
27.7.20;2;c;0.8;
27.7.20;2;d;0.8;
27.7.20;3;a;0.8;
27.7.20;3;b;0.8;
27.7.20;3;c;0.8;
27.7.20;3;d;0.8;
27.7.20;4;a;0.8;
27.7.20;4;b;0.8;
27.7.20;4;c;0.8;
27.7.20;4;d;0.8;
28.7.20;1;a;13.4;
28.7.20;1;b;14.3;
28.7.20;1;c;14.0;
28.7.20;1;d;13.7;
28.7.20;2;a;14.2;
28.7.20;2;b;14.0;
28.7.20;2;c;13.7;
28.7.20;2;d;13.4;
28.7.20;3;a;13.9;
28.7.20;3;b;13.7;
28.7.20;3;c;13.5;
28.7.20;3;d;14.3;
28.7.20;4;a;13.6;
28.7.20;4;b;13.4;
28.7.20;4;c;14.3;
28.7.20;4;d;14.0;
30.7.20;1;a;9.0;
30.7.20;1;b;9.8;
30.7.20;1;c;9.7;
30.7.20;1;d;9.8;
30.7.20;2;a;9.8;
30.7.20;2;b;9.7;
30.7.20;2;c;9.7;
30.7.20;2;d;9.0;
30.7.20;3;a;9.7;
30.7.20;3;b;9.7;
30.7.20;3;c;9.0;
30.7.20;3;d;9.8;
30.7.20;4;a;9.7;
30.7.20;4;b;9.0;
30.7.20;4;c;9.8;
30.7.20;4;d;9.7;
31.7.20;1;a;0.5;
31.7.20;1;b;0.5;
31.7.20;1;c;0.6;
31.7.20;1;d;0.6;
31.7.20;2;a;0.6;
31.7.20;2;b;0.5;
31.7.20;2;c;0.6;
31.7.20;2;d;0.5;
31.7.20;3;a;0.6;
31.7.20;3;b;0.5;
31.7.20;3;c;0.5;
31.7.20;3;d;0.6;
31.7.20;4;a;0.6;
31.7.20;4;b;0.5;
31.7.20;4;c;0.6;
31.7.20;4;d;0.6;
1.8.20;1;a;9.0;
1.8.20;1;b;9.4;
1.8.20;1;c;9.5;
1.8.20;1;d;9.4;
1.8.20;2;a;9.5;
1.8.20;2;b;9.5;
1.8.20;2;c;9.3;
1.8.20;2;d;8.9;
1.8.20;3;a;9.5;
1.8.20;3;b;9.4;
1.8.20;3;c;8.9;
1.8.20;3;d;9.4;
1.8.20;4;a;9.4;
1.8.20;4;b;9.0;
1.8.20;4;c;9.4;
1.8.20;4;d;9.5;
5.8.20;1;a;4.8;
5.8.20;1;b;5.0;
5.8.20;1;c;5.0;
5.8.20;1;d;5.0;
5.8.20;2;a;4.9;
5.8.20;2;b;5.0;
5.8.20;2;c;5.0;
5.8.20;2;d;4.8;
5.8.20;3;a;5.0;
5.8.20;3;b;5.0;
5.8.20;3;c;4.8;
5.8.20;3;d;5.0;
5.8.20;4;a;5.0;
5.8.20;4;b;4.8;
5.8.20;4;c;5.0;
5.8.20;4;d;5.1;
7.8.20;1;a;9.3;
7.8.20;1;b;9.5;
7.8.20;1;c;9.6;
7.8.20;1;d;9.7;
7.8.20;2;a;9.5;
7.8.20;2;b;9.7;
7.8.20;2;c;9.6;
7.8.20;2;d;9.2;
7.8.20;3;a;9.7;
7.8.20;3;b;9.6;
7.8.20;3;c;9.2;
7.8.20;3;d;9.5;
7.8.20;4;a;9.6;
7.8.20;4;b;9.3;
7.8.20;4;c;9.5;
7.8.20;4;d;9.7;
11.8.20;1;a;9.0;
11.8.20;1;b;9.2;
11.8.20;1;c;9.3;
11.8.20;1;d;9.3;
11.8.20;2;a;9.2;
11.8.20;2;b;9.4;
11.8.20;2;c;9.2;
11.8.20;2;d;9.0;
11.8.20;3;a;9.4;
11.8.20;3;b;9.3;
11.8.20;3;c;9.0;
11.8.20;3;d;9.2;
11.8.20;4;a;9.3;
11.8.20;4;b;9.0;
11.8.20;4;c;8.8;
11.8.20;4;d;9.4;
18.8.20;1;a;9.4;
18.8.20;1;b;9.3;
18.8.20;1;c;9.7;
18.8.20;1;d;9.3;
18.8.20;2;a;9.2;
18.8.20;2;b;9.7;
18.8.20;2;c;9.3;
18.8.20;2;d;9.2;
18.8.20;3;a;9.7;
18.8.20;3;b;9.5;
18.8.20;3;c;9.2;
18.8.20;3;d;9.3;
24.8.20;1;a;19.2;
24.8.20;1;b;18.6;
24.8.20;1;c;19.4;
24.8.20;1;d;18.3;
24.8.20;2;a;18.9;
24.8.20;2;b;19.3;
24.8.20;2;c;18.3;
24.8.20;2;d;18.8;
24.8.20;3;a;19.4;
24.8.20;3;b;18.6;
24.8.20;3;c;18.7;
24.8.20;3;d;18.9;
29.8.20;1;a;19.4;
29.8.20;1;b;18.2;
29.8.20;1;c;19.5;
29.8.20;1;d;18.1;
29.8.20;2;a;18.4;
29.8.20;2;b;19.4;
29.8.20;2;c;18.2;
29.8.20;2;d;18.9;
29.8.20;3;a;19.5;
29.8.20;3;b;18.4;
29.8.20;3;c;18.9;
29.8.20;3;d;18.3;
8.9.20;1;a;18.8;
8.9.20;1;b;18.1;
8.9.20;1;c;19.7;
8.9.20;1;d;17.6;
8.9.20;2;a;18.2;
8.9.20;2;b;19.5;
8.9.20;2;c;17.7;
8.9.20;2;d;18.4;
8.9.20;3;a;19.6;
8.9.20;3;b;17.9;
8.9.20;3;c;18.5;
8.9.20;3;d;18.2;
