Tag;AVG_RH200_004;AVG_RH200_011;AVG_RH200_031;AVG_RH200_158;AVG_TA200_004;AVG_TA200_011;AVG_TA200_031;AVG_TA200_158;AVG_TB005_004;AVG_TB005_011;AVG_TB005_031;AVG_TB020_004;AVG_TB020_011;AVG_TB020_031;AVG_WV200_004;AVG_WV200_011;AVG_WV200_031;AVG_WV200_158;KWB_004;KWB_011;KWB_031;KWB_158;MAX_TA200max_004;MAX_TA200max_011;MAX_TA200max_031;MAX_TA200max_158;MIN_SS200_004;MIN_TA200min_004;MIN_TA200min_011;MIN_TA200min_031;MIN_TA200min_158;SUM_GS200_004;SUM_GS200_011;SUM_GS200_031;SUM_GS200_158;SUM_NN050_004;SUM_NN050_011;SUM_NN050_031;SUM_NN050_158;SUM_PAR200_004;SUM_PEN_004;SUM_PEN_011;SUM_PEN_031;SUM_PEN_158;SUM_SOH_004;SUM_SOH_011;SUM_SOH_031;SUM_SOH_158;SUM_UVA200_004;SUM_UVB200_004
01.01.2021;98,79;100,00;95,45;97,41;2,31;2,82;2,52;2,69;2,97;3,44;3,80;3,89;3,98;4,18;1,15;,21;,85;,06;-,23;-,19;-,23;-,11;4,30;4,40;4,00;4,20;3,90;,40;1,40;-,40;1,00;473,60;473,60;409,60;466,50;,00;,00;,00;,10;71,20;,23;,19;,23;,21;,59;,63;,21;,52;23,20;104,50;
02.01.2021;91,12;95,26;92,63;92,69;2,24;2,43;1,85;2,06;2,78;3,15;3,40;3,80;3,82;3,92;1,77;,19;,65;,45;-,40;-,22;-,22;-,26;4,00;4,40;4,30;3,50;3,90;,90;,80;-,40;,80;455,90;455,90;544,70;457,70;,00;,00;,00;,00;68,90;,40;,22;,22;,26;,44;,49;1,15;,44;22,50;85,80;
03.01.2021;98,36;98,77;94,11;96,58;1,24;1,60;1,53;1,34;2,48;2,99;3,17;3,55;3,66;3,68;2,09;,55;,78;,71;2,49;2,43;2,30;1,83;2,40;3,00;3,00;2,40;4,00;,30;,80;-,30;,60;344,30;344,30;291,90;336,60;2,76;2,67;2,59;2,10;53,10;,27;,24;,29;,27;,00;,00;,00;,00;16,90;51,70;
04.01.2021;98,14;99,91;98,75;99,02;1,75;1,67;1,55;1,57;2,65;3,03;3,16;3,55;3,57;3,61;1,23;,44;1,05;,45;-,34;-,19;-,19;-,11;2,60;2,50;2,60;2,40;4,00;1,00;,60;,60;,90;236,20;236,20;194,20;177,40;,00;,08;,08;,20;38,10;,34;,27;,27;,31;,00;,00;,00;,00;12,80;-;
05.01.2021;99,97;100,00;95,51;98,45;2,07;2,32;2,14;1,97;2,64;2,92;3,15;3,51;3,48;3,53;2,75;,29;1,25;1,45;-,09;,48;-,30;-,07;3,00;3,40;3,30;2,90;3,90;1,40;1,60;1,40;1,30;301,40;301,40;254,90;232,40;,10;,74;,00;,20;47,10;,19;,26;,30;,27;,00;,00;,00;,00;15,40;-;
06.01.2021;99,62;100,00;95,07;98,07;2,14;2,43;2,55;2,18;2,68;2,96;3,34;3,52;3,50;3,65;2,24;,35;1,06;,94;,19;,09;-,29;,29;3,20;3,70;4,50;3,40;,00;1,10;1,60;1,30;1,20;223,30;223,30;356,80;204,30;,51;,38;,00;,60;36,60;,32;,29;,29;,31;,00;,00;,00;,00;12,10;-;
07.01.2021;95,58;97,95;92,10;90,00;2,08;2,33;1,89;2,09;2,52;2,74;3,00;3,48;3,38;3,49;1,93;1,25;2,07;,07;-,32;-,26;-,36;-,12;3,20;3,60;3,40;3,40;4,00;1,20;1,30;,80;1,00;430,90;430,90;380,00;508,50;,00;,00;,00;,10;64,20;,32;,26;,36;,22;,15;,18;,00;,66;20,80;-;
08.01.2021;96,22;99,69;94,31;92,57;1,60;1,75;1,65;1,53;2,13;2,53;2,75;3,22;3,16;3,23;2,23;1,90;2,64;,55;-,26;,31;,35;,41;2,30;3,10;3,40;2,60;4,00;,70;1,20;,30;,70;306,10;306,10;653,60;684,00;,05;,55;,61;,60;51,70;,31;,24;,26;,19;,00;,00;1,71;1,80;17,90;-;
09.01.2021;94,00;95,09;91,89;93,61;,71;,53;-,02;,21;1,76;2,08;2,27;2,97;2,91;2,96;1,60;,19;,65;,42;-,23;-,05;-,13;-,13;4,30;4,30;6,00;3,10;,00;-2,60;-3,30;-4,60;-3,30;985,20;985,20;950,10;878,50;,00;,00;,00;,00;123,60;,23;,05;,13;,13;3,79;3,86;3,69;3,05;36,20;-;
10.01.2021;94,16;92,29;91,17;95,05;-1,38;-2,00;-2,73;-2,30;,62;,85;1,09;2,31;2,07;2,02;1,50;,06;,47;,20;-,26;,00;,00;,00;3,50;3,30;5,10;1,90;,00;-4,40;-5,50;-6,60;-5,80;2174,30;2174,30;2031,50;2040,60;,00;,00;,00;,00;207,00;,26;,00;,00;,00;11,62;11,77;10,93;10,68;51,50;-;
11.01.2021;89,05;95,08;89,51;89,10;-2,23;-2,13;-2,31;-1,93;,21;,34;,48;1,78;1,45;1,36;1,99;1,91;1,37;,30;-,30;-,05;-,09;,00;1,50;2,00;4,50;3,90;,00;-6,30;-6,90;-8,30;-7,00;1838,00;1838,00;1894,70;2102,50;,00;,00;,00;,00;189,30;,30;,05;,09;,00;9,29;9,41;9,90;10,98;45,50;-;
12.01.2021;96,33;99,42;90,99;92,76;1,55;1,93;2,03;1,57;,20;,40;,53;1,56;1,24;1,20;5,00;4,33;3,58;,96;1,10;,53;-,46;,21;4,20;4,40;4,30;4,20;3,90;-,30;-,30;,00;-1,00;212,20;212,20;231,30;559,10;1,55;,83;,00;,50;40,40;,45;,30;,46;,29;,00;,00;,00;,81;13,70;-;
13.01.2021;88,16;97,54;90,67;91,47;1,83;1,39;1,32;1,34;,28;,52;,66;1,50;1,24;1,21;2,03;1,70;2,52;,27;-,99;-,08;-,22;,00;5,20;4,30;5,70;7,30;,00;-1,50;-3,40;-3,10;-3,50;1407,20;1407,20;1483,80;1693,90;,00;,00;,00;,00;164,10;,99;,08;,22;,00;6,28;6,37;6,96;8,09;45,60;-;
14.01.2021;90,39;92,15;87,32;86,91;2,12;1,92;1,28;1,60;,92;1,06;1,03;1,69;1,47;1,45;1,45;,46;1,15;,48;-,40;-,28;-,25;-,29;3,80;3,50;3,50;3,00;,00;,60;,10;-2,00;-,20;484,60;484,60;569,00;514,00;,00;,00;,10;,00;71,00;,40;,28;,35;,29;,26;,30;,88;,44;22,60;-;
15.01.2021;88,08;92,60;88,38;88,34;,48;-,10;-,70;-,32;,50;,69;,78;1,66;1,42;1,34;2,37;,25;,87;,59;-,19;,00;-,06;,00;3,10;3,50;4,50;1,90;3,90;-2,10;-3,20;-5,70;-3,20;1839,40;1839,40;1573,40;1887,80;,00;,00;,00;,00;199,60;,19;,00;,06;,00;8,85;8,96;7,34;9,11;53,50;-;
16.01.2021;90,34;91,62;84,10;86,20;-,50;-,22;-,44;-,54;,55;,72;,78;1,58;1,30;1,20;1,90;1,38;1,24;,34;,47;-,01;,44;-,26;,70;1,00;,70;,50;3,60;-2,30;-1,90;-2,00;-2,20;548,20;548,20;416,00;506,40;,84;,34;,83;,00;81,40;,37;,35;,39;,26;,58;,62;,00;,31;26,30;-;
17.01.2021;99,97;100,00;97,89;98,92;-,32;-,16;-,54;-,32;,43;,73;,80;1,51;1,28;1,20;1,46;,65;,82;,05;1,41;,96;1,64;1,78;3,10;2,50;2,40;1,40;,00;-2,40;-2,00;-2,20;-2,20;615,00;615,00;544,90;548,20;1,58;1,13;1,86;2,00;96,80;,17;,17;,22;,22;,96;1,00;,59;,52;31,20;-;
18.01.2021;92,31;97,52;90,43;89,71;3,43;3,40;3,14;3,16;1,73;1,34;1,38;1,93;1,55;1,56;3,17;2,35;3,30;,30;,04;-,24;-,24;-,02;6,60;5,70;6,30;5,70;4,00;2,00;1,90;1,30;1,00;891,50;891,50;852,00;1206,40;,45;,00;,18;,10;120,10;,41;,24;,42;,12;2,62;2,67;2,48;4,54;35,70;-;
19.01.2021;88,16;96,25;87,13;83,76;3,01;3,15;2,94;3,31;1,98;1,83;2,00;2,51;2,05;2,14;4,99;3,95;3,74;,78;-,63;-,33;,08;-,40;4,60;5,30;4,70;5,00;4,00;1,40;1,10;-,10;1,80;367,80;367,80;220,50;651,70;,11;,00;,68;,00;59,00;,74;,33;,60;,40;,00;,00;,00;1,07;19,10;-;
20.01.2021;78,50;86,08;83,07;66,12;4,78;4,44;3,84;6,67;2,23;1,86;1,99;2,61;2,10;2,17;2,99;1,98;1,28;,98;-,96;-,56;-,51;-,65;8,10;8,60;9,10;9,90;,00;2,00;,60;-1,20;3,60;785,20;785,20;716,10;791,10;,00;,00;,00;,00;107,60;,96;,56;,51;,65;1,84;1,89;1,50;1,86;32,80;-;
21.01.2021;81,65;86,94;80,83;74,33;7,68;7,88;7,63;8,72;4,13;3,39;3,36;3,57;2,98;3,10;4,27;5,00;3,32;1,46;,27;,74;1,06;,86;10,30;10,20;10,30;11,30;,00;4,20;4,30;2,30;6,90;635,90;635,90;564,00;846,80;2,44;1,70;2,04;1,60;96,40;2,17;,96;,98;,74;,88;,92;,52;2,13;30,30;-;
22.01.2021;94,70;98,58;90,98;91,73;6,15;5,97;5,60;6,03;5,31;4,74;4,72;4,94;4,37;4,48;4,00;3,10;2,12;1,33;6,99;6,27;8,70;5,84;10,70;9,70;10,50;10,40;4,00;3,30;3,10;1,80;3,10;283,10;283,10;423,90;300,90;7,71;6,65;9,26;6,40;49,40;,72;,38;,56;,56;,00;,00;,00;,00;16,10;-;
23.01.2021;96,52;99,30;93,82;91,82;3,97;4,18;3,51;4,09;4,03;3,77;3,69;4,46;4,00;3,91;2,55;1,77;1,04;,63;,04;,11;,52;-,15;5,60;6,40;5,90;6,10;4,00;1,90;1,60;,90;2,00;836,60;836,60;432,80;555,00;,37;,32;,86;,20;116,90;,33;,21;,34;,35;1,95;2,00;,00;,28;36,40;-;
24.01.2021;88,21;92,91;86,82;82,82;2,03;2,19;2,13;2,35;2,74;3,00;3,15;3,93;3,60;3,56;4,44;3,61;4,85;1,28;-,06;-,15;,65;,17;3,70;4,40;5,20;5,30;4,00;-,40;-,40;-,80;-,30;685,20;685,20;838,80;1380,70;,48;,35;1,25;,50;102,20;,54;,50;,60;,33;1,01;1,04;1,99;5,03;33,40;-;
