X,Y,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.5,Rho.6,Gamma,Feuchteind,Gamma_rho1
452746.60340,5472357.38476,68.00000,95,85,93,63,48,53,1.12000,85,0.01179
452745.18383,5472356.43894,68.00000,114,94,99,58,54,50,1.11000,103,0.00974
452743.82460,5472355.41317,68.00000,126,100,92,53,62,45,1.11000,114,0.00881
452742.48499,5472354.52769,68.00000,119,90,85,53,59,51,1.12000,106,0.00941
452740.96585,5472353.38124,68.00000,104,86,89,61,54,57,1.13000,92,0.01087
452739.76802,5472351.97530,68.00000,92,84,99,65,47,57,1.14000,81,0.01239
452738.83117,5472350.38984,68.10000,97,87,104,64,47,54,1.15000,84,0.01186
452738.67574,5472348.76665,68.10000,95,85,100,56,45,50,1.15000,82,0.01211
452738.76018,5472347.32447,68.20000,96,79,99,51,43,49,1.16000,83,0.01208
452742.80144,5472342.46834,68.40000,88,74,82,46,34,37,1.15000,77,0.01307
452744.26473,5472342.19224,68.50000,96,83,84,51,36,32,1.14000,84,0.01188
452745.68729,5472342.13638,68.50000,116,86,94,53,37,31,1.15000,101,0.00991
452747.14908,5472342.36111,68.60000,131,100,100,57,45,33,1.14000,115,0.00870
452748.63048,5472342.72614,68.60000,148,96,101,51,54,43,1.13000,131,0.00764
452750.13150,5472343.23146,68.60000,167,100,96,56,59,54,1.13000,147,0.00677
452751.29159,5472343.85597,68.60000,169,98,97,59,60,60,1.13000,149,0.00669
452752.57236,5472344.32057,68.60000,174,108,109,71,57,58,1.13000,154,0.00649
452753.79279,5472344.86512,68.60000,179,131,137,76,58,53,1.14000,157,0.00637
452755.39338,5472345.57107,68.60000,207,166,147,76,60,51,1.15000,180,0.00556
452756.75411,5472346.09601,68.60000,220,197,160,71,62,52,1.15000,192,0.00523
452758.29436,5472346.88192,68.60000,232,200,151,71,59,51,1.14000,203,0.00491
452759.77427,5472347.74779,68.60000,229,204,167,74,55,53,1.14000,201,0.00498
452761.11388,5472348.63327,68.60000,231,197,139,75,46,51,1.13000,204,0.00489
452762.47312,5472349.65904,68.70000,216,194,112,75,44,49,1.13000,192,0.00523
452763.95303,5472350.52490,68.70000,210,164,62,69,46,44,1.12000,187,0.00533
452765.15235,5472351.43000,68.70000,209,142,43,62,48,41,1.12000,186,0.00536
452766.43162,5472352.39543,68.60000,202,124,29,58,48,41,1.13000,180,0.00559
452767.89042,5472353.62184,68.60000,189,125,37,63,48,43,1.12000,168,0.00593
452769.32961,5472354.70796,68.60000,173,123,47,63,55,44,1.12000,154,0.00647
452770.84875,5472355.85441,68.60000,184,126,69,61,65,44,1.12000,164,0.00609
452772.22760,5472357.02048,68.60000,210,121,91,55,67,43,1.12000,187,0.00533
452773.74674,5472358.16693,68.60000,210,140,104,66,62,43,1.13000,186,0.00538
452775.04563,5472359.27266,68.60000,212,159,106,77,55,48,1.14000,186,0.00538
452776.48482,5472360.35878,68.50000,205,203,101,85,52,51,1.14000,180,0.00556
452778.22421,5472361.54595,68.50000,221,190,103,78,48,50,1.15000,193,0.00520
452779.66339,5472362.63207,68.50000,203,177,104,69,45,47,1.16000,176,0.00571
452781.34244,5472363.89920,68.50000,204,133,104,61,50,41,1.15000,178,0.00564
452782.84197,5472364.90536,68.50000,178,129,105,66,57,40,1.14000,156,0.00640
452784.46068,5472366.25245,68.50000,182,126,113,69,60,39,1.14000,159,0.00626
452786.02054,5472367.17865,68.50000,164,127,120,78,60,46,1.14000,144,0.00695
452787.37978,5472368.20442,68.50000,193,130,124,79,61,50,1.13000,170,0.00585
452788.65905,5472369.16986,68.50000,210,148,123,79,68,51,1.14000,184,0.00543
452790.01828,5472370.19563,68.50000,228,150,126,80,67,53,1.15000,198,0.00504
452791.47708,5472371.42204,68.50000,211,151,145,85,71,55,1.16000,182,0.00550
452792.75636,5472372.38747,68.50000,196,151,149,98,64,55,1.16000,169,0.00592
452794.27550,5472373.53393,68.50000,190,170,148,93,64,58,1.16000,164,0.00611
452795.71469,5472374.62004,68.60000,213,204,140,83,55,57,1.16000,184,0.00545
452797.23383,5472375.76649,68.60000,232,192,130,68,51,55,1.15000,201,0.00496
452798.65340,5472376.71231,68.60000,246,174,112,65,46,45,1.15000,214,0.00467
452800.03225,5472377.87838,68.60000,245,137,78,59,42,41,1.14000,214,0.00465
452801.45182,5472378.82420,68.60000,221,127,49,54,39,40,1.15000,193,0.00520
452802.81105,5472379.84997,68.60000,203,116,30,46,40,39,1.15000,177,0.00567
452804.25024,5472380.93609,68.60000,188,106,18,46,40,38,1.14000,165,0.00606
452805.70904,5472382.16250,68.60000,178,102,18,43,41,39,1.15000,155,0.00646
452806.98832,5472383.12793,68.60000,169,103,20,46,40,38,1.15000,146,0.00680
452808.34755,5472384.15370,68.60000,147,99,23,47,44,41,1.14000,129,0.00776
452809.92703,5472385.22020,68.60000,146,100,28,49,44,42,1.14000,127,0.00781
452801.26371,5472394.87064,68.00000,116,76,53,39,37,32,1.16000,100,0.01000
452799.66462,5472393.66384,68.00000,109,77,38,42,37,28,1.15000,94,0.01055
452798.14547,5472392.51739,68.00000,107,82,31,40,41,32,1.16000,92,0.01084
452796.48604,5472391.39055,68.00000,107,84,24,41,38,35,1.15000,93,0.01075
452795.10719,5472390.22448,68.00000,119,92,24,43,36,35,1.14000,104,0.00958
452793.42814,5472388.95735,68.00000,116,90,27,45,34,34,1.14000,102,0.00983
452791.88938,5472387.67060,68.00000,119,91,32,44,34,31,1.14000,104,0.00958
452790.21033,5472386.40347,68.00000,109,79,37,38,33,33,1.15000,95,0.01055
452788.61124,5472385.19668,68.00000,106,71,41,34,33,32,1.16000,92,0.01094
452787.01214,5472383.98989,67.90000,91,61,37,35,30,30,1.17000,78,0.01286
452785.49300,5472382.84343,67.90000,83,59,29,36,29,29,1.18000,70,0.01422
452784.03420,5472381.61702,67.90000,83,60,16,41,24,27,1.18000,70,0.01422
452782.43510,5472380.41023,67.90000,89,61,10,37,26,28,1.19000,75,0.01337
452780.71533,5472379.36335,67.90000,90,66,5,36,29,32,1.19000,76,0.01322
452779.09662,5472378.01626,67.90000,96,68,11,31,30,36,1.19000,81,0.01240
452777.59709,5472377.01010,67.90000,91,78,20,32,31,39,1.18000,77,0.01297
452775.91804,5472375.74297,67.90000,102,75,43,34,30,35,1.18000,87,0.01157
452774.47885,5472374.65685,67.90000,93,73,60,39,33,32,1.17000,80,0.01258
452772.79980,5472373.38972,67.90000,96,69,74,40,35,30,1.16000,83,0.01208
452771.14037,5472372.26288,68.00000,87,68,71,39,35,30,1.16000,75,0.01333
452769.54127,5472371.05609,68.00000,89,73,67,36,38,33,1.17000,76,0.01315
