STATIONS_ID;MESS_DATUM;QN_4;VP_TER;E_TF_TER;TF_TER;RF_TER;eor
       5692;2021101800;    3;   9.2;   0;    5.7; 100.0;eor
       5692;2021101806;    3;  10.3;   0;    7.4;  99.0;eor
       5692;2021101812;    3;  10.5;   0;    9.7;  75.0;eor
       5692;2021101818;    3;  11.0;   0;    8.8;  93.0;eor
       5692;2021101900;    3;  10.2;   0;    7.5;  97.0;eor
       5692;2021101906;    3;  10.6;   0;    7.9;  98.0;eor
       5692;2021101912;    3;  13.5;   0;   12.5;  84.0;eor
       5692;2021101918;    3;  14.0;   0;   13.0;  86.0;eor
       5692;2021102000;    3;  10.7;   0;    8.0;  99.0;eor
       5692;2021102006;    3;  10.7;   0;    8.0;  99.0;eor
       5692;2021102012;    3;  14.1;   0;   14.4;  70.0;eor
       5692;2021102018;    3;  16.1;   0;   15.2;  83.0;eor
       5692;2021102100;    3;  15.5;   0;   13.9;  93.0;eor
       5692;2021102106;    3;  10.0;   0;   10.2;  62.0;eor
       5692;2021102112;    3;   9.8;   0;   10.3;  60.0;eor
       5692;2021102118;    3;   9.8;   0;    8.0;  84.0;eor
       5692;2021102200;    3;   8.5;   0;    4.8;  97.0;eor
       5692;2021102206;    3;   7.4;   0;    3.0;  96.0;eor
       5692;2021102212;    3;   8.0;   0;    7.4;  62.0;eor
       5692;2021102218;    3;   8.5;   0;    7.2;  71.0;eor
       5692;2021102300;    3;   9.8;   0;    7.8;  84.0;eor
       5692;2021102306;    3;   8.9;   0;    5.5;  97.0;eor
       5692;2021102312;    3;   9.0;   0;    8.9;  62.0;eor
       5692;2021102318;    3;   8.6;   0;    5.1;  96.0;eor
       5692;2021102400;    3;   6.1;   0;    0.2;  97.0;eor
       5692;2021102406;    3;   5.3;   0;   -1.5;  95.0;eor
       5692;2021102412;    3;   8.0;   0;    8.0;  57.0;eor
       5692;2021102418;    3;   8.5;   0;    5.1;  94.0;eor
       5692;2021102500;    3;   5.9;   0;   -0.1;  95.0;eor
       5692;2021102506;    3;   6.3;   0;    0.6;  99.0;eor
       5692;2021102512;    3;   9.3;   0;    9.2;  63.0;eor
       5692;2021102518;    3;  10.0;   0;    7.5;  92.0;eor
       5692;2021102600;    3;  11.8;   0;   10.2;  89.0;eor
       5692;2021102606;    3;  11.5;   0;    9.2;  96.0;eor
       5692;2021102612;    3;  11.4;   0;   11.8;  65.0;eor
       5692;2021102618;    3;  10.9;   0;    9.3;  85.0;eor
       5692;2021102700;    3;   8.4;   0;    4.7;  98.0;eor
       5692;2021102706;    3;  10.4;   0;    7.9;  95.0;eor
       5692;2021102712;    3;  12.0;   0;   12.0;  69.0;eor
       5692;2021102718;    3;  10.4;   0;    7.9;  94.0;eor
       5692;2021102800;    3;   7.2;   0;    2.7;  95.0;eor
       5692;2021102806;    3;   7.4;   0;    2.7;  99.0;eor
       5692;2021102812;    3;  10.3;   0;    7.9;  94.0;eor
       5692;2021102818;    3;  10.6;   0;    8.0;  96.0;eor
       5692;2021102900;    3;  10.2;   0;    7.4;  98.0;eor
       5692;2021102906;    3;   9.8;   0;    6.6;  99.0;eor
       5692;2021102912;    3;   9.9;   0;    7.8;  87.0;eor
       5692;2021102918;    3;   8.8;   0;    5.3;  97.0;eor
       5692;2021103000;    3;   7.6;   0;    3.0; 100.0;eor
       5692;2021103006;    3;   8.2;   0;    4.2;  99.0;eor
       5692;2021103012;    3;   9.0;   0;    6.1;  92.0;eor
       5692;2021103018;    3;  10.3;   0;    7.8;  94.0;eor
       5692;2021103100;    3;  11.7;   0;    9.6;  95.0;eor
       5692;2021103106;    3;  10.7;   0;    8.0;  99.0;eor
       5692;2021103112;    3;  14.4;   0;   14.0;  78.0;eor
       5692;2021103118;    3;  14.1;   0;   12.5;  94.0;eor
       5692;2021110100;    3;  13.1;   0;   12.5;  80.0;eor
       5692;2021110106;    3;  12.5;   0;   10.5;  96.0;eor
       5692;2021110112;    3;  11.7;   0;   10.7;  82.0;eor
       5692;2021110118;    3;  11.3;   0;    9.0;  95.0;eor
       5692;2021110200;    3;   9.6;   0;    6.4; 100.0;eor
       5692;2021110206;    3;   8.9;   0;    5.4;  98.0;eor
       5692;2021110212;    3;  11.0;   0;    8.8;  95.0;eor
       5692;2021110218;    3;   9.8;   0;    7.5;  88.0;eor
       5692;2021110300;    3;   8.0;   0;    3.7; 100.0;eor
       5692;2021110306;    3;   9.6;   0;    6.4;  98.0;eor
       5692;2021110312;    3;  10.5;   0;    8.4;  91.0;eor
       5692;2021110318;    3;  10.0;   0;    7.4;  95.0;eor
       5692;2021110400;    3;   9.9;   0;    6.9;  98.0;eor
       5692;2021110406;    3;   9.4;   0;    6.6;  92.0;eor
       5692;2021110412;    3;   8.9;   0;    7.1;  77.0;eor
       5692;2021110418;    3;   8.5;   0;    6.1;  82.0;eor
       5692;2021110500;    3;   9.0;   0;    6.5;  88.0;eor
       5692;2021110506;    3;   9.0;   0;    5.7;  97.0;eor
       5692;2021110512;    3;   8.6;   0;    7.2;  73.0;eor
       5692;2021110518;    3;   8.2;   0;    4.7;  92.0;eor
       5692;2021110600;    3;   8.6;   0;    5.1;  97.0;eor
       5692;2021110606;    3;   8.3;   0;    4.3; 100.0;eor
       5692;2021110612;    3;   8.9;   0;    6.0;  90.0;eor
       5692;2021110618;    3;   9.2;   0;    5.8;  99.0;eor
       5692;2021110700;    3;   8.4;   0;    4.7;  98.0;eor
       5692;2021110706;    3;   8.2;   0;    4.8;  92.0;eor
       5692;2021110712;    3;   9.2;   0;    7.2;  81.0;eor
       5692;2021110718;    3;   9.5;   0;    7.1;  88.0;eor
       5692;2021110800;    3;   8.4;   0;    4.9;  94.0;eor
       5692;2021110806;    3;   7.1;   0;    2.1; 100.0;eor
       5692;2021110812;    3;   8.2;   0;    7.0;  67.0;eor
       5692;2021110818;    3;   9.4;   0;    6.6;  93.0;eor
       5692;2021110900;    3;   9.2;   0;    6.0;  96.0;eor
       5692;2021110906;    3;   5.7;   0;   -0.7;  98.0;eor
       5692;2021110912;    3;   8.0;   0;    7.3;  63.0;eor
       5692;2021110918;    3;   7.7;   0;    5.1;  80.0;eor
       5692;2021111000;    3;   7.1;   0;    2.4;  97.0;eor
       5692;2021111006;    3;   5.8;   0;   -0.8; 100.0;eor
       5692;2021111012;    3;   7.4;   0;    4.4;  80.0;eor
       5692;2021111018;    3;   6.2;   0;    0.7;  94.0;eor
       5692;2021111100;    3;   5.4;   0;   -1.4;  98.0;eor
       5692;2021111106;    3;   6.5;   0;    1.0;  98.0;eor
       5692;2021111112;    3;   7.4;   0;    2.7;  99.0;eor
       5692;2021111118;    3;   7.5;   0;    2.9; 100.0;eor
       5692;2021111200;    3;   7.2;   0;    2.2; 100.0;eor
       5692;2021111206;    3;   6.5;   0;    0.9;  99.0;eor
       5692;2021111212;    3;   6.9;   0;    1.9;  98.0;eor
       5692;2021111218;    3;   7.1;   0;    2.1;  99.0;eor
       5692;2021111300;    3;   7.1;   0;    2.2;  98.0;eor
       5692;2021111306;    3;   7.2;   0;    2.5;  96.0;eor
       5692;2021111312;    3;   9.0;   0;    6.0;  92.0;eor
       5692;2021111318;    3;  10.1;   0;    7.3;  98.0;eor
       5692;2021111400;    3;  10.1;   0;    7.2;  99.0;eor
       5692;2021111406;    3;  10.3;   0;    7.5;  98.0;eor
       5692;2021111412;    3;  10.4;   0;    8.4;  89.0;eor
       5692;2021111418;    3;  10.4;   0;    8.5;  88.0;eor
       5692;2021111500;    3;   9.2;   0;    7.1;  83.0;eor
       5692;2021111506;    3;   9.1;   0;    6.9;  83.0;eor
       5692;2021111512;    3;   9.4;   0;    7.2;  86.0;eor
       5692;2021111518;    3;   8.6;   0;    6.4;  81.0;eor
       5692;2021111600;    3;   9.0;   0;    6.4;  87.0;eor
       5692;2021111606;    3;   8.7;   0;    5.9;  88.0;eor
       5692;2021111612;    3;   9.0;   0;    6.2;  91.0;eor
       5692;2021111618;    3;   9.0;   0;    5.9;  93.0;eor
       5692;2021111700;    3;   9.1;   0;    5.8;  98.0;eor
       5692;2021111706;    3;   7.8;   0;    4.7;  84.0;eor
       5692;2021111712;    3;   8.3;   0;    6.3;  76.0;eor
       5692;2021111718;    3;   8.7;   0;    6.2;  84.0;eor
       5692;2021111800;    3;   9.1;   0;    5.9;  96.0;eor
       5692;2021111806;    3;   7.0;   0;    2.0;  98.0;eor
       5692;2021111812;    3;   8.8;   0;    7.1;  76.0;eor
       5692;2021111818;    3;   8.4;   0;    5.9;  81.0;eor
       5692;2021111900;    3;   6.5;   0;    1.2;  96.0;eor
       5692;2021111906;    3;   8.4;   0;    4.9;  95.0;eor
       5692;2021111912;    3;   9.5;   0;    7.4;  85.0;eor
       5692;2021111918;    3;   9.7;   0;    7.3;  90.0;eor
       5692;2021112000;    3;   9.8;   0;    7.1;  93.0;eor
       5692;2021112006;    3;   9.6;   0;    6.7;  95.0;eor
       5692;2021112012;    3;   9.9;   0;    8.2;  82.0;eor
       5692;2021112018;    3;   9.2;   0;    6.6;  89.0;eor
       5692;2021112100;    3;   8.5;   0;    5.2;  94.0;eor
       5692;2021112106;    3;   7.7;   0;    4.0;  91.0;eor
       5692;2021112112;    3;   8.0;   0;    5.1;  83.0;eor
       5692;2021112118;    3;   9.0;   0;    5.7;  96.0;eor
       5692;2021112200;    3;   8.9;   0;    5.5;  97.0;eor
       5692;2021112206;    3;   8.4;   0;    5.1;  91.0;eor
       5692;2021112212;    3;   7.3;   0;    5.2;  70.0;eor
       5692;2021112218;    3;   6.1;   0;    2.8;  71.0;eor
       5692;2021112300;    3;   5.6;   0;    0.3;  84.0;eor
       5692;2021112306;    3;   5.1;   0;   -2.2;  96.0;eor
       5692;2021112312;    3;   5.6;   0;    2.5;  64.0;eor
       5692;2021112318;    3;   6.1;   0;    1.7;  80.0;eor
